TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,29314,18036,61.5269

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,CABAL,PODEMOS,UNE,U R N G - MAIZ,TODOS,VALOR,PHG,P A N,AZUL,BIEN,CAMBIO,MLP,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12191,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,50,58,8,70,16,15,0,3,0,0,2,0,0,0,0,222,22,2,246,0,246,--,380,134,222,246,246,Algún campo sin dato,1,abed772a50a10062dbf42d5fd7ec1b8b76b28daf5ac2df589485782b6f01538a,26/06/2023 00:37:22,ESCANER
12192,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,50,64,4,56,10,21,4,1,5,0,1,0,0,0,1,217,3,1,221,13,234,--,380,146,217,221,234,Algún campo sin dato,1,de326d5f9a924ef60604c762175afb04cbfaa3d66c894eaef3b84a21340cb341,26/06/2023 00:26:51,ESCANER
12193,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,42,67,6,48,11,12,1,1,3,1,1,0,0,0,1,194,6,1,201,0,201,--,380,179,194,201,201,Algún campo sin dato,1,f77bf5716903dbb3c9643cc62b37ebf058a404c56057049a454d70f0ab2393fb,26/06/2023 00:51:31,ESCANER
12194,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,243,24,34,4,39,3,13,0,2,0,1,1,0,0,0,0,120,2,0,122,0,122,--,243,121,121,123,123,Sumas Asentadas sin cuadrar,1,d1dbfe93deef86336be6253fa9cbfcdaf2c60e42c3789532ce32578ec7de9dba,26/06/2023 00:37:16,ESCANER
12195,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,243,25,32,3,32,4,7,2,3,2,0,0,0,0,0,1,111,4,1,116,--,--,--,--,--,111,116,116,Algún campo sin dato,1,e28bc336623b18ef74aebd6d1a4d0dcb194aa72403dfebfa20052f520518016e,26/06/2023 00:38:50,ESCANER
12196,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1650,380,35,77,1,43,17,26,1,4,2,1,6,4,0,1,0,218,26,5,249,0,249,--,380,128,218,249,249,Algún campo sin dato,1,ab898c29d76bfbc67b7052acce298d7ddb3e9f80a17d229ea966fc9a438d7e77,25/06/2023 23:23:49,ESCANER
12197,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1650,380,36,77,2,34,20,34,2,3,2,2,8,0,0,0,0,220,21,6,247,0,247,--,380,133,220,247,247,Algún campo sin dato,1,284dc57f61738644dc38f346376fdc30749f66278dc52b74d24e131189487aa8,25/06/2023 23:19:10,ESCANER
12198,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1650,380,33,73,3,23,15,30,0,11,4,1,3,0,2,0,0,198,22,4,224,0,224,--,380,156,198,224,224,Algún campo sin dato,1,b0d3ff43a419abfad7b00f4450193f39f040a5913e107e73570fc7d51cef5579,25/06/2023 22:54:48,ESCANER
12199,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1650,304,37,54,4,25,6,12,0,3,4,0,2,0,0,0,0,147,8,4,159,0,159,--,304,145,147,159,159,Algún campo sin dato,1,db00119b918be84704867a2d45bf54157a738ab8f15a41b41e5c637b7848d064,25/06/2023 23:11:32,ESCANER
12200,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1650,303,19,45,3,18,5,21,1,2,0,0,2,0,0,0,2,118,5,1,124,0,124,--,303,179,118,124,124,Algún campo sin dato,1,fe592a3f57009eee1dfbdc832b2f2f3154950000ed0b1d86cbd9be16398be309,25/06/2023 23:30:56,ESCANER
12201,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1651,380,17,100,2,41,14,15,1,7,4,2,1,0,1,1,3,209,31,4,244,0,244,--,379,135,209,244,244,Algún campo sin dato,1,1c026264526a82a0992f883e07b2ec5fdc7737e6da2585ba185f10cb23688531,26/06/2023 00:20:55,ESCANER
12202,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1651,380,25,92,1,42,21,20,1,4,1,1,8,2,0,2,2,223,28,8,259,0,259,--,380,121,222,258,258,Sumas Asentadas sin cuadrar,1,baf237957d42d23b3eb53808978b41afc58d1cd1ad2e5568b1535bdffb7b9db6,26/06/2023 00:24:35,ESCANER
12203,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1651,333,16,83,5,27,14,23,3,2,1,0,1,1,0,0,0,176,14,4,194,0,194,--,333,139,176,194,194,Algún campo sin dato,1,d011cf78f06428e956bddc48560d89260423ec064717471b465c220957c44001,26/06/2023 00:00:50,ESCANER
12204,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1651,333,17,78,7,33,10,22,7,0,1,0,1,0,0,0,1,177,3,0,180,0,180,--,333,153,177,180,180,Algún campo sin dato,1,de4e6699ec071e63aaf1b1010513427d4d8cc002d9a9d64ad224b02539a0467a,25/06/2023 23:39:40,ESCANER
12205,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1652,600,11,62,4,51,29,34,2,6,7,1,2,1,1,1,0,212,19,5,236,0,236,--,600,364,212,236,236,Algún campo sin dato,1,b0d28e32ccbefe86541afee7e6c7256013138dc85e5d9f45e45855c6d2c2b2e6,26/06/2023 01:17:56,ESCANER
12206,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1652,600,30,75,2,61,24,19,0,3,7,0,6,1,1,0,5,234,26,9,269,0,269,--,600,331,234,269,269,Algún campo sin dato,1,98e55d3e5ba82df8fc73e68509692150356cd7876429d9a0d1c9a3bda9c7db80,26/06/2023 00:56:20,ESCANER
12207,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1652,380,8,50,3,13,10,14,1,2,5,0,3,2,0,1,1,113,15,4,132,0,132,--,377,245,113,132,132,Algún campo sin dato,1,d831d5450c3e7a1bf32e1b49576c7940fad39eaf7d94c61d891fefdf5bd7784b,25/06/2023 22:37:55,ESCANER
12208,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1652,380,1,16,1,7,4,8,0,2,2,0,0,1,0,1,1,44,7,1,52,0,52,--,376,324,44,52,52,Algún campo sin dato,1,affed686082a029dd3c816575d6f21ec2904aed016516f608f00ce249ce5b5a0,25/06/2023 21:34:56,ESCANER
