TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,23210,14146,60.9478

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VALOR,VAMOS,VIVA,BIEN,CC EL CAMINO,TODOS,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13105,"Retalhuleu",11,"El Asintal",9,1786,380,6,23,5,25,5,74,37,0,0,31,206,7,0,213,0,213,--,380,164,206,213,213,Algún campo sin dato,1,5df28ef9f7f38babd4f2ce9d19052db48c3f14930b2aeed3296215956169f475,26/06/2023 00:33:58,ESCANER
13106,"Retalhuleu",11,"El Asintal",9,1786,380,6,28,8,20,5,53,53,0,0,24,197,0,1,198,0,198,--,380,182,197,198,198,Algún campo sin dato,1,c64415dfa745bcfc968b0a30c82f06be08bb4f9b1b4c4c851f2f9acbd67d3810,25/06/2023 23:10:46,ESCANER
13107,"Retalhuleu",11,"El Asintal",9,1786,321,1,25,5,31,4,57,33,0,0,18,174,0,0,174,0,174,--,318,144,174,174,174,Algún campo sin dato,1,30ce84e046d86738207215ee7bf756e0c7e8db6c8f11e126c5198967743b0dff,25/06/2023 23:16:54,ESCANER
13108,"Retalhuleu",11,"El Asintal",9,1786,321,4,12,4,26,4,48,39,0,0,24,161,5,1,167,0,167,1,321,154,161,167,167,,1,5d295dca6832e4470d111b507d0054e8c6fb228c27e7f6dd9d89a6e2389a14f9,26/06/2023 00:55:04,ESCANER
13109,"Retalhuleu",11,"El Asintal",9,1787,380,9,16,13,47,2,41,71,0,5,35,239,32,5,276,0,276,--,380,104,239,276,276,Algún campo sin dato,1,2859a4da9c2e900d0b7e6be4396cef60e82a8533207c67fcfce69ef4c3a7a6cd,25/06/2023 23:49:35,ESCANER
13110,"Retalhuleu",11,"El Asintal",9,1787,380,5,15,16,29,5,60,50,0,4,43,227,26,4,257,0,257,--,380,123,227,257,257,Algún campo sin dato,1,dd6dec478b0525bbdcf6810cb4b2c22a4be5804dd5b608a90f6b97d5fac37864,26/06/2023 00:03:40,ESCANER
13111,"Retalhuleu",11,"El Asintal",9,1787,380,2,13,11,42,2,59,86,0,3,42,260,23,0,283,0,283,--,380,97,260,283,283,Algún campo sin dato,1,7585c0e2690012529556d95026b4aa26eb4d3391350324cbf66ab4aa3f911fc0,26/06/2023 00:48:11,ESCANER
13112,"Retalhuleu",11,"El Asintal",9,1787,380,12,14,4,57,7,55,74,1,4,46,274,24,2,300,0,300,--,380,80,274,300,300,Algún campo sin dato,1,bd08790bdc9219d55beebab04054a950fbef97ac1dc309ea90d4a7b74cc64e8d,26/06/2023 01:39:38,ESCANER
13113,"Retalhuleu",11,"El Asintal",9,1787,380,3,14,13,23,0,51,55,0,4,33,196,9,1,206,0,206,--,380,174,196,206,206,Algún campo sin dato,1,fa81075a2fd1b09ac2c4495b314b8f71de1c6a1f7aa8caf3cc56e6b20d47a81d,26/06/2023 01:20:42,ESCANER
13114,"Retalhuleu",11,"El Asintal",9,1787,380,9,13,11,29,5,40,55,0,3,42,207,17,3,227,1,228,1,380,152,207,227,228,,1,cb0bc9968c01e5a017c260a82d1cdc03d705acb4d2dc792b43c3c689a9ebcb0b,26/06/2023 02:15:41,ESCANER
