TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20471,"Petén",17,"San Benito",3,3189,400,91,5,8,107,1,7,0,4,2,225,9,2,236,0,236,--,400,164,225,236,236,Algún campo sin dato,1,b0658782bd9748cf970047cc65d800d702c8b3847c1bbfe46231c5ca91339c4b,26/06/2023 02:18:28,ESCANER
20472,"Petén",17,"San Benito",3,3189,316,80,6,13,70,4,0,0,2,2,177,4,0,181,0,181,--,316,135,177,181,181,Algún campo sin dato,1,b2458c65d2b5a8b4649190f387fd9f3029cc40e1038d59055ac623dece2c7bf3,26/06/2023 02:57:31,ESCANER
20473,"Petén",17,"San Benito",3,3189,315,86,3,3,63,1,1,1,2,5,165,6,0,171,0,171,--,315,144,165,171,171,Algún campo sin dato,1,e96bd9d6d29c1a24991a949e53d23ade115a6ccf93a769282ef0c18d804dfac9,26/06/2023 00:03:24,ESCANER
20474,"Petén",17,"San Benito",3,3190,400,79,9,10,115,2,6,3,1,2,227,13,2,242,3,245,1,400,154,227,242,245,,1,9936bd5373b350d85522f3c69afa594e1a3a695116308665b617ab11018d2e64,26/06/2023 02:41:00,ESCANER
20475,"Petén",17,"San Benito",3,3190,400,93,7,4,137,2,1,1,0,5,250,13,3,266,0,266,--,399,133,250,266,266,Algún campo sin dato,1,52e2d6f7b15725ceaa5cfce1a155efc4f581db1c9f4f2fe83decb940e238c2b3,25/06/2023 23:23:18,ESCANER
20476,"Petén",17,"San Benito",3,3190,400,95,6,5,161,5,5,5,1,3,286,13,2,301,0,301,1,400,99,286,301,301,,1,b218941a4c24496876728dfeeefdca0b588dea0d811a231b1fb2180c87615342,25/06/2023 23:52:58,ESCANER
20477,"Petén",17,"San Benito",3,3190,400,80,8,9,142,3,4,5,1,1,253,5,2,260,0,260,--,400,140,253,260,260,Algún campo sin dato,1,cf6d5c411eec20e375e6a0bc070ab3edd2e71cc8d41d20bcd7a0b5c1f820011c,26/06/2023 02:58:51,ESCANER
20478,"Petén",17,"San Benito",3,3190,400,93,9,6,134,1,1,1,3,5,253,10,2,265,0,265,--,400,135,253,265,265,Algún campo sin dato,1,dc2ae4cdef63cb8f7663b8440603461997ab16150c1958b4db499f73d98869a6,25/06/2023 23:26:32,ESCANER
20479,"Petén",17,"San Benito",3,3190,400,85,8,9,113,2,1,3,4,4,229,9,4,242,0,242,--,400,158,229,242,242,Algún campo sin dato,1,430e668e067ccbea33f94e43d3000a0e28e8a348e7bac35a1c7f7d081ab801e7,26/06/2023 01:53:32,ESCANER
20480,"Petén",17,"San Benito",3,3190,400,77,5,4,127,1,2,4,1,5,226,15,2,243,0,243,--,--,--,226,243,243,Algún campo sin dato,1,2ecea8129417d0155631b1a857946a17a826461804050ecb227ede2ff47e694c,26/06/2023 05:12:54,ESCANER
20481,"Petén",17,"San Benito",3,3190,400,92,7,4,107,1,1,0,2,6,220,16,3,239,0,239,--,396,157,220,239,239,Algún campo sin dato,1,283acbbbb00986ab40caad3b4cb02bb30aff53ee0f8ea92747908c4822c373a0,26/06/2023 02:57:07,ESCANER
20482,"Petén",17,"San Benito",3,3190,400,99,2,5,134,0,3,1,6,5,255,2,2,259,0,259,--,396,137,255,259,259,Algún campo sin dato,1,bdea399da83cad0fdfa626c159d191696b965fab442b9a00dbc74f3ad63b0b6a,26/06/2023 00:07:39,ESCANER
20483,"Petén",17,"San Benito",3,3190,269,80,2,6,82,0,3,0,1,1,175,0,0,175,0,175,--,269,94,175,175,175,Algún campo sin dato,1,5d2cb2f4dcde065ff72c78a4d091e5ffdf272345726ed56d77fe69eca93eca24,26/06/2023 02:52:26,ESCANER
20484,"Petén",17,"San Benito",3,3190,269,61,4,2,68,1,4,4,2,1,147,4,2,153,0,153,--,269,116,147,153,153,Algún campo sin dato,1,6211b574017b7ebece4ae3ad28159f5dfe9522106cfc7cef09894253e4f661ee,25/06/2023 22:42:07,ESCANER
20485,"Petén",17,"San Benito",3,3191,400,95,12,8,105,3,0,1,4,3,231,23,4,258,0,258,--,400,142,231,258,258,Algún campo sin dato,1,ab4363ad2a9820e3d77e1ab93e2b0f7e8b660eba253577022d956be673e79a65,26/06/2023 03:05:40,ESCANER
