TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,40118,21953,54.7210

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,CABRA,MLP,VAMOS,CABAL,TODOS,PPN,PHG,PODEMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20944,"Petén",17,"Sayaxché",10,3257,366,4,25,56,3,53,2,5,9,3,0,0,0,160,17,2,179,0,179,--,366,184,160,179,179,Algún campo sin dato,1,c743f6e532ee8d1718339946a527dfa40de013dd0b8b80fd17d9febd9bd28900,26/06/2023 02:14:13,ESCANER
20945,"Petén",17,"Sayaxché",10,3258,380,12,29,73,4,28,3,6,2,0,0,3,1,161,25,6,192,0,192,--,377,185,161,192,192,Algún campo sin dato,1,7b637d9f9f112840be0fcd93953aa46d2222d38d0e628173b7367c3f36655fa3,26/06/2023 01:29:28,ESCANER
20946,"Petén",17,"Sayaxché",10,3258,380,7,24,78,2,54,6,6,1,0,0,2,0,180,18,5,203,4,207,--,377,170,180,203,207,Algún campo sin dato,1,d609e1b3388dbc44f020d4e0fd032a1a33c4f24fae9ba387d29bba3f0cc581f1,26/06/2023 00:49:37,ESCANER
20947,"Petén",17,"Sayaxché",10,3258,380,4,25,88,1,42,10,8,0,0,0,0,1,179,19,6,203,0,203,0,380,177,179,204,204,Sumas Asentadas sin cuadrar,1,9556a12e92d8b01068932b4e581a772684e70d1505c02b893bd854f266c54607,25/06/2023 23:11:23,ESCANER
20948,"Petén",17,"Sayaxché",10,3258,380,6,34,76,4,33,7,9,1,0,1,2,0,173,17,7,197,0,197,--,380,183,173,197,197,Algún campo sin dato,1,b4533ea4def7807487596b6b958fc00508831e0d944215da52b9beabbc861d72,25/06/2023 22:23:01,ESCANER
20949,"Petén",17,"Sayaxché",10,3258,380,7,36,87,1,37,3,2,0,0,1,1,0,175,18,5,198,0,198,--,380,182,175,198,198,Algún campo sin dato,1,845419985db2b84a5285906239136a823669853791faf2dbc81e55d2b6fe7bb7,26/06/2023 01:24:14,ESCANER
20950,"Petén",17,"Sayaxché",10,3258,380,5,33,95,0,32,10,7,0,0,0,1,1,184,42,0,256,0,226,--,380,154,184,226,226,Sumas Asentadas sin cuadrar,1,cd2ff376b8b62a38b17177b409d0a6e82b85554964b36b0e62a62a8168ba31e7,26/06/2023 02:10:52,MOVIL
20951,"Petén",17,"Sayaxché",10,3258,380,8,17,80,4,35,5,4,1,0,0,3,0,157,27,5,189,0,189,--,380,191,157,189,189,Algún campo sin dato,1,a999ef6cb09d6615ab4eda1e1baeb890d535c657630b804b7bd8e7b6296c0ce3,26/06/2023 01:09:55,ESCANER
20952,"Petén",17,"Sayaxché",10,3258,380,1,26,82,2,32,8,6,2,0,0,1,0,160,20,5,185,0,185,--,380,195,160,185,185,Algún campo sin dato,1,e559f387d1cc420bfebbe357a4fe70ad6b8f8b79be8ca3bfdeef01e973caa883,25/06/2023 23:02:28,ESCANER
20953,"Petén",17,"Sayaxché",10,3258,380,8,19,78,2,34,6,14,0,0,1,0,0,162,17,7,186,194,380,--,380,194,162,186,380,Algún campo sin dato,1,dd181a0e36d76e8d9ac79511ec39d5ac3a748dc606df834eaa04227f27716ddc,25/06/2023 22:00:22,ESCANER
