TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
117,117,100.0000,116,99.1452,1,43667,31646,72.4712

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,MLP,VALOR,UNE,CABAL,PODEMOS,WINAQ,UR,VAMOS,P A N,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20029,"Alta Verapaz",16,"Chisec",13,3100,251,46,0,64,30,1,49,0,0,2,1,0,0,193,0,2,195,0,195,--,251,56,193,195,195,Algún campo sin dato,1,44f895c9d3ac002d74dc1bec0819dada93b3fcc39917456e4445b428360e3b5b,25/06/2023 22:42:07,ESCANER
20030,"Alta Verapaz",16,"Chisec",13,3100,250,49,0,35,31,0,57,1,0,5,3,0,0,181,4,2,187,0,187,--,250,60,181,187,187,Algún campo sin dato,1,6c4560e176b731be6e23ebb7464f8d8a5904ef629aabe5615aaf7dce00119fd3,26/06/2023 01:27:02,ESCANER
20031,"Alta Verapaz",16,"Chisec",13,3101,400,71,0,73,10,0,68,2,0,8,0,0,0,232,2,3,237,16,253,--,398,145,232,237,253,Algún campo sin dato,1,1b330847fdc8f89237efbb4c94049f3834c8254c26d8439a4836682bf52e49c1,26/06/2023 00:18:58,ESCANER
20032,"Alta Verapaz",16,"Chisec",13,3101,400,75,2,76,27,0,45,1,0,9,0,0,0,235,12,5,252,2,254,--,400,146,235,252,254,Algún campo sin dato,1,f3e9e59b4f5da9202c04aac3aedf67194115929d08ffae05349e234957fa3113,26/06/2023 01:08:42,ESCANER
20033,"Alta Verapaz",16,"Chisec",13,3101,400,70,2,67,28,0,51,0,0,0,0,0,0,218,41,2,261,0,261,0,400,139,218,261,261,,1,911c8ce9cbf7d2270459f76d42ee324ef4c962c06dcb2a635c7f79445cb96c38,25/06/2023 23:27:10,ESCANER
20034,"Alta Verapaz",16,"Chisec",13,3101,400,61,0,61,13,0,70,1,0,10,0,0,0,233,1,4,233,12,233,--,399,166,216,221,233,Sumas Asentadas sin cuadrar,1,2822cae936a6fcff47d15d63f01e0339b8764f673404201dd58eb4784a041df4,26/06/2023 01:46:15,ESCANER
20035,"Alta Verapaz",16,"Chisec",13,3102,400,67,1,70,9,2,63,2,0,15,0,0,0,229,20,3,252,0,252,0,397,145,229,252,252,,1,3e4dc86962441faba3cd972d5c8c5d92f2359b7dc21aa4613ebec38f0aeb29b3,26/06/2023 00:08:29,ESCANER
20036,"Alta Verapaz",16,"Chisec",13,3102,400,60,0,63,21,0,49,0,0,14,0,0,0,207,13,7,227,3,230,0,400,170,207,227,230,,1,5c4d7df9d3ec2e382f88ee693fde6810aa565cedd788bec0fd4c649bbf0dae99,25/06/2023 23:51:29,ESCANER
20037,"Alta Verapaz",16,"Chisec",13,3102,400,52,4,63,5,1,40,1,1,4,0,0,0,171,15,7,193,0,193,0,400,207,171,193,193,,1,89604172312741975f5f0d36548d48962f89b1df5af57383f79888d0e7885e93,25/06/2023 23:06:02,ESCANER
20038,"Alta Verapaz",16,"Chisec",13,3103,400,69,0,44,11,0,53,0,0,9,0,0,0,186,8,0,4,0,4,--,400,206,186,194,194,Sumas Asentadas sin cuadrar,1,0b7043340c000f615cb28def30ee567ae8141c7481750bdf6776be870919f789,25/06/2023 21:58:52,ESCANER
20039,"Alta Verapaz",16,"Chisec",13,3103,306,66,0,69,5,0,40,0,0,2,0,0,0,182,1,2,185,0,185,--,303,118,182,185,185,Algún campo sin dato,1,bba7f273b90723859d1951948be8f7c3e247d15240cd64acb6cf299947ac35d3,25/06/2023 23:10:00,ESCANER
20040,"Alta Verapaz",16,"Chisec",13,3103,306,65,0,55,10,0,35,0,0,5,0,0,0,170,5,0,175,0,175,--,306,131,170,175,175,Algún campo sin dato,1,8b2b187c8bb79890213fe247cd82ba9badac9eb174e60994f523a0ad58650f3b,25/06/2023 22:55:52,ESCANER
20041,"Alta Verapaz",16,"Chisec",13,3104,380,28,10,23,33,1,82,4,0,9,7,0,0,197,45,5,247,0,247,0,380,133,197,247,247,,1,cb6a3d0d61cce17d07c84023125e0580a37cb6690a5b3cffaa76f2a00f93f562,25/06/2023 23:18:42,ESCANER
