TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,23824,18077,75.8772

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,UNE,VAMOS,CAMBIO,PPN,VICTORIA,CABAL,WINAQ,VIVA,AZUL,VALOR,CREO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19191,"Alta Verapaz",16,"Tucurú",6,2944,278,4,41,42,0,48,61,0,1,9,0,3,0,0,209,3,3,215,0,215,--,278,60,209,215,215,Algún campo sin dato,1,0c0ac1304ebc917852c2bc07f5bc0a5076723ae9a45a6d3ff159aa298684cdb3,26/06/2023 06:47:20,ESCANER
19192,"Alta Verapaz",16,"Tucurú",6,2945,380,42,97,109,0,14,25,0,3,6,0,21,0,3,320,6,4,330,0,330,--,380,50,320,330,330,Algún campo sin dato,1,7f009cf09c1276620cd9ae4abc4778895f1123a9fe45da5e4d72ceb4b0212106,26/06/2023 03:08:18,ESCANER
19193,"Alta Verapaz",16,"Tucurú",6,2945,380,29,73,131,1,10,25,0,0,6,1,14,0,2,292,7,1,300,0,300,--,381,81,292,300,300,Algún campo sin dato,1,7283183baf71ac9ce73d1102d220780973f420eccd567227057563fd9ce7529e,26/06/2023 03:00:26,ESCANER
19194,"Alta Verapaz",16,"Tucurú",6,2945,380,38,84,107,0,13,26,1,1,3,0,13,0,2,288,10,7,305,0,305,--,377,72,288,305,305,Algún campo sin dato,1,3b54283a006a15c07ed4e4d8406b9c84d487a2fd3599db582759d5fa7eb54b68,26/06/2023 04:47:22,ESCANER
19195,"Alta Verapaz",16,"Tucurú",6,2945,282,15,50,86,1,10,16,0,0,3,0,13,0,0,194,7,1,202,0,202,--,279,77,194,202,202,Algún campo sin dato,1,9d8d5e7a292295fe50860c0c7325fedae6932cdc23c2e7ec5d95e9b933e43018,26/06/2023 03:24:43,ESCANER
19196,"Alta Verapaz",16,"Tucurú",6,2945,281,18,54,74,1,11,24,0,0,2,0,17,0,1,202,0,2,204,0,204,--,278,74,202,204,204,Algún campo sin dato,1,227cef5cff5d093fc3b747dbf9d73465bbbed2a0642ba90ee42ea65938fd49a6,26/06/2023 03:38:24,ESCANER
19197,"Alta Verapaz",16,"Tucurú",6,2946,380,33,147,107,0,4,13,0,0,21,0,6,0,1,332,6,1,339,0,339,--,380,41,332,339,339,Algún campo sin dato,1,713b6ce80674fe119fbbf8a401964623f41ec8189a80b4be3ab728a82049d0bc,26/06/2023 03:57:14,ESCANER
19198,"Alta Verapaz",16,"Tucurú",6,2946,228,22,58,58,0,3,8,0,0,4,0,1,1,0,155,5,1,161,0,161,--,228,67,155,161,161,Algún campo sin dato,1,137290c9c235de7b9ce0f0cf6f49cc9c45d340860c062459aae0dacca88da40a,26/06/2023 04:03:32,ESCANER
19199,"Alta Verapaz",16,"Tucurú",6,2946,228,29,74,53,0,3,8,0,0,6,0,4,1,1,179,3,1,183,0,183,--,228,45,179,183,183,Algún campo sin dato,1,e343f9a970ae9e484e2e19873e896fe088f0f3a4bb41da78f34069fe12a70aed,26/06/2023 04:11:32,ESCANER
19200,"Alta Verapaz",16,"Tucurú",6,2947,380,53,83,107,2,4,38,16,0,9,0,5,0,0,317,11,1,329,0,329,--,380,51,317,329,329,Algún campo sin dato,1,3189ba5e786a0a63358ed6c1de87ea9a5f8ff944df6134c04307fb96dc149836,26/06/2023 03:09:25,ESCANER
19201,"Alta Verapaz",16,"Tucurú",6,2947,380,41,69,120,0,8,29,8,0,13,1,8,1,0,298,7,2,307,0,307,--,380,73,298,307,307,Algún campo sin dato,1,40d18c862cdcda31731f5f8f1e85645cf3362f8d15c388686a12a457579056c7,26/06/2023 03:28:10,ESCANER
19202,"Alta Verapaz",16,"Tucurú",6,2947,290,27,47,64,0,6,24,3,0,7,0,18,1,0,197,4,3,204,0,204,1,287,83,197,204,204,,1,d12cb7651830b4f6b86863aa76a5b13d3edfd469f3078278408fee742c9b5d2d,26/06/2023 03:36:53,ESCANER
19203,"Alta Verapaz",16,"Tucurú",6,2947,289,36,71,60,1,3,26,8,1,3,0,9,0,0,218,3,0,221,0,221,--,289,68,218,221,221,Algún campo sin dato,1,3d5e8cf18d7c9f7cf44b263b14dc921a30342b48d784550badd4e96a0df4cccf,26/06/2023 03:43:46,ESCANER
19204,"Alta Verapaz",16,"Tucurú",6,2948,220,5,8,8,1,2,11,1,0,1,0,3,0,2,42,5,0,47,0,47,--,220,173,42,47,47,Algún campo sin dato,1,67662ac661c5ded0150378a53dfcfa108a04b6826d3b7d4b86ebf71a39361c8f,25/06/2023 21:56:14,ESCANER
