TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9292,"Sololá",7,"Nahualá",5,1136,380,133,21,11,79,2,0,0,1,1,248,23,9,280,0,280,--,380,100,248,280,280,Algún campo sin dato,1,08be816a093905a9318f4ff55faa009c27e1e030ba7a61f19b4a4de606af96d8,26/06/2023 01:25:29,ESCANER
9293,"Sololá",7,"Nahualá",5,1136,380,124,9,7,77,2,0,1,0,3,223,5,6,234,0,234,--,380,146,223,234,234,Algún campo sin dato,1,1d86bce152b597db09b375bf26f0926b243145c3d867985eb9fe4a0ae00b7cf2,26/06/2023 00:36:08,ESCANER
9294,"Sololá",7,"Nahualá",5,1136,199,63,4,6,35,1,0,0,0,1,110,6,0,116,0,116,--,199,83,110,116,116,Algún campo sin dato,1,36ef5e3711da76e4e3321066bd52e16f391b21bc633fb2a4c767acf9ff52cbc9,26/06/2023 01:09:56,ESCANER
9295,"Sololá",7,"Nahualá",5,1136,198,73,7,3,36,0,0,0,0,1,120,4,1,125,0,125,--,198,73,120,125,125,Algún campo sin dato,1,6cfabe8ad05a341c24b879aaeb75c6e9a7a225d0d5da7b2921bc6292d660dfe2,26/06/2023 01:18:30,ESCANER
9296,"Sololá",7,"Nahualá",5,1137,380,155,12,1,99,1,0,1,1,0,270,6,4,280,0,280,--,380,100,270,280,280,Algún campo sin dato,1,ed54fa7745b5a9bce212f0d0611f654fd8a0070986c9cb6affc7d8465bb44a1d,25/06/2023 23:57:40,ESCANER
9297,"Sololá",7,"Nahualá",5,1137,380,163,9,0,115,1,0,3,1,0,292,7,3,302,0,302,--,380,78,292,302,302,Algún campo sin dato,1,cc19ced326a258ca8da5d1dfb30c4da9db51f590b86cd81495f86933fe86beae,25/06/2023 22:58:20,ESCANER
9298,"Sololá",7,"Nahualá",5,1137,380,154,6,3,105,0,1,1,1,2,273,12,5,290,0,290,--,380,90,273,290,290,Algún campo sin dato,1,4ca01f587b2c20183cc888f9efca362fd52f7e12fba5f077e47007be11f26e4b,26/06/2023 00:52:09,ESCANER
9299,"Sololá",7,"Nahualá",5,1137,380,191,5,2,85,1,0,0,1,2,287,9,8,304,0,304,--,380,75,287,304,304,Algún campo sin dato,1,925cb421e194e9fa51d95ff4b412ef86d3a80fd7c5eaab4ead78ef56108d58f5,26/06/2023 00:45:40,ESCANER
9300,"Sololá",7,"Nahualá",5,1137,380,152,6,1,139,0,1,0,1,0,300,12,2,314,0,314,--,380,66,300,314,314,Algún campo sin dato,1,b8d4fdf97e200d47459f930d7e8d043a3eaf866850bcd9210f69d2ab40b844d9,26/06/2023 01:58:07,ESCANER
9301,"Sololá",7,"Nahualá",5,1137,380,169,8,5,111,3,0,2,2,2,300,13,2,315,0,315,--,380,65,302,317,317,Sumas Asentadas sin cuadrar,1,6715ebf87841b77505d525993a378494ec35ad5b037782c2220820f1410fa177,26/06/2023 01:00:55,ESCANER
