TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,31252,20761,66.4309

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,ELEFANTE,TODOS,PODEMOS,CABAL,VOS,MI FAMILIA,P A N,URNG-MAIZ WINAQ,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22746,"Chiquimula",20,"Camotán",5,3561,380,58,36,25,106,1,0,1,1,0,0,0,5,233,17,11,263,0,263,2,381,119,233,261,261,Sumas Asentadas sin cuadrar,1,8d2b46556b8d4adda8fb166f6da33261612b850a08d173b3ec0b742dfe3e781f,26/06/2023 05:50:41,ESCANER
22747,"Chiquimula",20,"Camotán",5,3561,380,62,34,15,118,1,0,2,0,0,1,0,4,237,9,3,249,0,249,--,379,130,237,249,249,Algún campo sin dato,1,f0e4545337547f7f80b96dd5978f3be834f23e1ddfd841a61881a4f70b89f787,26/06/2023 04:15:19,ESCANER
22748,"Chiquimula",20,"Camotán",5,3561,380,39,21,20,112,1,1,3,1,0,0,0,5,203,16,3,222,0,222,--,380,158,203,222,222,Algún campo sin dato,1,000425edeb6d0a338c683f0ec9e03a2a8f5900bc7cc88623a7ca0031e906bd6b,26/06/2023 03:54:57,ESCANER
22749,"Chiquimula",20,"Camotán",5,3562,380,43,29,10,116,0,0,3,0,0,0,0,4,205,0,5,210,5,215,--,380,165,205,210,215,Algún campo sin dato,1,30e318e00cc7d0f2d7c2142aad420fbd6ed4fa75c1db3bddb1d2cb63b3c7d7ba,26/06/2023 01:29:50,ESCANER
22750,"Chiquimula",20,"Camotán",5,3562,208,21,15,12,79,0,0,1,0,1,0,0,3,132,2,1,135,0,135,--,208,73,132,135,135,Algún campo sin dato,1,4c23dba9ae34b73d17f075c9fc94922329f0d12ad13c1f8665dfe59cb23a0eb0,26/06/2023 00:58:13,ESCANER
22751,"Chiquimula",20,"Camotán",5,3562,208,21,12,9,59,1,0,0,0,0,0,0,1,103,5,5,113,0,113,--,205,92,103,113,113,Algún campo sin dato,1,277289c64a9b1b99415e854e215c4fa3341083e970c85764e3c04d12cbae4500,25/06/2023 23:43:46,ESCANER
22752,"Chiquimula",20,"Camotán",5,3563,380,83,122,5,59,3,1,3,1,0,0,0,2,279,11,8,298,3,301,--,377,76,279,298,301,Algún campo sin dato,1,a2c4be4c698914a28908d7f595e1e27d7ef1221b9858a050385a02369ab0c32e,26/06/2023 02:13:51,ESCANER
22753,"Chiquimula",20,"Camotán",5,3563,380,86,142,2,50,6,0,1,0,0,0,0,1,288,13,9,310,0,310,--,377,67,288,310,310,Algún campo sin dato,1,7da6c2914954923737f7392e77061ee89369a820179fc40d0ebd0d5737521688,26/06/2023 04:48:55,ESCANER
22754,"Chiquimula",20,"Camotán",5,3563,379,82,94,1,59,4,0,2,0,0,1,0,1,244,14,4,262,0,262,--,376,114,244,262,262,Algún campo sin dato,1,b8ec8b532f33008d75b967f74946ce9b0a26b6a9396f464c1e17bb13d497bf56,26/06/2023 00:59:04,ESCANER
22755,"Chiquimula",20,"Camotán",5,3563,378,73,117,2,58,2,0,0,0,0,0,0,0,252,3,1,256,0,256,--,378,122,252,256,256,Algún campo sin dato,1,1c6c2b70109265a9490d7263e29dcdd83cffed903f379e85a94678a12bd4e90d,25/06/2023 23:16:17,ESCANER
