TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9152,"Sololá",7,"Sololá",1,1117,380,83,113,89,3,288,5,6,299,0,299,--,380,81,288,299,299,Algún campo sin dato,1,9420553410e3600184301cda4787e9c59a2007ed3a59f771f3bae16d8d3fa2b4,26/06/2023 03:18:41,ESCANER
9153,"Sololá",7,"Sololá",1,1117,380,91,123,52,6,272,9,2,283,0,283,--,380,97,272,283,283,Algún campo sin dato,1,b0dc682de04a6ae96c97114187ab8e7200f19ac715770600b0f1723f2c6cee61,25/06/2023 23:30:32,ESCANER
9154,"Sololá",7,"Sololá",1,1117,380,61,105,97,4,267,11,2,280,0,280,--,380,100,267,280,280,Algún campo sin dato,1,28bde684ce1c5880d1be53dc00f10c06e11b40dfb5e5c8d2b6475b03939fbbd5,25/06/2023 23:33:56,ESCANER
9155,"Sololá",7,"Sololá",1,1117,380,58,138,87,5,288,4,4,296,0,296,--,380,84,288,296,296,Algún campo sin dato,1,21fefdeb4d05433a8727d7140f6afd8276b200be346c8e372287da4c8b2dae90,25/06/2023 23:26:55,ESCANER
9156,"Sololá",7,"Sololá",1,1117,380,67,110,108,8,293,8,3,304,0,304,--,380,76,293,304,304,Algún campo sin dato,1,b89ae4e520e439b0c755b273d6b1db4512067efd253cb15049ad98c70e610bfd,26/06/2023 02:26:53,ESCANER
9157,"Sololá",7,"Sololá",1,1117,380,80,90,76,5,251,3,0,254,0,254,--,380,126,251,254,254,Algún campo sin dato,1,0c7dacc38a337a8a011c5b50b6d17cf571574a3a2887cd49da5034751775faec,26/06/2023 03:27:27,ESCANER
9158,"Sololá",7,"Sololá",1,1117,380,72,100,23,14,269,1,1,271,0,271,--,350,109,209,211,211,Sumas Asentadas sin cuadrar,1,d1c427cc868664bd57cbbce0671bae61f05d7d81377cce6e7d281022aaa110d1,26/06/2023 02:06:14,ESCANER
9159,"Sololá",7,"Sololá",1,1117,380,66,100,76,9,251,3,1,255,--,255,--,380,125,251,255,255,Algún campo sin dato,1,3c17e83f22f86ab46eca03ceeb6b0bfa63d7b402d9045cb2c50fe0e590880a23,26/06/2023 01:22:10,ESCANER
9160,"Sololá",7,"Sololá",1,1117,380,59,96,72,7,234,1,1,236,0,236,--,380,144,234,236,236,Algún campo sin dato,1,7f1b23d0918da9f1de677a97bc1c036a827cd806cc3dbfa659abb4b5fc967468,26/06/2023 00:03:26,ESCANER
9161,"Sololá",7,"Sololá",1,1117,380,69,96,81,8,254,1,0,255,0,255,--,377,122,254,255,255,Algún campo sin dato,1,5c57d587fa9c40d4381b89e2f44a0fccad12cede238a753d240d97db4d6e148e,26/06/2023 00:58:50,ESCANER
