TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
90,90,100.0000,90,100.0000,0,33942,18900,55.6832

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PPG,UNE,WINAQ,AZUL,PODEMOS,MLP,VICTORIA,P A N,CREO,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2669,"Guatemala",1,"San Pedro Ayampuc",7,236,380,49,11,46,8,22,12,2,11,9,2,2,21,3,3,201,21,5,227,0,227,--,377,150,201,227,227,Algún campo sin dato,1,a4ffed85a1d4b30f7a9e8ad5c0dba4c5342a6096d390b6083c3b203016cc359b,25/06/2023 23:04:21,ESCANER
2670,"Guatemala",1,"San Pedro Ayampuc",7,236,380,50,10,59,4,18,8,4,17,6,7,1,17,4,3,208,13,2,223,0,223,--,380,157,208,223,223,Algún campo sin dato,1,e9c811e211829e23457fdd477a9bfbe4d493e42a73ec7398507fcceb626fe94e,25/06/2023 23:55:50,ESCANER
2671,"Guatemala",1,"San Pedro Ayampuc",7,237,380,51,11,45,2,21,16,8,13,7,4,3,13,5,2,201,15,5,221,0,221,--,380,159,201,221,221,Algún campo sin dato,1,91e43d3e69b0bf98f87101bf093107ea60e54cab73b1423a491c4765b186ca12,25/06/2023 23:57:05,ESCANER
2672,"Guatemala",1,"San Pedro Ayampuc",7,237,380,52,11,45,6,23,19,7,13,4,2,2,15,5,3,207,17,--,224,--,224,--,380,156,207,224,224,Algún campo sin dato,1,d35b9ce44cd3780c4f82a6debafde5ed95a021aa3f2fd484c024054319545a7f,25/06/2023 22:59:14,ESCANER
2673,"Guatemala",1,"San Pedro Ayampuc",7,237,380,47,13,54,7,21,13,3,11,10,2,2,16,2,1,202,14,0,216,0,216,--,380,164,202,216,216,Algún campo sin dato,1,bba16437b6d1fd273911adcfd225004f5eb64ee132484995643df534640b7a2d,25/06/2023 22:22:15,ESCANER
2674,"Guatemala",1,"San Pedro Ayampuc",7,237,380,35,8,51,7,20,12,2,19,9,2,1,18,5,1,190,11,2,203,0,203,--,380,177,190,203,203,Algún campo sin dato,1,c162658cb11557160d801a0306dd465f84f057cc542cdd064bdbe26afd74f8e1,25/06/2023 23:40:27,ESCANER
2675,"Guatemala",1,"San Pedro Ayampuc",7,237,380,53,12,47,6,34,12,6,7,3,5,0,7,4,2,198,16,3,217,0,217,--,380,163,198,217,217,Algún campo sin dato,1,4200a1bf69f319da34b5b3e2a33dafb97138f4c5d67d6a3aa918836764b20f66,26/06/2023 00:18:54,ESCANER
2676,"Guatemala",1,"San Pedro Ayampuc",7,237,380,62,8,51,5,19,6,4,8,3,0,3,13,5,4,191,20,0,211,0,211,--,380,169,191,211,211,Algún campo sin dato,1,5f7f20b1578d930bdaecfabc6a684496f77540470623df8339f297ae89c898e3,26/06/2023 01:32:00,ESCANER
2677,"Guatemala",1,"San Pedro Ayampuc",7,237,380,39,7,65,4,21,15,4,10,4,4,2,7,4,4,190,20,5,215,0,215,--,380,165,190,215,215,Algún campo sin dato,1,ecf4c870873146cfd0f2122e52f2037a0c065e62b3a3b9e73872a528171de51c,25/06/2023 22:21:07,ESCANER
2678,"Guatemala",1,"San Pedro Ayampuc",7,237,380,64,13,56,1,25,17,7,12,2,1,0,7,7,1,213,13,1,227,0,227,--,379,152,213,227,227,Algún campo sin dato,1,fda5c82d0f2f7296e8c4b930ed3f2de2f6f664f3456595b6c27d4937b361393c,26/06/2023 00:59:26,ESCANER
