TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
95,95,100.0000,95,100.0000,0,35822,18636,52.0238

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,UNE,CAMBIO,MLP,PODEMOS,VICTORIA,TODOS,UR,BIEN,PR,PPN,VAMOS,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7757,"Escuintla",5,"Tiquisate",6,877,380,21,11,4,15,4,2,164,23,0,0,0,1,0,1,1,0,247,12,3,262,0,262,0,380,118,247,262,262,,1,1fa196c03f4d417a6654de805f6ec730e836dcdcd3188cd98dd8fcebf56837cb,25/06/2023 22:54:14,ESCANER
7758,"Escuintla",5,"Tiquisate",6,877,380,33,17,3,9,1,2,146,9,0,0,0,4,1,1,0,0,226,18,6,250,0,250,0,380,130,226,250,250,,1,bc9a615678c1eeec3e2dc4ad6357d4b633eac801e5bcc9acfc0648d8e4adedf6,25/06/2023 21:49:58,ESCANER
7759,"Escuintla",5,"Tiquisate",6,877,380,28,17,3,8,0,2,166,9,0,0,0,4,0,0,1,0,238,25,2,265,0,265,0,380,115,238,265,265,,1,6e566bf4e2bf228134c1e376ea4d52df47f55c1d22d0d39d67f67cd28405b7a9,26/06/2023 00:22:18,ESCANER
7760,"Escuintla",5,"Tiquisate",6,877,380,23,10,5,5,2,1,147,12,0,0,0,0,1,0,2,0,208,21,1,230,0,208,0,380,150,208,230,230,Sumas Asentadas sin cuadrar,1,8232bd88400e83484aaa2f761cf6ed119370ba9a0ee238e651baca863262af5b,26/06/2023 00:35:32,ESCANER
7761,"Escuintla",5,"Tiquisate",6,877,277,15,9,1,2,0,0,152,9,0,0,0,0,0,1,0,0,189,1,3,193,0,193,0,277,84,189,193,193,,1,206df172997720b8cdeea2e948984223e24e28ba5c2df6273249075bfb682372,25/06/2023 22:48:27,ESCANER
7762,"Escuintla",5,"Tiquisate",6,877,276,23,4,2,5,0,0,103,7,0,0,0,1,0,1,1,0,147,8,0,155,0,155,0,276,121,147,155,155,,1,770a10d38e0e609df093e554bd9dabb8754367de8ae7749234902a9fe4577d8a,25/06/2023 23:09:12,ESCANER
7763,"Escuintla",5,"Tiquisate",6,878,380,41,43,3,34,2,1,56,4,0,1,0,3,2,3,2,0,195,23,6,224,0,224,0,380,195,195,224,224,,1,83102403e9e7ff57102a2644f356783bcb881b2ee9f923fede7ac0168cd98cb3,26/06/2023 00:55:54,ESCANER
7764,"Escuintla",5,"Tiquisate",6,878,380,35,38,2,29,1,1,52,11,0,0,0,6,2,2,1,0,180,40,4,224,0,224,0,380,156,180,224,224,,1,5c821af84ea0c93b716160ddb8b5ad9600c476396ce3b2c1c9bf8cccf93ee199,26/06/2023 00:50:17,ESCANER
7765,"Escuintla",5,"Tiquisate",6,878,380,35,43,3,23,2,0,56,6,2,0,0,1,4,2,7,0,184,21,8,213,0,213,0,376,163,184,213,213,,1,24e45c772a605417054aeb66522a7d60b314abbea8181d61a426d9c822faed34,26/06/2023 00:10:51,ESCANER
7766,"Escuintla",5,"Tiquisate",6,878,380,36,34,5,17,0,2,49,5,0,1,0,4,0,3,4,0,160,15,5,180,0,0,0,380,200,160,180,180,,1,19f883ccf6c25b934716f3efda280304e5aeb031fa879b6de347185ce8d146f8,25/06/2023 23:45:08,ESCANER
7767,"Escuintla",5,"Tiquisate",6,878,380,43,20,3,16,2,1,46,4,1,0,0,0,0,4,5,0,145,26,3,174,0,174,0,380,203,145,174,174,,1,744978433da08f01ff4846737b155fd3841f8d994c0f7683b4c9491313206539,25/06/2023 22:19:58,ESCANER
7768,"Escuintla",5,"Tiquisate",6,878,380,40,29,5,31,1,1,44,5,2,1,0,2,0,0,5,0,166,28,3,197,0,197,0,380,183,166,197,197,,1,a4b635cbe5ffa535f2861f3ed7cc14de4e97eba5cc1ccb15011ecc9fa5965036,25/06/2023 23:27:52,ESCANER
7769,"Escuintla",5,"Tiquisate",6,878,380,32,34,3,29,2,0,69,1,0,1,0,1,2,2,5,1,182,24,9,215,0,215,0,380,165,182,215,215,,1,617dd101e09d1409f4609c50e6cb4b3fccd3c3812ea1533f0f57f3eb95891c75,25/06/2023 22:54:43,ESCANER
7770,"Escuintla",5,"Tiquisate",6,878,380,38,24,3,21,2,2,52,5,0,0,0,6,1,1,4,0,159,11,4,0,6,180,0,380,199,159,174,180,,1,9f25634ce94de912a71dc024dff0a29f794e0b02a1987bc7aac6523efa8e4251,26/06/2023 00:53:17,ESCANER
7771,"Escuintla",5,"Tiquisate",6,878,380,32,24,4,19,3,0,45,3,0,2,0,2,2,2,3,0,141,14,1,156,0,156,0,380,224,141,156,156,,1,d44ac54c9838aa216a7bcb6af1086f14e44d1c4066ec08085012bbf145a4368c,25/06/2023 23:47:53,ESCANER
7772,"Escuintla",5,"Tiquisate",6,878,208,11,16,3,5,0,0,33,3,0,2,0,2,0,0,0,0,75,14,1,90,0,90,0,208,118,75,90,90,,1,8d767249c7bbb51267f3cf074674e212717042f666b54fafe5fa3f472227ebe4,25/06/2023 21:47:14,ESCANER
