TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
167,167,100.0000,167,100.0000,0,66139,40684,61.5128

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,UNE,CAMBIO,VAMOS,VIVA,CABAL,SEMILLA,MLP,TODOS,PPN,PR,ELEFANTE,VOS,PODER,BIEN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7412,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,12,32,50,7,55,5,37,10,1,3,1,4,3,8,1,1,0,230,6,3,239,0,239,0,400,161,230,239,239,,1,54dd21f1ec6960084523e7783684ecb50909067a7813a91eb627c9022eea6484,26/06/2023 02:04:44,ESCANER
7413,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,13,27,52,1,61,3,25,13,1,6,13,1,2,3,0,1,1,223,7,0,230,0,230,0,400,170,223,230,230,,1,ede807201e826fa4a9da5a2196dd2c82c16d78c5e0129df23bdc033741618efb,26/06/2023 01:34:14,ESCANER
7414,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,10,34,35,2,60,3,40,13,0,3,11,2,3,2,0,0,0,218,12,2,232,0,232,0,400,168,218,232,232,,1,5b391e6557e30cbaf43f9e00b6bbe79eb58ca817a6a6a4499f73dbb08a45aee3,26/06/2023 02:45:36,ESCANER
7415,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,5,35,37,1,55,1,37,11,0,0,2,0,2,8,0,0,0,194,8,1,203,0,203,0,0,0,194,203,203,,1,18643096bcdef95335a4e556889465a35c4766823af838fc191985421efea0a0,26/06/2023 00:35:47,ESCANER
7416,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,6,46,52,5,74,3,28,13,0,2,6,2,6,3,1,0,0,247,13,2,262,0,262,0,401,139,247,262,262,,1,a35f8198385f5975c894b3b56ffa9f379ca79e62a104e71c73ce8d63c0229075,25/06/2023 23:58:37,ESCANER
7417,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,7,32,46,5,70,2,25,19,0,1,14,4,1,1,0,0,1,228,11,0,239,0,239,0,400,161,228,239,239,,1,ccd8edf6b950462d9476075ef835585ca3ce69ef7d09c76d05cf4f299677d96d,26/06/2023 02:13:38,ESCANER
7418,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,11,41,35,2,57,2,33,11,1,1,8,0,0,2,0,1,0,205,4,0,209,0,209,0,400,191,205,209,209,,1,d8983bd30b05d9e6a0d33511eb200cb667d03d08a3f0fcc1e133c2349dfc524e,26/06/2023 01:54:34,ESCANER
7419,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,6,30,42,6,53,0,26,8,0,2,6,3,3,1,0,0,1,187,5,0,192,0,192,0,400,208,187,192,192,,1,2d2890da876127a77b7cde457fcf431075acfb4fac7158ece24d5cd9c20999c2,26/06/2023 01:23:25,ESCANER
7420,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,12,50,48,10,77,1,31,14,0,2,7,2,4,5,0,0,0,263,10,0,273,0,273,0,400,127,263,273,273,,1,dc90bc6fcca5f798f1152aa51eea549dd7e1f6aa63c53cdff4a3c48833a1c22d,26/06/2023 00:44:19,ESCANER
7421,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,827,400,12,60,51,3,63,1,38,7,0,0,5,1,1,3,0,0,1,246,8,0,254,0,254,0,400,146,246,254,254,,1,4966f24835449df9b32546d846231f7488b6be6fc7200b2270277ff14c4c02e4,26/06/2023 01:32:53,ESCANER
