TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,57726,36048,62.4467

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,TODOS,VAMOS,AZUL,VALOR,VOS,CH ICH,MANO. L. O.,CAMBIO,UNE,PODEMOS,PPN,URNG-MAIZ WINAQ SEMILLA,COLIBRI,MI FAMILIA,VIVA,ELEFANTE,FCN-NACION,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5936,"Chimaltenango",3,"Chimaltenango",1,624,400,2,6,49,5,14,13,64,15,35,11,4,4,11,9,3,11,5,0,7,4,272,13,2,287,0,287,0,400,113,272,287,287,,1,d52ff18e9f7f7496be553ee2f2619e21bcd6fab2ca0f9e2bfa2f8c4339a74fef,26/06/2023 01:42:48,ESCANER
5937,"Chimaltenango",3,"Chimaltenango",1,624,400,4,14,66,3,10,8,60,20,28,15,9,9,8,4,1,3,4,1,2,1,270,19,2,291,0,291,1,399,108,270,291,291,,1,8185d95a453556ca1d9df0435ae0baabb9440ea6083ff470387db3354c9bad6a,26/06/2023 02:53:05,ESCANER
5938,"Chimaltenango",3,"Chimaltenango",1,625,400,2,14,55,3,8,15,68,14,26,19,6,6,6,9,0,7,2,0,9,1,270,19,2,291,0,291,0,397,106,270,291,291,,1,7930ec898c70db7c3615c9300842fda5ffad8f190eb049e2c8b8866c68d0614a,26/06/2023 01:59:35,ESCANER
5939,"Chimaltenango",3,"Chimaltenango",1,625,400,4,9,66,2,11,15,57,16,39,17,5,9,7,5,3,5,2,1,3,3,279,11,1,291,0,291,--,400,109,279,291,291,Algún campo sin dato,1,07f8e99ab86dd4818429109637164520dd99acc3c1f1d5241a05dc85ab78d46d,26/06/2023 01:33:26,ESCANER
5940,"Chimaltenango",3,"Chimaltenango",1,625,400,2,10,61,7,12,10,57,15,35,17,9,2,1,7,6,3,3,1,5,0,263,8,1,272,0,272,0,400,128,263,272,272,,1,dbba70484ea8eeffd5113ac8cf47e10c8b9272e2c90b7c9823f57a7b1d7c7f0e,26/06/2023 02:19:16,ESCANER
5941,"Chimaltenango",3,"Chimaltenango",1,625,400,2,7,61,4,13,8,61,12,36,7,9,5,9,6,0,4,0,2,10,2,258,9,1,268,0,268,--,400,132,258,268,268,Algún campo sin dato,1,82f20ab6e17119c943aa8901a35a92011b5299f054d3539ad8864a6e8685d8b4,26/06/2023 04:09:53,ESCANER
5942,"Chimaltenango",3,"Chimaltenango",1,626,400,2,8,53,5,15,9,57,9,18,22,7,4,10,11,0,4,5,0,6,0,245,3,1,249,0,249,--,400,151,245,249,249,Algún campo sin dato,1,657449251c7ae8d9f55882a48654edcafcfa7c4cfcb9665acb2aae687bf2ed58,26/06/2023 00:49:22,ESCANER
5943,"Chimaltenango",3,"Chimaltenango",1,626,374,2,5,50,5,13,11,48,19,26,15,2,10,12,5,1,4,1,3,7,0,239,5,0,244,0,244,--,374,130,239,244,244,Algún campo sin dato,1,33c717ba53c816d856ec8690fecbd5cfaa8c7fa78e09cab879dcb9cd172a4be4,26/06/2023 00:15:57,ESCANER
5944,"Chimaltenango",3,"Chimaltenango",1,626,373,0,1,38,1,3,8,44,9,35,4,2,1,7,8,0,5,2,0,3,0,171,5,0,176,0,176,0,373,197,171,176,176,,1,7f3a0c04b324d12e59b6c7d4de5f6aefb158534a1034ab319fe322a809c035f6,25/06/2023 23:11:18,ESCANER
5945,"Chimaltenango",3,"Chimaltenango",1,627,400,0,10,39,3,9,8,69,6,24,12,3,5,0,5,2,20,3,0,6,4,239,14,0,253,0,253,--,400,147,228,242,242,Sumas Asentadas sin cuadrar,1,8b52b9bb8965e7af47b477e4515c5b6f3eef9e4fe4bfeb51dbc4102fbbd56457,26/06/2023 04:50:22,ESCANER
5946,"Chimaltenango",3,"Chimaltenango",1,627,400,6,16,38,6,19,14,48,7,41,6,1,6,11,5,3,9,5,10,11,1,253,21,2,276,0,276,0,400,124,263,286,286,Sumas Asentadas sin cuadrar,1,3de873c3d0c693406fc8f73f462371a75490be16f47cba9dff2cf592632047b8,26/06/2023 05:21:55,ESCANER
5947,"Chimaltenango",3,"Chimaltenango",1,627,400,2,8,44,7,15,12,59,12,32,16,4,11,6,6,0,16,3,1,5,4,263,13,0,276,0,276,--,400,124,263,276,276,Algún campo sin dato,1,f2e32b66b42fac5e5609946d7ad06d9b4cfbc70aa8a4a62de168f0f9c28c9e76,26/06/2023 02:52:58,ESCANER
5948,"Chimaltenango",3,"Chimaltenango",1,627,400,1,12,29,10,19,10,57,9,32,18,5,9,5,6,1,17,1,3,7,0,251,19,1,271,0,271,0,400,129,251,271,271,,1,5e3ef3b2945cc28c3af43f6fec39ab9a35b70740d0d7c4c4ff93cb7fb6beb124,26/06/2023 00:57:27,ESCANER
5949,"Chimaltenango",3,"Chimaltenango",1,627,400,2,10,36,6,13,10,69,4,49,10,5,14,2,10,2,10,5,1,10,2,270,23,0,293,0,293,--,400,107,270,293,293,Algún campo sin dato,1,882694180059ffa2aad3f2c58f0c9811c8bf3d4a2d9af99ade2ead277a8d7414,26/06/2023 04:59:25,ESCANER
