TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
115,114,99.1304,113,98.2608,1,40227,17509,43.5254

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,ELEFANTE,WINAQ,CABAL,UNIONISTA,VIVA,VAMOS,CREO,SEMILLA,PODEMOS,UNE,PPN,UR,VOS,TODOS,AZUL,VALOR,BIEN,PIN,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13665,"San Marcos",12,"Tacaná",7,1893,380,27,8,5,11,2,46,11,28,4,1,12,5,0,8,11,7,0,3,0,1,190,15,4,209,0,209,--,380,168,190,209,209,Algún campo sin dato,1,bd2619595dfde5065c35034dbdef6ec6a4d3ed0cafb8698fdee8509c051a67fa,26/06/2023 01:28:34,ESCANER
13666,"San Marcos",12,"Tacaná",7,1893,380,20,1,7,9,0,15,10,33,2,2,4,4,0,4,5,3,0,0,0,4,123,7,8,138,0,138,--,380,242,123,138,138,Algún campo sin dato,1,7e8d55a658c80033ce787d640cb56ea5980c2c45f9ea00ae5a6fdc0514cd4cbe,26/06/2023 00:28:48,ESCANER
13667,"San Marcos",12,"Tacaná",7,1893,380,18,3,5,7,2,19,11,33,6,1,8,7,0,3,9,3,1,1,1,2,140,15,18,173,--,173,--,380,207,140,173,173,Algún campo sin dato,1,7ecaafac51a3fce3aeef24d817aae22c732513be4f76144e6791196bed716178,26/06/2023 00:27:01,ESCANER
13668,"San Marcos",12,"Tacaná",7,1893,360,10,5,6,16,2,13,5,24,3,0,6,3,0,11,7,0,2,0,0,1,114,8,9,131,0,131,--,360,229,114,131,131,Algún campo sin dato,1,4d7c1c8125e0b1286c94179e3c5a56987a1a144673f3cdaa62dc36fbd14a8100,26/06/2023 02:41:42,ESCANER
13669,"San Marcos",12,"Tacaná",7,1893,360,13,5,3,10,0,18,5,31,4,2,4,0,0,1,6,0,1,0,0,0,103,5,10,118,0,118,--,360,242,103,118,118,Algún campo sin dato,1,b4f89739d12da9c1dd2478112ce17298b509b66fe8f04d9b331986c092b36170,26/06/2023 00:33:08,ESCANER
13670,"San Marcos",12,"Tacaná",7,1894,380,0,5,2,39,0,21,78,7,0,2,18,6,0,1,3,4,0,12,0,6,204,20,4,228,0,--,--,380,152,204,228,228,Algún campo sin dato,1,23e12e24c906bbd52aa55491f29c3f75479a83a440209d4d35576cc0511b744c,26/06/2023 02:26:34,ESCANER
13671,"San Marcos",12,"Tacaná",7,1894,380,0,3,1,37,1,8,104,10,1,1,14,10,0,1,3,6,0,4,0,2,206,13,8,227,0,227,--,345,118,206,227,227,Algún campo sin dato,1,e755a15c3f9a497a05c7b93da41f242c286cf3f05d1d4333f9487d8536c3f865,25/06/2023 23:23:06,ESCANER
13672,"San Marcos",12,"Tacaná",7,1894,380,1,1,1,39,1,11,53,5,2,3,6,13,0,0,2,3,0,5,0,3,149,8,7,164,0,164,--,380,216,149,164,164,Algún campo sin dato,1,fa7d6ce6ced29d50bb71cd1410a2b1435b0b95c22501511dedb6f8fef69e9caf,26/06/2023 01:49:27,ESCANER
13673,"San Marcos",12,"Tacaná",7,1894,273,0,3,1,18,0,11,62,6,2,0,3,0,0,0,4,2,0,1,0,0,113,5,3,121,0,121,--,273,152,113,121,121,Algún campo sin dato,1,19beb8f959994fe25b4c5a6e56726932f4d599f0b5e8088a161dadc2fb82a1ad,25/06/2023 23:02:08,ESCANER
13674,"San Marcos",12,"Tacaná",7,1894,272,0,1,0,15,0,9,51,6,0,1,5,0,0,0,3,1,0,6,0,1,99,4,1,104,0,104,--,271,167,99,104,104,Algún campo sin dato,1,4acf0306cbeeb287276824c6daa907d2863f275a3fdc44e6c8066b1a4e17ac1f,26/06/2023 02:12:49,ESCANER
13675,"San Marcos",12,"Tacaná",7,1895,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
13676,"San Marcos",12,"Tacaná",7,1895,380,3,5,13,11,0,27,5,96,0,8,9,0,0,1,7,7,0,3,0,6,196,8,12,216,0,216,--,380,164,201,221,221,Sumas Asentadas sin cuadrar,1,38bc2665286b18fdcfc2e1d8beb65f6463707724df6cda5e6d6a3e019342e0c3,26/06/2023 02:41:48,ESCANER
13677,"San Marcos",12,"Tacaná",7,1895,380,3,5,27,6,2,15,2,50,2,3,6,2,2,0,5,2,0,2,0,2,136,10,8,154,0,154,--,380,223,136,154,154,Algún campo sin dato,1,c5e8c475145139f2f77a2525e2b11b5c259a9def70ed6564862a353f3b7a7d40,26/06/2023 02:57:53,ESCANER
13678,"San Marcos",12,"Tacaná",7,1895,380,0,5,19,6,2,6,5,60,6,6,9,1,5,0,4,7,0,3,0,1,145,10,6,161,0,161,--,380,219,145,161,161,Algún campo sin dato,1,4c4cdc67cf316a625188b7900f807c874812be19ee42fc475902a952b058059c,26/06/2023 03:01:21,ESCANER
13679,"San Marcos",12,"Tacaná",7,1895,279,0,2,12,3,1,6,4,38,3,2,9,2,1,1,4,0,0,2,0,2,92,1,3,96,0,--,0,279,180,92,96,96,Algún campo sin dato,1,7ef8437b800ed774ccee1a79b43b2e0ab827a5f6e4a164c6e4809dde97ce8e15,26/06/2023 05:22:38,ESCANER
