TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,37134,26112,70.3183

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PPN,FCN-NACION,PHG,VAMOS,VALOR,VIVA,UNE,CABAL,CAMBIO,VICTORIA,MI FAMILIA,PODEMOS,ELEFANTE,AZUL,KAQ KOJ,SEMILLA,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19005,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,9,3,0,7,139,44,3,8,16,0,3,1,38,1,2,18,1,0,17,310,24,7,341,0,341,--,400,59,310,341,341,Algún campo sin dato,1,2aa5e9b07329ccf1ad5e4a67b075c86e95762f8455d52529413beb1b611eb558,26/06/2023 02:09:06,ESCANER
19006,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,10,3,0,9,124,40,3,3,6,0,7,1,41,1,3,13,1,1,24,290,32,8,330,0,330,--,400,70,290,330,330,Algún campo sin dato,1,82b80d680e6858b486ad9de86b18e9ae7a2f51aa355f981450c9351f6fa417b2,26/06/2023 02:12:31,ESCANER
19007,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,7,10,0,20,85,26,3,5,11,0,4,0,52,2,6,8,1,0,49,289,21,6,316,0,316,--,400,84,289,316,316,Algún campo sin dato,1,e629cf6eb9db3cf047ff46bc200fabf18ecf63dd88a08dc2e04eea8895439268,26/06/2023 00:43:30,ESCANER
19008,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,5,5,0,8,98,33,0,5,13,2,3,0,40,4,4,4,1,0,29,254,15,4,273,0,273,--,397,124,254,273,273,Algún campo sin dato,1,3470cd4080ff51ae522ab1ac3016ee898bafa605cb9635c2c65baef0795d63f8,26/06/2023 00:13:13,ESCANER
19009,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,4,3,0,5,90,34,2,9,16,0,6,0,42,1,3,5,0,1,28,249,15,2,266,0,266,1,--,--,249,266,266,Algún campo sin dato,1,77bb0a07a67646c94297d4608592f867cae5177577ebb28fe01517bba9f3cafc,25/06/2023 23:29:07,ESCANER
19010,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,2,8,0,11,85,35,1,2,16,1,7,0,34,1,3,8,0,1,29,244,3,0,247,0,247,--,400,153,244,247,247,Algún campo sin dato,1,79077c53008d6c348aae137171b89c2fa89efc38bc2615677cf4665b7ab631d0,25/06/2023 23:33:12,ESCANER
19011,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,4,2,0,7,109,35,0,4,5,2,1,0,34,0,0,8,0,3,23,237,5,2,244,0,244,--,400,156,237,244,244,Algún campo sin dato,1,41daf8e97d93b33d4084c79b98613f85237203296f919554f1ebf245f15737e8,26/06/2023 01:03:45,ESCANER
19012,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,215,1,2,0,6,46,16,1,6,7,2,5,0,16,0,3,1,0,0,13,125,4,1,130,0,130,--,215,85,125,130,130,Algún campo sin dato,1,37f8f4b6688a9099f8bde77786bdc236e2e22cfed1e2cf4ac4f3c8558c1232fa,25/06/2023 21:59:12,ESCANER
19013,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,214,4,1,0,9,40,12,2,1,3,0,2,0,21,1,2,2,0,0,15,115,6,2,123,0,123,--,214,91,115,123,123,Algún campo sin dato,1,91fb1692fefa720dc77dcb92d29044527c65813639f92a6585f26b73d78ca7f6,25/06/2023 23:01:48,ESCANER
19014,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,8,2,1,4,66,59,1,14,17,3,8,3,40,2,3,2,0,2,8,243,10,13,266,0,266,--,380,114,243,266,266,Algún campo sin dato,1,1b372acda50bb10a3351aed15567b3ab5abf1d3ea4fd1332b99e3259717bdfd6,26/06/2023 02:17:06,ESCANER
