TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
181,181,100.0000,180,99.4475,1,67663,36396,53.7901

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VALOR,TODOS,AZUL,UNE,MLP,VICTORIA,PPN,VIVA,UR,CAMBIO,PODEMOS,VOS,SEMILLA,BIEN,PPG,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21263,"Izabal",18,"Puerto Barrios",1,3306,400,6,113,34,22,13,7,1,8,1,2,0,0,3,2,2,3,1,8,226,13,2,241,0,241,--,399,158,226,241,241,Algún campo sin dato,1,9881a2733b3e1a6e236cd795e46a189cda5d65e626d41d1bd2e995def0204ec6,26/06/2023 01:28:49,ESCANER
21264,"Izabal",18,"Puerto Barrios",1,3306,400,9,83,34,25,14,4,2,4,1,2,0,2,6,4,1,4,3,0,198,18,1,217,0,217,--,400,183,198,217,217,Algún campo sin dato,1,79a5a8c572f723f81e9fc4cebdc288f90bab0b57850c80abb2a2dc2ee3fee4f7,26/06/2023 00:32:32,ESCANER
21265,"Izabal",18,"Puerto Barrios",1,3306,400,10,93,57,27,14,7,0,5,2,1,1,2,2,2,2,2,1,0,228,14,2,244,0,244,--,400,156,228,244,244,Algún campo sin dato,1,d3c63eaa892994e5bd12744e26ffc72339cb1fd2b8362cc2b565cc65c76fd49d,26/06/2023 01:01:30,ESCANER
21266,"Izabal",18,"Puerto Barrios",1,3306,400,7,100,40,16,13,6,0,10,1,1,2,6,3,3,0,2,4,5,219,18,3,240,0,240,--,396,156,219,240,240,Algún campo sin dato,1,bef45bcf7b68c4b37093b839caee3fbb38967cb7ff3d0b0cbb80a8f83e64c048,26/06/2023 01:11:08,ESCANER
21267,"Izabal",18,"Puerto Barrios",1,3306,400,8,105,38,18,11,8,0,6,3,0,4,1,5,2,3,3,2,3,220,15,1,161,0,397,--,397,161,220,236,236,Sumas Asentadas sin cuadrar,1,b4c7cfe889912c61452a2fe4a36fbc8121b4f92793f6c88af96014017047994b,26/06/2023 03:05:07,ESCANER
21268,"Izabal",18,"Puerto Barrios",1,3306,400,8,78,35,25,16,4,0,11,1,3,4,1,3,4,6,1,1,3,204,14,1,219,0,219,--,400,181,204,219,219,Algún campo sin dato,1,40e932dd5ab16c1612feced1c347f52a57adda967bf93fa1a32784d4e09dd689,25/06/2023 23:07:59,ESCANER
21269,"Izabal",18,"Puerto Barrios",1,3306,400,7,89,41,20,10,9,0,8,2,2,1,2,12,2,2,1,1,3,212,25,1,238,0,238,--,400,162,212,238,238,Algún campo sin dato,1,5c1550e36cbb99a3c9a9fca965d9631e4909dea970d33a095921aa67ce62e42e,26/06/2023 00:04:57,ESCANER
21270,"Izabal",18,"Puerto Barrios",1,3306,400,10,91,32,23,8,8,0,7,2,5,4,1,3,1,4,1,2,4,227,20,1,248,0,248,--,400,152,206,227,227,Sumas Asentadas sin cuadrar,1,be1c18de0026a8b1c3ddf5daf6ce9d6bea19e1e67f7d372c8feb3610f59804b0,26/06/2023 00:30:03,ESCANER
21271,"Izabal",18,"Puerto Barrios",1,3306,400,9,86,36,25,7,7,0,8,1,2,1,2,2,1,0,1,0,1,189,24,1,214,0,214,--,397,183,189,214,214,Algún campo sin dato,1,90b16a894c2a133ce386103d54f5089615fca57a779aaf186d6c4d71ecfa6997,26/06/2023 01:43:39,ESCANER
21272,"Izabal",18,"Puerto Barrios",1,3306,400,6,79,25,15,11,7,0,7,5,4,2,2,7,2,4,1,4,5,186,13,5,204,0,204,--,400,196,186,204,204,Algún campo sin dato,1,7d4ec2e022c8db02254c1da73fb8b55aa4685e1ef6e1a5ea5f641dd3e4aead8b,26/06/2023 00:19:38,ESCANER
21273,"Izabal",18,"Puerto Barrios",1,3306,400,3,78,40,14,6,8,0,5,3,4,5,2,1,1,2,0,2,0,174,11,1,186,0,186,--,400,214,174,186,186,Algún campo sin dato,1,1d1f3c9f56e2628c9e5d2b94d43ec2dbf6fab7cd6a829dc3167f8d14d2f9d160,26/06/2023 02:14:02,ESCANER
21274,"Izabal",18,"Puerto Barrios",1,3306,400,6,71,44,20,13,11,0,7,0,3,3,1,4,4,3,0,1,0,191,17,2,210,0,210,--,400,--,191,210,210,Algún campo sin dato,1,731339bb2bd3da9de8c33cb00462cdf2d83f1cf252086ef27375a38498c95d2d,26/06/2023 00:46:32,ESCANER
21275,"Izabal",18,"Puerto Barrios",1,3306,400,9,86,50,9,11,8,0,7,5,2,3,0,0,1,3,2,3,3,202,15,1,218,0,218,--,400,182,202,218,218,Algún campo sin dato,1,5041d7714a08073b49d1ba9929a6d47d25267489c56850742a8282c5520320b8,26/06/2023 01:54:32,ESCANER
21276,"Izabal",18,"Puerto Barrios",1,3306,400,5,73,48,26,14,8,0,7,1,0,1,3,3,2,3,2,1,9,206,19,1,226,1,227,1,400,173,206,226,227,,1,e1ed8ce19e19a0db426347cb1e6adeb3bef969512f9c0b96caa2617d024aeece,26/06/2023 00:56:19,ESCANER
21277,"Izabal",18,"Puerto Barrios",1,3306,400,6,90,34,20,15,3,1,6,0,3,3,4,1,2,2,2,1,6,199,14,2,215,0,215,--,400,185,199,215,215,Algún campo sin dato,1,0c1a043eb520aa0110a7f493d33b459617c99ff77af259744ec081d62d68297d,25/06/2023 22:47:20,ESCANER
21278,"Izabal",18,"Puerto Barrios",1,3306,400,7,84,43,20,15,4,0,8,2,1,0,0,3,0,2,0,2,2,193,9,1,203,0,203,--,400,197,193,203,203,Algún campo sin dato,1,ae9967994c0b64b661582de718ee1c2c48e6a8e1a8f83148a8d09b6e77e25cc5,25/06/2023 23:37:07,ESCANER
21279,"Izabal",18,"Puerto Barrios",1,3306,400,7,85,27,17,8,4,0,7,1,3,2,1,1,2,7,0,1,1,174,11,3,188,0,188,--,397,209,174,188,188,Algún campo sin dato,1,81927c37696a3dd01de55ce5ddf94ddba3e60717f32def6194f1bec5e3fa449b,25/06/2023 23:31:49,ESCANER
