TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
208,208,100.0000,208,100.0000,0,78651,44789,56.9465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VAMOS,UNE,U R N G - MAIZ,VIVA,BIEN,CABAL,UR,PPN,FCN-NACION,MI FAMILIA,VOS,PHG,PR,TODOS,P A N,VICTORIA,AZUL,PODEMOS,CAMBIO,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4084,"Guatemala",1,"Amatitlán",14,412,334,30,4,6,7,7,2,30,43,3,12,2,8,7,4,1,0,0,2,5,1,0,1,175,7,0,182,0,182,--,334,152,175,182,182,Algún campo sin dato,1,29079e83231febce260b96d05f1a88595eadbee0e0289a3c33c2e8bcb74f5619,25/06/2023 23:57:25,ESCANER
4085,"Guatemala",1,"Amatitlán",14,413,400,38,3,3,2,14,7,53,62,5,12,5,11,15,2,3,1,10,4,6,4,1,3,264,20,4,288,0,288,--,400,112,264,288,288,Algún campo sin dato,1,4e22402947cf609f227283c191897e54f880d04ebc8706d2539ad3eae2afe97b,25/06/2023 23:29:30,ESCANER
4086,"Guatemala",1,"Amatitlán",14,413,400,53,3,10,11,15,10,37,56,2,11,1,9,12,1,2,0,11,3,8,3,5,1,264,22,0,286,0,286,--,400,114,264,286,286,Algún campo sin dato,1,5c5ece4b7657150539ed4016b601c5864404a6831bef3097508f6eaeab789d01,26/06/2023 02:01:39,ESCANER
4087,"Guatemala",1,"Amatitlán",14,413,400,44,1,9,11,15,3,51,61,2,6,5,9,10,3,2,2,5,3,6,0,2,2,252,17,0,269,0,269,--,400,131,252,269,269,Algún campo sin dato,1,3560e819b5a8f1bd174ae10d6344cab8ee4cca89153e874f8bb15ec7d59f73ae,26/06/2023 01:53:19,ESCANER
4088,"Guatemala",1,"Amatitlán",14,413,400,53,3,10,6,8,3,55,61,2,12,4,3,24,2,3,0,2,2,4,1,2,2,262,12,0,274,0,274,--,400,126,262,274,274,Algún campo sin dato,1,962a30a7f9082628e0eb62c0f676926aaa3d82083485c427454217e5dae4cc19,26/06/2023 01:41:29,ESCANER
4089,"Guatemala",1,"Amatitlán",14,413,400,47,1,8,5,10,5,56,50,6,6,3,4,14,3,1,0,7,5,5,3,5,3,247,23,2,272,0,272,--,401,129,247,272,272,Algún campo sin dato,1,7d6a53b9b8a78da05e333764a97d28a356d6234476ca81cf6d550ee8856f2b27,26/06/2023 05:15:11,ESCANER
4090,"Guatemala",1,"Amatitlán",14,413,400,34,4,7,3,6,8,54,50,4,14,2,4,11,4,0,1,2,2,6,4,2,3,225,47,0,272,0,272,--,400,128,225,272,272,Algún campo sin dato,1,2ed3a1f4b3e2a4fcaa6d627336d81b29fcba88c31ec7bcedae0f89e319ccf8ae,26/06/2023 00:51:03,ESCANER
4091,"Guatemala",1,"Amatitlán",14,413,400,43,2,12,7,10,9,59,53,5,10,1,10,19,0,3,0,3,0,6,3,1,4,260,16,0,276,1,277,1,400,123,260,276,277,,1,a2432b93d6d8ac9c33210ef1b0a7df6c8a8aab82f754e139c37291a2fba3c6ce,26/06/2023 02:19:10,ESCANER
4092,"Guatemala",1,"Amatitlán",14,413,400,54,2,10,6,20,5,46,53,7,11,2,9,22,4,2,0,4,0,4,1,3,1,266,18,2,286,0,286,0,400,114,266,286,286,,1,7c01e191dde7e08d010821deca44b71ed8cf7dc5aa2b50f158ef9c05e1e00b1d,26/06/2023 01:38:08,ESCANER
4093,"Guatemala",1,"Amatitlán",14,413,400,42,6,11,7,7,5,60,52,8,13,3,10,9,5,1,0,6,2,6,1,2,4,260,14,1,275,0,275,--,400,125,260,275,275,Algún campo sin dato,1,6082a828ea81280939c54cd4f65e1f6de482a7da7d60c03fb7cdbd185ab284d4,26/06/2023 01:23:30,ESCANER
