TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,133,100.0000,0,51063,25671,50.2731

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,BIEN,MLP,CCM,UNE,VIVA,UR,VAMOS,WINAQ,AZUL,CABAL,VALOR,VICTORIA,PPN,VOS,CAMBIO,CREO,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10201,"Totonicapán",8,"Momostenango",5,1330,281,2,1,8,1,29,0,0,30,1,0,32,11,0,2,2,2,0,0,121,5,1,127,0,127,0,127,154,121,127,127,,1,730243d510b67cada68e7bd0c841f59761be004906ca9d4ecc7abd6952f4d933,25/06/2023 23:02:27,ESCANER
10202,"Totonicapán",8,"Momostenango",5,1330,281,3,5,3,1,34,2,1,30,1,1,26,13,0,1,5,3,0,0,129,8,0,137,0,137,0,281,144,129,137,137,,1,64a4022c4e423074eda125c160fab55c661940c424feb89865cdbd6920af3ad0,25/06/2023 22:15:22,ESCANER
10203,"Totonicapán",8,"Momostenango",5,1331,380,6,16,6,2,14,1,2,11,1,5,76,66,1,7,0,1,0,2,217,20,8,245,0,245,0,380,135,217,245,245,,1,c6af54526ec9e1a4331a41eb6d1c38b6d955282c19446902966b6cda4affb7af,26/06/2023 00:12:10,ESCANER
10204,"Totonicapán",8,"Momostenango",5,1331,380,5,8,11,5,21,3,4,7,1,0,70,53,0,2,0,2,0,3,195,23,6,224,0,224,0,380,156,195,224,224,,1,73ad8eecf7cc997f247d2216bcffb8fadb76900f105d670a04bbdb1ad7e0a497,26/06/2023 00:22:16,ESCANER
10205,"Totonicapán",8,"Momostenango",5,1331,336,1,11,3,3,16,2,5,6,1,2,58,43,0,3,0,0,0,0,154,6,3,163,0,163,0,336,173,154,163,163,,1,4dd65105c485a52462f54b4e1b775bb35fb2ebc02ee5a14e7218149de2698bcc,25/06/2023 23:55:47,ESCANER
10206,"Totonicapán",8,"Momostenango",5,1331,336,2,5,10,2,13,2,1,7,1,1,70,36,0,2,1,6,0,0,159,5,9,173,0,173,0,336,163,159,173,173,,1,8fb5c7c49c30e76044acdf5a3ced21b2b882f31cadd364bb0f6ca2dcbb7e95e2,26/06/2023 01:09:30,ESCANER
10207,"Totonicapán",8,"Momostenango",5,1332,380,3,20,55,4,21,2,2,5,1,2,44,31,3,1,1,4,0,0,199,19,5,223,0,223,0,380,157,199,223,223,,1,2a9518648b8a4a0f3da96f5bd0845482315b4b689baeb313fb42a9963d584611,26/06/2023 00:23:38,ESCANER
10208,"Totonicapán",8,"Momostenango",5,1332,380,1,12,49,1,35,1,3,4,2,2,63,31,1,2,0,2,0,1,210,15,8,233,0,233,--,380,147,210,233,233,Algún campo sin dato,1,3a35af7123e760fd7627f4aa9573aad7b30275e1ea23001d7ceb78311410c706,26/06/2023 01:11:42,ESCANER
10209,"Totonicapán",8,"Momostenango",5,1332,380,9,9,64,2,18,2,3,7,2,2,40,34,0,0,3,6,0,0,201,15,10,226,0,226,0,380,154,201,226,226,,1,aefff41052841850ab7dfd5b75c08a6d2c2348691ab53fc4e57b75473c6de128,26/06/2023 00:14:32,ESCANER
10210,"Totonicapán",8,"Momostenango",5,1332,380,4,12,77,1,26,4,1,8,3,0,39,23,0,2,1,8,2,0,211,19,13,243,0,243,0,380,137,211,243,243,,1,885ef198c35f426c988ae29e6764342785fba2d604f3fe8b685eaaf08774b207,25/06/2023 23:28:38,ESCANER
