TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21941,"Zacapa",19,"Zacapa",1,3397,312,8,99,17,5,3,24,1,9,38,0,204,12,1,204,0,217,0,156,95,204,217,217,Sumas Asentadas sin cuadrar,1,8cdd21aa6ac520b20efcb6dcbfa5edfc9535e8fc2846da58c326a3ab2929e417,25/06/2023 23:17:05,ESCANER
21942,"Zacapa",19,"Zacapa",1,3398,400,39,92,9,7,2,4,0,2,38,0,193,20,0,213,0,213,1,400,186,193,213,213,,1,3f42107c167fa3655b2c1d6d6bbc7a5e9c4e3414b2b20a6905395c4559fe31b8,25/06/2023 22:42:52,ESCANER
21943,"Zacapa",19,"Zacapa",1,3398,400,54,103,6,2,1,3,1,1,36,1,208,21,2,231,0,232,1,400,168,208,231,231,Sumas Asentadas sin cuadrar,1,0d903f758cd813479599f3addad4e9e206cc2c7084126bb34939d82e7ec9366f,26/06/2023 00:13:18,ESCANER
21944,"Zacapa",19,"Zacapa",1,3398,400,43,106,1,13,3,3,2,3,29,1,204,4,3,211,18,229,0,400,171,204,211,229,,1,582f0651e5419e9b3d6a8997816d385187bad9415264773efb285bf88da6ebf8,25/06/2023 23:55:24,ESCANER
21945,"Zacapa",19,"Zacapa",1,3398,400,48,116,7,9,1,2,2,5,33,0,223,19,1,243,0,243,0,400,157,223,243,243,,1,079c8b63b871f5e600f70ce3f009ab821e3c1133ab470ddb660ade79f47bc4f2,25/06/2023 23:43:17,ESCANER
21946,"Zacapa",19,"Zacapa",1,3398,400,38,102,5,9,4,8,1,3,41,0,211,18,0,229,0,229,0,400,171,211,229,229,,1,2ca0b9e5138247e408a72665e9a5d2d672f10fa9427a1f3adae611424f744377,26/06/2023 00:48:59,ESCANER
21947,"Zacapa",19,"Zacapa",1,3398,400,30,89,3,6,1,1,1,10,44,1,186,21,0,207,0,207,--,392,110,186,207,207,Algún campo sin dato,1,4dbd33585f3f5bff32a42af863d6eef26afcfebe2e9e6047844f1e4234a9cde3,26/06/2023 02:08:33,ESCANER
21948,"Zacapa",19,"Zacapa",1,3398,400,33,108,4,4,3,1,1,4,31,0,189,18,2,209,0,209,0,400,191,189,209,209,,1,25c16300c44d3b8fc368c00d2d9316b9526e1a0e5c57e167aa7f811b3bad45d8,25/06/2023 23:35:01,ESCANER
21949,"Zacapa",19,"Zacapa",1,3398,400,42,92,7,4,4,1,1,3,41,0,195,10,3,208,0,208,0,400,192,195,208,208,,1,b33cc6957e8ebb9f7334bb2b7c94efab9cfe0274482018c4b867ba16ee1e47af,25/06/2023 23:21:52,ESCANER
21950,"Zacapa",19,"Zacapa",1,3398,400,35,85,3,5,3,2,4,10,30,0,177,17,1,195,0,195,0,393,198,177,195,195,,1,10ea215e81bb4e300535e62ece10b7ea0f2b78ba03feba2ba9a77e2309ecdfa4,25/06/2023 23:32:57,ESCANER
