TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
119,119,100.0000,119,100.0000,0,45560,25215,55.3446

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,ELEFANTE,VICTORIA,COCIG,PR,VAMOS,SEMILLA,PHG,DESHE,CABAL,U R N G - MAIZ,MLP,BIEN,PODEMOS,VALOR,PPN,CREO,TODOS,VOS,PIN,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13259,"San Marcos",12,"San Pedro Sacatepéquez",2,1807,400,55,11,4,12,4,16,4,1,1,9,1,3,4,0,8,25,3,15,3,1,1,6,190,14,5,209,0,209,--,400,191,187,206,206,Sumas Asentadas sin cuadrar,1,31bfe40b025a133081e720571e40ccdf2d734c92b3a0bd08a416715ff175d2ec,26/06/2023 02:45:34,ESCANER
13260,"San Marcos",12,"San Pedro Sacatepéquez",2,1807,258,26,12,2,3,5,12,6,4,0,3,1,5,2,0,2,24,3,7,2,0,4,2,125,8,3,136,0,136,0,258,122,125,136,136,,1,aecae739f003b12e19f0a8d172d1547ee74df2c1facead8ef4ea7291be4ee955,25/06/2023 23:49:51,ESCANER
13261,"San Marcos",12,"San Pedro Sacatepéquez",2,1807,258,33,8,0,8,5,5,8,3,1,6,0,1,2,3,7,12,2,14,1,0,1,1,121,3,3,127,0,127,--,264,137,121,127,127,Algún campo sin dato,1,6538269eba57908996cb9d5afe2da3c820cff3863e2a49a25611ff69f30863e4,25/06/2023 22:26:14,ESCANER
13262,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,39,38,3,12,3,20,15,7,2,11,6,14,14,2,6,34,2,17,4,0,6,8,263,12,2,277,0,277,0,400,123,263,277,277,,1,abd2174205cad38af02f3302da75a6af7c89e2a95a385047d44fe438567b4386,26/06/2023 00:17:36,ESCANER
13263,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,46,18,7,13,3,29,20,6,1,9,5,17,20,3,7,33,0,26,3,0,3,8,279,25,3,307,0,307,1,365,58,277,305,305,Sumas Asentadas sin cuadrar,1,55f570faedf8ca1b3618be099ec6a8f8ab12e0a6d7f11a34045e5b15fbdeb84e,26/06/2023 04:10:16,ESCANER
13264,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,34,37,7,10,9,27,19,9,1,17,6,15,14,0,5,30,0,26,3,1,1,4,275,15,2,292,0,292,0,400,108,275,292,292,,1,9b15bb5e7bede9a0cc266b2b3a87a900fdd2e701f7e69b1c5062cdc38bbe2595,26/06/2023 02:01:31,ESCANER
13265,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,39,37,11,12,10,23,21,8,2,17,10,14,22,3,5,20,4,21,4,3,1,6,293,13,2,308,0,308,--,400,92,293,308,308,Algún campo sin dato,1,444318faeaa841638cd464b3da58cc748a08a83c91b5a81f55bcd4f6f1bb5754,26/06/2023 02:03:37,ESCANER
13266,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,44,40,5,11,4,16,22,4,0,17,3,16,16,0,9,34,4,20,3,2,3,7,280,15,1,296,0,296,0,400,104,280,296,296,,1,489aa4de6ec007932fd1f30ed00a97c8ad93f0160cf672ffbb3b34d32f3096f1,25/06/2023 23:13:37,ESCANER
13267,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,37,36,10,11,7,25,14,8,4,12,3,15,16,0,8,27,3,19,3,1,4,6,269,6,5,280,0,280,0,397,117,269,280,280,,1,33c567f8089133697b175b125ec11637d29c74428384f156a5016721bfac198c,26/06/2023 02:28:28,ESCANER
13268,"San Marcos",12,"San Pedro Sacatepéquez",2,1808,400,24,34,11,13,5,21,12,6,2,12,4,10,22,3,7,28,2,33,3,3,2,4,259,14,0,273,14,273,0,400,127,261,275,289,Sumas Asentadas sin cuadrar,1,91bc61b05395da0d12d63be4b1c0a7297029f0df287b5453ae0d239f169f4697,26/06/2023 01:52:37,ESCANER
