TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
206,206,100.0000,204,99.0291,2,76935,49192,63.9396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,TODOS,VICTORIA,VAMOS,PPN,PODEMOS,UR,AZUL,VIVA,U R N G - MAIZ,CREO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17208,"Quiché",14,"Chichicastenango",6,2594,380,63,64,0,1,0,62,0,14,7,4,2,1,1,11,230,10,7,247,0,247,0,380,133,230,247,247,,1,511a75a95833216eea4c22ac5cd82a19a04b5546737b96efed72fcda06bd4d18,26/06/2023 01:01:27,ESCANER
17209,"Quiché",14,"Chichicastenango",6,2594,380,35,42,1,1,0,88,1,4,1,0,1,1,0,19,194,10,11,215,0,215,0,380,165,194,215,215,,1,87640543913cd48cc9d1bd1002caef983fd7932010ef3bc856183934b237d1b8,26/06/2023 00:31:36,ESCANER
17210,"Quiché",14,"Chichicastenango",6,2594,380,38,33,4,4,0,80,2,5,0,3,1,0,0,21,191,14,5,210,0,210,0,380,167,191,210,210,,1,888aef37682f2db20fbb027955c470f90bc18915fbc6af7a441ac95362b42fd5,26/06/2023 00:34:34,ESCANER
17211,"Quiché",14,"Chichicastenango",6,2594,380,47,46,1,2,0,79,0,1,2,0,0,0,0,27,205,10,5,220,0,220,0,380,160,205,220,220,,1,dbfe0f774cd7c0a6874331f4a3476bad0697fa3feee48973a547c0fef77a36bb,26/06/2023 04:17:20,ESCANER
17212,"Quiché",14,"Chichicastenango",6,2594,380,21,33,2,1,0,86,0,5,0,0,0,2,0,25,175,8,12,195,185,380,0,380,152,175,195,380,,1,e1356c5afa963ec30820eeea64df945799699f4307f87b258ab63da4cf8fcf28,26/06/2023 05:53:03,ESCANER
17213,"Quiché",14,"Chichicastenango",6,2594,380,31,42,2,2,0,76,0,1,0,0,0,0,0,27,181,5,9,195,0,195,0,377,182,181,195,195,,1,e38fe2c2c47dcd5ad7ecf312021c28af05a0123ec93f7f4763fc7ed985ccadd5,26/06/2023 00:04:55,ESCANER
17214,"Quiché",14,"Chichicastenango",6,2594,348,29,25,3,1,0,73,0,3,1,0,0,0,0,18,153,3,4,160,0,160,0,347,187,153,160,160,,1,9186d62ff9904c672f9531352b4f04ff7d6db9ef9183405845a3d44e4b41583b,26/06/2023 04:09:07,ESCANER
17215,"Quiché",14,"Chichicastenango",6,2594,347,27,28,2,1,0,45,0,4,0,0,0,0,0,21,128,8,16,152,195,347,0,347,195,128,152,347,,1,4bf7b09a869cb86e694791ffcce98587198c5c835a9cc3f6ec44f03260830b09,25/06/2023 23:35:49,ESCANER
17216,"Quiché",14,"Chichicastenango",6,2595,361,47,70,17,15,2,54,4,3,3,2,8,3,1,20,249,9,9,267,0,267,0,361,94,249,267,267,,1,cde44d2729f9fab4cc95cb28916a52ca1f9e5e8fc4d5744f1d4ff90cd304ddd6,26/06/2023 00:04:10,ESCANER
17217,"Quiché",14,"Chichicastenango",6,2595,360,50,53,20,16,2,51,3,1,1,0,6,0,0,6,209,10,6,225,0,225,0,360,132,209,225,225,,1,4b1bc48d0b727065f86271b30709edf19d2645955c540128c2577b7413eccca3,26/06/2023 01:12:34,ESCANER
17218,"Quiché",14,"Chichicastenango",6,2596,600,19,36,2,5,2,35,4,1,0,1,4,2,2,8,121,14,3,138,0,138,0,600,462,121,138,138,,1,df0a7c2751b1c0c6915d5dda21d7e32ab182357db46b07c2e8c45e0aa1b9849d,26/06/2023 00:01:44,ESCANER
17219,"Quiché",14,"Chichicastenango",6,2596,600,10,30,3,3,5,56,3,0,1,4,7,4,1,8,135,9,6,150,0,150,0,600,450,135,150,150,,1,97e2fb29fe3ca31f7c14f540e6d298ebd446ddb156aab6548e75f761aac37977,26/06/2023 01:18:51,ESCANER
17220,"Quiché",14,"Chichicastenango",6,2596,443,15,26,2,4,3,34,1,1,0,2,7,1,2,1,99,9,1,109,0,109,--,440,331,99,109,109,Algún campo sin dato,1,4d483150c804eeedc32f250758e0d9da81a95d2598431b89d3adb7f47f9d5873,26/06/2023 01:30:18,ESCANER
17221,"Quiché",14,"Chichicastenango",6,2596,443,9,16,0,1,5,22,1,1,1,0,4,0,1,4,65,0,2,67,0,67,0,440,373,65,67,67,,1,456bc33fb61de8670e53aa273020a11df7590510348b70be613484e64b4fd567,25/06/2023 21:37:43,ESCANER
