TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22682,14702,64.8179

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,MLP,TODOS,MI FAMILIA,WINAQ,VIVA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17378,"Quiché",14,"Cunén",10,2630,356,23,18,125,2,1,1,0,1,0,35,206,5,1,212,0,212,--,356,144,206,212,212,Algún campo sin dato,1,414285d016a4f214b4479d5306f419df089b8c48692c0cda17da468360463f56,26/06/2023 00:39:31,ESCANER
17379,"Quiché",14,"Cunén",10,2630,356,25,23,104,0,0,1,0,2,0,34,189,7,1,197,0,197,--,356,159,189,197,197,Algún campo sin dato,1,f3bdf0d4fb90180496735d1e8d13bcb19f3ca0813e87bccdbbbf93d26b0a6d36,26/06/2023 00:57:51,ESCANER
17380,"Quiché",14,"Cunén",10,2631,380,90,64,114,1,2,1,1,0,0,8,281,8,6,295,0,295,--,380,85,281,295,295,Algún campo sin dato,1,f70a2e24dbd41fa90319fc0d7e6f587a8c2cebce0a2749adab13b37844aeb380,26/06/2023 01:47:19,ESCANER
17381,"Quiché",14,"Cunén",10,2631,380,94,78,112,0,2,1,0,0,0,10,297,6,6,309,--,--,--,380,71,297,309,309,Algún campo sin dato,1,3d67627dd97f3a11b11117346c9cfa3c9e945cb714b52ba4b29252f1bf4a9be5,26/06/2023 03:47:29,ESCANER
17382,"Quiché",14,"Cunén",10,2631,298,66,45,103,0,0,0,0,0,1,2,217,6,0,223,6,223,--,298,75,217,223,229,Sumas Asentadas sin cuadrar,1,8b8c9e3ccd095e3c2f44ed0d00de30f42f8f42f653a32b776cfe96a8af2606de,26/06/2023 01:35:29,ESCANER
17383,"Quiché",14,"Cunén",10,2631,298,59,47,99,0,0,0,0,0,0,6,211,7,3,221,77,298,--,298,77,211,221,298,Algún campo sin dato,1,82db6df9e8a5363248818add1d27c5be9f7cad9b2c22e7bb6e95d27fdff2b1c7,26/06/2023 01:43:50,ESCANER
17384,"Quiché",14,"Cunén",10,2632,380,108,36,98,2,0,1,3,1,0,8,257,20,9,286,0,286,--,377,91,257,286,286,Algún campo sin dato,1,f50df86b6337917fb3bccc28e20363127747db379c4fe9dd8b3573982356b1a0,26/06/2023 01:35:39,ESCANER
17385,"Quiché",14,"Cunén",10,2632,273,61,14,85,2,0,4,1,2,0,6,175,12,7,194,0,194,--,273,79,175,194,194,Algún campo sin dato,1,871c27ef0ab7331418cbc7c2d967ba3920434786bdfaa6c2dc0cbd58ff911ee2,25/06/2023 23:57:13,ESCANER
17386,"Quiché",14,"Cunén",10,2632,273,53,19,82,0,0,0,0,0,1,8,163,11,7,181,0,181,--,273,92,163,181,181,Algún campo sin dato,1,58d0e52b67f765fec84cf8b9b9d985dd5532bbc664fdb7176672e2a4b69ec12f,25/06/2023 23:08:48,ESCANER
17387,"Quiché",14,"Cunén",10,2633,441,26,8,23,2,2,2,1,4,1,7,76,2,0,78,0,78,--,441,363,76,78,78,Algún campo sin dato,1,b53dcf2b0e450dd6d93abe1bd82c17b2178873eb6bca12a7281183b74fea7492,25/06/2023 21:39:50,MOVIL
