TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,25674,15855,61.7550

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VICTORIA,VIVA,PODEMOS,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16065,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,343,117,39,2,15,0,1,174,4,2,180,--,--,--,343,163,174,180,180,Algún campo sin dato,1,f7b72c8e7fd8ee7f7b395e3923ea8c9058f96c06f673d7e4d2c5699a0a5448a7,26/06/2023 01:19:50,ESCANER
16066,"Huehuetenango",13,"San Mateo Ixtatán",18,2363,380,150,66,1,62,0,1,280,7,3,290,0,290,--,380,87,280,290,290,Algún campo sin dato,1,be3fd0c44979ea31a11337f08b0abd5bbb4d35bb5b72b90caabf4d4c02fd9d29,26/06/2023 01:39:29,ESCANER
16067,"Huehuetenango",13,"San Mateo Ixtatán",18,2363,380,152,60,4,55,1,2,274,8,10,292,10,292,--,379,87,274,292,302,Sumas Asentadas sin cuadrar,1,056c396bb753cf98db87c7470870ccd5e02e9be7fe9ac04cb811c8cb24707bb1,26/06/2023 01:47:18,ESCANER
16068,"Huehuetenango",13,"San Mateo Ixtatán",18,2363,380,168,29,3,42,0,1,243,11,3,257,0,257,--,380,120,243,257,257,Algún campo sin dato,1,7a7ee0c95f72e2287663511a01e762da3db7806aceb42ce7c7a06ef5c2584c34,26/06/2023 00:45:39,ESCANER
16069,"Huehuetenango",13,"San Mateo Ixtatán",18,2363,380,155,28,1,56,0,2,242,2,5,248,0,248,--,380,131,242,249,249,Sumas Asentadas sin cuadrar,1,8c61a91cb75c2abef44b43bbe79dbc338c206744d549c3fe348c1b0795721046,26/06/2023 01:38:05,ESCANER
16070,"Huehuetenango",13,"San Mateo Ixtatán",18,2363,380,139,47,2,52,0,2,242,6,1,249,0,249,--,377,128,242,249,249,Algún campo sin dato,1,5740faa45699de72022d00826b7c90d98269a21ae050c44fe5dc956566c1bf9a,26/06/2023 01:30:43,ESCANER
16071,"Huehuetenango",13,"San Mateo Ixtatán",18,2364,380,112,70,1,53,1,3,240,3,3,246,0,246,--,380,134,240,246,246,Algún campo sin dato,1,7f4f86999f509069b4b33592b691c4a1ce726bc7f476d5c1c2804400f5ebc8fd,26/06/2023 01:41:42,ESCANER
16072,"Huehuetenango",13,"San Mateo Ixtatán",18,2364,380,160,32,0,42,0,0,234,3,5,242,5,247,--,380,133,234,242,247,Algún campo sin dato,1,8c9dae4765017c6b7523490bfd5ac23df2e7905dca75bc8fada0298fab3778ab,26/06/2023 01:31:10,ESCANER
16073,"Huehuetenango",13,"San Mateo Ixtatán",18,2364,380,159,59,2,53,1,0,274,4,0,279,1,275,--,274,98,274,278,279,Sumas Asentadas sin cuadrar,1,e299c090919a1ed132b49e1115b576b982a1bd00d77f36b391bb7c0c9e6d1536,26/06/2023 03:14:05,ESCANER
16074,"Huehuetenango",13,"San Mateo Ixtatán",18,2364,276,106,48,0,42,0,1,197,0,1,198,0,197,--,273,75,197,198,198,Sumas Asentadas sin cuadrar,1,68b5a7a05ada10ce579f9ea8843e3876b6438d0b5ac7e562edd9da35b088342a,26/06/2023 01:24:03,ESCANER
16075,"Huehuetenango",13,"San Mateo Ixtatán",18,2364,276,82,39,0,39,1,1,162,3,1,166,0,166,--,276,107,162,166,166,Algún campo sin dato,1,f5d00d763894e700010212b23e2d6caad578c225593d29c7fcee77e27da1e3c8,26/06/2023 00:00:58,ESCANER
16076,"Huehuetenango",13,"San Mateo Ixtatán",18,2365,246,6,6,3,16,0,1,32,0,1,33,0,33,--,246,213,32,33,33,Algún campo sin dato,1,83413f7cfc9db2992ea9da8db45e70068629f94bc082dc37bfdeb741ccc14282,25/06/2023 22:55:36,ESCANER
