TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,31273,23207,74.2077

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9389,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,177,67,4,0,2,250,12,2,264,0,264,0,380,116,250,264,264,,1,1058f3df0c8545e4e364a8c4da3137c8d553888cf7c72c3de24921c846a2d632,25/06/2023 23:43:03,ESCANER
9390,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,187,73,5,0,1,266,1,5,272,0,272,0,380,108,266,272,272,,1,46b9bc8fd32b4deecc685d6c4768b52070abce8da8f34e39ee70b409ca180bdc,25/06/2023 23:57:40,ESCANER
9391,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,186,76,4,0,1,267,9,5,281,0,281,--,380,99,267,281,281,Algún campo sin dato,1,27f8b17534f2064d7a8cbe42e8cc07b15a82d4da248f60cce91bc98d51029b6e,26/06/2023 02:41:30,ESCANER
9392,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,189,83,7,2,0,281,9,3,293,0,293,0,380,87,281,293,293,,1,2df82f8c066d6338c02636a4a6a41b8c9f09a5236d8b3e64b632a03d12322008,26/06/2023 01:17:38,ESCANER
9393,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,189,78,4,0,0,271,2,0,273,0,273,0,380,107,271,273,273,,1,110cc7e3509b8897fccd9a8ab9553dd7b409fa45380ef7925bb4361828b86ffa,26/06/2023 00:09:11,ESCANER
9394,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,190,77,2,0,3,272,0,0,272,0,272,--,380,108,272,272,272,Algún campo sin dato,1,ee378914cb2c707bde5e323101d2c34f0d98d6cc9f65e894f924eebdd816799f,26/06/2023 00:44:23,ESCANER
9395,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,162,77,7,0,0,246,2,1,249,0,249,--,381,132,246,249,249,Algún campo sin dato,1,20f3183e9bfcde493397e7890870a3253ded00687b6d91edfc9ca9f6dcad3c5a,26/06/2023 02:48:40,ESCANER
9396,"Sololá",7,"Santa Catarina Ixtahuacán",6,1158,380,176,100,15,0,0,291,19,5,315,--,--,1,379,64,291,315,315,Algún campo sin dato,1,95bbead46bd7b5936159d999222e7f2fffeb7d9662e0cf2209a6093a8c15b329,25/06/2023 23:43:26,ESCANER
9397,"Sololá",7,"Santa Catarina Ixtahuacán",6,1158,380,202,100,10,2,1,315,15,6,336,0,336,0,380,44,315,336,336,,1,0f2ec9e1b9b8d7f779019234d895d51ff990ecf5bb66835e7b6fdbb3a176fa59,25/06/2023 23:14:10,ESCANER
9398,"Sololá",7,"Santa Catarina Ixtahuacán",6,1158,298,132,61,4,1,1,199,2,0,201,0,201,0,298,97,199,201,201,,1,4e8792f8d0e76606cb19e1f1738477443d4a7f269d6c897421fac536c0024b77,26/06/2023 00:19:14,ESCANER
9399,"Sololá",7,"Santa Catarina Ixtahuacán",6,1158,297,152,64,3,0,2,221,7,0,228,--,--,--,297,69,221,228,228,Algún campo sin dato,1,4d5c8f6f26112a88053b110a9f2a405902112c64629320840d9cdfddb3fac7d2,25/06/2023 23:19:44,ESCANER
9400,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,380,218,89,8,--,2,317,6,2,325,--,325,--,380,55,317,325,325,Algún campo sin dato,1,d54d46d9c41b283eebcd4e0165b844c466883672ff4e490865edd81c5ad51bde,26/06/2023 05:18:32,ESCANER
9401,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,380,245,32,5,3,1,286,8,5,299,0,299,--,380,78,286,299,299,Algún campo sin dato,1,cf379118208ac205843fd679b54acb6e089cd6c45714f60cccf13f01465da4d8,26/06/2023 02:50:27,ESCANER
9402,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,380,206,70,9,0,1,286,5,2,298,0,298,0,380,87,286,293,293,Sumas Asentadas sin cuadrar,1,cb909e44ab1d80cb6757c760a6ec0b1c625a216cd363de51dc53b0d96097cfab,26/06/2023 00:49:43,ESCANER
9403,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,380,212,73,11,2,0,298,3,1,302,0,302,0,380,78,298,302,302,,1,df08c1668380d2277a16488f33810ed60dccf10d669c5f56469385dc6d5aaf17,25/06/2023 23:24:23,ESCANER
9404,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,380,217,61,3,1,0,282,0,4,286,0,286,--,380,94,282,286,286,Algún campo sin dato,1,0049f35f658dff61f2c50243b408d365c8d9ff3cc1e51c1a4d5cbc8ecf1e4146,26/06/2023 05:24:59,ESCANER
9405,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,221,147,26,2,0,0,175,1,0,176,0,176,0,221,45,175,176,176,,1,03fb9b1bb9f7ef558e2e9b8a516f2da812bd8425998deedc7ac1d87db38804b8,26/06/2023 01:14:04,ESCANER
9406,"Sololá",7,"Santa Catarina Ixtahuacán",6,1159,221,126,38,0,0,0,164,3,2,169,0,169,0,221,52,164,169,169,,1,293ed09e6d6789eb6001233214df996dc97d85724be58fd620d157d0775c91a9,26/06/2023 03:04:30,ESCANER
9407,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,219,38,6,1,0,264,10,5,279,0,279,0,380,101,264,279,279,,1,c6dda61e28a809f4caf5d8de7db28f9cbb5f70ce174881427fc8bcfbfac2e500,26/06/2023 01:28:07,ESCANER
9408,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,242,37,12,1,1,293,9,4,306,0,302,--,380,71,293,306,306,Sumas Asentadas sin cuadrar,1,0ab7c97327f6ab4573f82d8a3dbacf0bd79fd756ea0b9c90db44116f90f6455f,26/06/2023 00:12:50,ESCANER
9409,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,233,38,10,1,0,282,13,5,300,0,300,0,379,79,282,300,300,,1,b430d3182d4d8778a69c908f985f4edbd70dfdabc1b472f5f89a641893aaa24e,26/06/2023 00:45:25,ESCANER
9410,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,193,49,8,0,0,250,5,1,256,0,256,--,380,124,250,256,256,Algún campo sin dato,1,82405c354b00c8347ac05fbeb36bf0adf621b7503e84b3f593a2c9eb7f6825ae,26/06/2023 02:08:24,ESCANER
9411,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,211,41,10,--,--,262,13,0,275,0,275,1,380,104,262,275,275,Algún campo sin dato,1,27bfdb4d8242a8ba5bdac8741a9c662417a447f7b356058946c42a1084495a1b,26/06/2023 01:22:28,ESCANER
9412,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,226,41,9,2,1,279,14,5,298,0,298,0,380,82,279,298,298,,1,656065c437970213f271a498292f1a254ce027ed93fb145a4bf8bdbf2972a78b,26/06/2023 01:32:53,ESCANER
9413,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,209,51,17,0,0,277,20,5,302,1,303,--,380,78,277,302,303,Algún campo sin dato,1,341a023aec235960236ad4b77240bb2b661c887219d89c36c8c343d13d420129,26/06/2023 02:15:43,ESCANER
9414,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,210,47,18,1,0,276,16,5,297,0,297,1,380,82,276,297,297,,1,27c9bfb5c2d69acb458f6ef151a4fccc4d9e939ffdd8d199cdd28cc525447512,26/06/2023 00:25:16,ESCANER
9415,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,232,49,10,0,1,292,10,7,309,0,309,0,380,71,292,309,309,,1,f9ab559d34918049d25eeda81069b5b2b58f6b95d48b23cb1dbfe6c6861fde0d,26/06/2023 01:48:43,ESCANER
9416,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,194,50,5,1,0,250,1,6,257,0,257,--,380,123,250,257,257,Algún campo sin dato,1,8afdb1f29da6c006f2de4f83514db058e67dd93224a31d1aaada8018acbd8777,26/06/2023 02:05:16,ESCANER
9417,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,225,40,3,0,0,268,2,0,270,0,270,--,380,110,268,270,270,Algún campo sin dato,1,5dfd24e2303f776c90902f7958c94410fca184b7687074dce0e08d723725c0b1,25/06/2023 22:25:00,ESCANER
9418,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,380,229,34,5,0,0,268,1,0,269,0,269,0,380,111,268,269,269,,1,043e06553ebce632c302877d2f96156295a35388081b780add8c8fce62e7a100,26/06/2023 01:19:10,ESCANER
9419,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,297,164,39,6,0,0,209,4,1,214,0,214,0,294,80,209,214,214,,1,bf3202e1417d97bbea4b2bc73989dc8c77937e9d3086848033d4c453a3c4114f,26/06/2023 01:41:31,ESCANER
9420,"Sololá",7,"Santa Catarina Ixtahuacán",6,1160,296,132,31,3,0,0,166,1,4,171,0,171,1,296,121,166,171,171,,1,152923aa40c6c775c6e35b264aa67e611303fd056ea8a2abafc62b43636c0508,25/06/2023 23:50:43,ESCANER
9421,"Sololá",7,"Santa Catarina Ixtahuacán",6,1161,380,141,142,4,0,1,288,12,6,306,0,306,0,377,71,288,306,306,,1,14a9edae2017d751f4d99fa517bdc6626983aba707fa3021660be704a4ed8263,26/06/2023 01:57:48,ESCANER
9422,"Sololá",7,"Santa Catarina Ixtahuacán",6,1161,380,187,88,10,2,2,289,21,6,316,0,316,0,380,64,289,316,316,,1,3ddfc9a5903e3314e6ed6c985f20607b81fecc6050f8d57d37c38b5a050a1b85,25/06/2023 23:21:20,ESCANER
