TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13569,"San Marcos",12,"Concepción Tutuapa",6,1877,380,84,5,21,58,3,7,3,1,0,2,2,0,0,185,26,16,227,0,227,--,380,153,186,228,228,Sumas Asentadas sin cuadrar,1,88d574d7dbcd87e09e391d86d6d8c05d3d8175eb1d8c5c2c6c6931fc6f237cfa,26/06/2023 00:49:46,ESCANER
13570,"San Marcos",12,"Concepción Tutuapa",6,1877,380,83,0,16,64,5,19,1,0,5,3,1,2,0,199,21,6,226,0,226,--,380,154,199,226,226,Algún campo sin dato,1,3726b481813cb8618493973e7fab918a8f83aa3b484fc216fabc7a2793bc73b2,25/06/2023 23:36:37,ESCANER
13571,"San Marcos",12,"Concepción Tutuapa",6,1877,380,70,3,12,50,7,4,0,0,2,2,0,0,0,150,7,4,161,0,161,--,380,219,150,161,161,Algún campo sin dato,1,70b8024f4494f8a3c3c237cba070b91f48b00f7eb63d8cf47a47d95221e4465e,25/06/2023 23:26:28,ESCANER
13572,"San Marcos",12,"Concepción Tutuapa",6,1877,380,72,3,14,49,3,9,0,0,0,5,0,1,0,156,9,7,172,--,172,--,380,208,156,172,172,Algún campo sin dato,1,fcbf1090aa4d7b610d97249a8ecfad5e8639035513409ab0ff8b10a0e6793d32,25/06/2023 23:20:21,ESCANER
13573,"San Marcos",12,"Concepción Tutuapa",6,1878,380,76,0,11,47,2,3,0,0,2,2,2,1,0,146,8,4,158,0,158,--,380,222,146,158,158,Algún campo sin dato,1,3afd2db4120e8657d4da87aaebe7c8214b966ab78eb5c96bc57eaab2052841a7,25/06/2023 22:46:11,ESCANER
13574,"San Marcos",12,"Concepción Tutuapa",6,1878,281,47,0,7,44,1,5,0,0,0,0,0,0,0,104,3,3,110,0,110,--,278,168,104,110,110,Algún campo sin dato,1,f8b441c7bd160e4a2a47d11cb4d5b2c0e0b33738cef463233cf71500ad59bd28,26/06/2023 00:50:09,ESCANER
13575,"San Marcos",12,"Concepción Tutuapa",6,1878,281,45,2,9,33,1,6,0,0,0,0,0,0,0,96,8,6,205,0,705,--,281,173,96,110,110,Sumas Asentadas sin cuadrar,1,b2cd33abd9d0305a91225c0e48ac09e49bdff0ee75eaa89b4da62d29d772a085,26/06/2023 03:19:20,ESCANER
13576,"San Marcos",12,"Concepción Tutuapa",6,1879,380,40,9,48,64,2,11,0,1,2,2,2,0,0,181,36,11,228,0,228,--,380,152,181,228,228,Algún campo sin dato,1,e70b538d56ce58100a0e0fbb9ef716e2be80c24ae26bd03b59eacae003612281,26/06/2023 00:33:01,MOVIL
13577,"San Marcos",12,"Concepción Tutuapa",6,1879,380,30,17,34,58,5,27,1,1,4,2,1,0,0,180,20,18,218,0,218,--,380,162,180,218,218,Algún campo sin dato,1,e33afa5b53706323bc75fa31127860f1800c3948ec2ea3943ce35a9f110a39ac,26/06/2023 00:02:22,MOVIL
13578,"San Marcos",12,"Concepción Tutuapa",6,1879,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,9a62addc04fb6fbd11ac0c44ba02b28b281203f4fd7e1afc40c05a7bb816ba3e,26/06/2023 03:59:46,MOVIL
