TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
65,65,100.0000,65,100.0000,0,24299,13892,57.1710

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,SEMILLA,BIEN,VIVA,UNE,VAMOS,VOS,VICTORIA,CAMBIO,VALOR,PODEMOS,PPN,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9975,"Totonicapán",8,"San Cristóbal Totonicapán",2,1281,246,8,2,3,9,7,9,13,4,3,0,7,8,25,3,101,11,1,113,0,113,0,246,133,101,113,113,,1,4cb86ca00d69ba9b270b152543bc9da38fde6a8a26805adba17b9476ba6120c1,25/06/2023 23:54:44,ESCANER
9976,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,41,1,1,5,4,21,25,4,0,0,37,52,15,2,208,12,2,222,0,222,0,380,158,208,222,222,,1,55c376eb867863ef18b3e9ab7eb3cca90339972b687ea94e5800a86dcb03aaeb,25/06/2023 23:48:43,ESCANER
9977,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,44,3,6,12,2,14,28,4,0,1,38,53,10,0,215,12,6,233,147,380,--,380,147,215,233,380,Algún campo sin dato,1,34c4a7ee60468185c43de77e0dc17256c6ca657af0e9804ab2e2fe21ea6196a5,25/06/2023 23:42:29,ESCANER
9978,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,41,2,2,7,3,10,21,4,2,0,40,54,11,0,197,18,4,219,0,219,--,380,161,197,219,219,Algún campo sin dato,1,bdc8897c591a74991190b49277c0c014c4a46dfc6dfb1833533c850feb758fae,26/06/2023 00:15:44,ESCANER
9979,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,80,3,2,11,1,12,10,1,2,0,49,33,17,2,223,19,6,248,0,248,0,380,132,223,248,248,,1,f1450d5c37f7d062d4e6e25e6b14fc1fad2a00ea8a96b61823568896096f7e03,25/06/2023 23:53:32,ESCANER
9980,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,38,1,6,8,0,15,12,5,0,0,44,39,13,0,181,7,3,191,0,191,0,380,189,181,191,191,,1,e0fa01486738ddcde7a5a7c99d64421847442aa2a6c1949bb02f2a3d8938da06,25/06/2023 22:40:34,ESCANER
9981,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,380,51,0,4,14,4,6,9,9,0,1,33,60,14,3,208,3,4,215,0,215,--,380,165,208,215,215,Algún campo sin dato,1,e2251b80a86648731de730729a8730eb19c52177f1bcf6d542a3f0b8d2ad2fa5,26/06/2023 00:02:36,ESCANER
9982,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,273,36,1,4,5,1,5,18,3,2,0,31,33,7,0,146,3,0,149,0,149,0,273,124,146,149,149,,1,8f816acf560eecdb75b4b9fa29b58a980f3cfb8bc79ed221c4e1876e936ee0b7,25/06/2023 23:37:50,ESCANER
9983,"Totonicapán",8,"San Cristóbal Totonicapán",2,1282,273,25,0,3,8,2,7,7,3,0,0,21,33,5,2,116,5,1,122,0,122,0,273,151,116,122,122,,1,551079520d160d490a1f9985bb4d2c000ca1103bbb23f316ef38f2658f504446,25/06/2023 22:25:20,ESCANER
9984,"Totonicapán",8,"San Cristóbal Totonicapán",2,1283,380,5,6,12,26,4,26,11,4,4,1,15,11,48,21,194,25,3,222,0,222,--,377,155,194,222,222,Algún campo sin dato,1,f35a85011693ae5f983eb48215552fc75c19a959fbfa6260cb6e348c7cda9d77,26/06/2023 00:24:58,ESCANER
