TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,33533,17048,50.8394

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,TODOS,VAMOS,CABAL,VIVA,PHG,PPN,UNE,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11245,"Quetzaltenango",9,"Colomba",17,1510,400,0,56,136,2,4,2,1,5,0,2,208,13,5,226,0,226,--,400,174,208,226,226,Algún campo sin dato,1,3232312987ba8d4192b1daef9072c50dfdb57ee620906844ced4b05ab44a2a00,25/06/2023 22:57:47,ESCANER
11246,"Quetzaltenango",9,"Colomba",17,1510,400,3,57,146,4,0,1,3,12,2,0,228,16,2,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,ab0ccdf4c07404a5faee4a547b7a5f59e85f1d8a5a9ab2b8246ea8f47e110c95,25/06/2023 22:37:34,ESCANER
11247,"Quetzaltenango",9,"Colomba",17,1510,400,1,65,126,2,1,2,1,11,3,1,213,12,6,231,0,231,--,400,169,213,231,231,Algún campo sin dato,1,489f8f4a5b02ffd2fd3fe25b931d47c911255f91bf4a27ef2f97e71aa4737cc3,25/06/2023 23:20:18,ESCANER
11248,"Quetzaltenango",9,"Colomba",17,1510,400,2,52,139,10,2,1,3,9,0,1,219,7,3,229,171,400,--,400,171,219,229,400,Algún campo sin dato,1,8f628ef08c679ff90d585a2df7a385f22bfd45283874af7354ec13a35f7fee62,25/06/2023 22:31:32,ESCANER
11249,"Quetzaltenango",9,"Colomba",17,1510,400,0,67,124,2,0,2,0,14,1,0,210,13,5,228,0,228,--,400,172,210,228,228,Algún campo sin dato,1,a284ec784e0f049581e343ecded8362d2db1655e80be300c44025580d546a388,25/06/2023 21:54:12,ESCANER
11250,"Quetzaltenango",9,"Colomba",17,1511,400,2,56,121,3,1,1,3,15,2,1,205,7,0,212,0,212,--,400,188,205,212,212,Algún campo sin dato,1,d6eefa14e48b5e52823b08ba603a2a2f6b647c2862157bd4131cc09550e7d4c7,25/06/2023 23:23:31,ESCANER
11251,"Quetzaltenango",9,"Colomba",17,1511,400,0,55,117,0,1,0,1,8,2,0,184,15,5,204,0,204,--,400,196,184,204,204,Algún campo sin dato,1,daaefebfa7afc3c2168255467e4c5dceed9c045e897448eb4c8970616bf68d53,25/06/2023 22:06:07,ESCANER
11252,"Quetzaltenango",9,"Colomba",17,1511,400,0,46,150,1,3,3,1,4,1,0,211,6,1,218,0,211,--,400,182,209,216,216,Sumas Asentadas sin cuadrar,1,7abaa8104343e58a19ebce8deb9b1a332aa544bf3a2bb1e716517f131c22a561,25/06/2023 23:18:30,ESCANER
11253,"Quetzaltenango",9,"Colomba",17,1511,400,3,56,166,2,1,1,3,4,1,1,238,3,1,242,--,--,--,400,158,238,242,242,Algún campo sin dato,1,e7fb1c1817253ddb4340bb6e5c83db2c393763f29b39a9da293b7bb3d25ee65c,25/06/2023 23:01:31,ESCANER
11254,"Quetzaltenango",9,"Colomba",17,1511,400,2,51,143,3,0,0,0,4,0,0,203,5,2,210,0,210,--,400,190,203,210,210,Algún campo sin dato,1,b6c2c59f25c97c6d251455898ab2d7f17be80d70226b4b12323c7bcdd7e373e1,25/06/2023 22:23:39,ESCANER
11255,"Quetzaltenango",9,"Colomba",17,1511,400,0,67,169,3,0,1,3,6,1,0,250,4,0,254,0,254,--,400,146,250,254,254,Algún campo sin dato,1,916b89ed3c139cf0c877485025cff45daa6efe1b93ec6478650834bd775d02db,25/06/2023 23:18:50,ESCANER
11256,"Quetzaltenango",9,"Colomba",17,1511,350,0,39,141,0,0,1,1,3,2,4,187,1,1,189,0,189,--,350,161,191,193,193,Sumas Asentadas sin cuadrar,1,0055a0539725e629032ff892c3862949b964c2cfdf7b6c9c38394a3598b54d0f,25/06/2023 21:56:22,ESCANER
11257,"Quetzaltenango",9,"Colomba",17,1511,350,0,29,98,4,2,0,3,7,0,0,143,11,4,158,0,158,--,350,192,143,158,158,Algún campo sin dato,1,66679afd47095a14c6f98d1186b47e84ee0a31e1e9ff9b7f010480e17f6fea0f,25/06/2023 22:01:08,ESCANER
11258,"Quetzaltenango",9,"Colomba",17,1512,380,1,57,69,1,7,1,17,32,0,1,186,21,3,210,0,210,--,380,170,186,210,210,Algún campo sin dato,1,d84ce787ffcac87d328dbc9dd54a9d7f7f6b141eda91b5f1f6f6cf3f2e3f6723,25/06/2023 22:06:06,ESCANER
11259,"Quetzaltenango",9,"Colomba",17,1512,380,1,54,76,4,9,6,19,19,2,1,191,29,7,227,0,227,--,380,153,191,227,227,Algún campo sin dato,1,87d9d6edd1926767f2580c0e88ab87bcf73ad9b70287d603343d49febed1caac,25/06/2023 22:09:18,ESCANER
11260,"Quetzaltenango",9,"Colomba",17,1512,380,0,40,70,2,3,1,10,30,3,1,160,29,7,196,0,196,--,380,184,160,196,196,Algún campo sin dato,1,ed692be55c3d7d9c31c10959a593ad01925e6e36708a5dfb70ff502800c1d1c3,25/06/2023 23:21:24,ESCANER
11261,"Quetzaltenango",9,"Colomba",17,1512,380,1,56,80,3,0,2,19,16,3,1,181,25,6,212,0,212,--,380,168,181,212,212,Algún campo sin dato,1,36f296c20553027139dd8aa42698deff7ea42e14b338cd115669805293bfb8e7,25/06/2023 21:41:48,ESCANER
11262,"Quetzaltenango",9,"Colomba",17,1512,380,2,66,80,1,3,6,11,15,0,2,186,19,6,211,0,211,--,380,169,186,211,211,Algún campo sin dato,1,38eb98f442031f24f5dda135e48f533bf4f6f32cbd250027e284d27d9a538836,26/06/2023 00:16:46,ESCANER
11263,"Quetzaltenango",9,"Colomba",17,1512,380,0,56,60,3,2,2,15,16,0,1,155,18,6,179,0,179,--,380,201,155,179,179,Algún campo sin dato,1,3f6ac902f75de499f242c088cd942666f150c600bcfd8073afed6dce6033551d,25/06/2023 23:59:51,ESCANER
11264,"Quetzaltenango",9,"Colomba",17,1512,380,2,48,63,2,5,1,12,15,0,0,148,24,4,176,0,176,--,380,204,148,176,176,Algún campo sin dato,1,614beedffb556d39c1ccbdd9af317b14cc3806bd649b910c719c470751227167,25/06/2023 23:30:19,ESCANER
11265,"Quetzaltenango",9,"Colomba",17,1512,380,1,45,49,2,2,1,7,20,0,3,130,14,10,154,0,154,--,380,226,130,154,154,Algún campo sin dato,1,a17338715088f7b85089e20baf9bae19ecc19b5dee514b75322bf6396a5fe150,25/06/2023 20:55:54,ESCANER
11266,"Quetzaltenango",9,"Colomba",17,1512,380,0,63,65,3,1,2,5,10,0,0,149,10,3,162,0,162,--,380,218,149,162,162,Algún campo sin dato,1,30f5c35d9b2ad1982408a74fb27dabe4c0a34130ff2e3d6af1c5bd6508527e0d,26/06/2023 00:04:39,ESCANER
11267,"Quetzaltenango",9,"Colomba",17,1512,280,0,46,40,2,0,2,7,10,3,1,111,1,0,112,0,112,--,280,168,111,112,112,Algún campo sin dato,1,70f321c2c265bab0d4cc88fc792f9514216f8bc99615c62ad88ae0f044826fd7,25/06/2023 23:27:46,ESCANER
11268,"Quetzaltenango",9,"Colomba",17,1512,279,1,23,35,1,1,0,10,8,4,0,83,6,2,91,0,91,0,279,188,83,91,91,,1,afe7cd34956c085808e3b865bf86ae3cc585d0d814a4fc2117f901a99aacd236,25/06/2023 22:22:33,ESCANER
11269,"Quetzaltenango",9,"Colomba",17,1513,380,0,70,58,1,0,1,11,11,0,1,153,9,5,167,0,167,--,380,213,153,167,167,Algún campo sin dato,1,8ec3c6cfed81dcb871536459c10d24ca1a50011f7443a2986fb19b3cc12840b1,25/06/2023 23:12:16,ESCANER
11270,"Quetzaltenango",9,"Colomba",17,1513,380,0,74,46,1,2,2,13,9,3,3,153,21,8,182,0,182,--,380,198,153,182,182,Algún campo sin dato,1,87906718548a433d9a4f10bd285b5449b7fced60f781188285d407413f423ecc,25/06/2023 23:01:08,ESCANER
11271,"Quetzaltenango",9,"Colomba",17,1513,233,0,29,20,1,0,1,4,2,1,0,58,7,3,68,0,68,--,233,165,58,68,68,Algún campo sin dato,1,3f1a5efb45cd858e33a87e843aeb896c769d2dc15f400883e76f7d8d99c453f4,25/06/2023 21:02:41,ESCANER
11272,"Quetzaltenango",9,"Colomba",17,1513,233,0,34,27,0,1,0,4,4,1,1,72,0,3,75,0,75,--,233,158,72,75,75,Algún campo sin dato,1,ed848235eeb8b5a221182e20e7695694f03c0fc788d0a372e032845476f22362,25/06/2023 21:21:14,ESCANER
11273,"Quetzaltenango",9,"Colomba",17,1514,380,3,88,91,0,1,2,16,6,2,1,210,24,1,235,0,235,--,380,145,210,235,235,Algún campo sin dato,1,bc2225985319ffd88fe65b7ca9df03d45960441c83640869192f612b0f81f180,26/06/2023 00:29:51,ESCANER
11274,"Quetzaltenango",9,"Colomba",17,1514,380,5,81,88,2,3,21,20,8,2,1,231,18,1,250,0,250,--,380,130,231,250,250,Algún campo sin dato,1,69c0b6ea43fe66bcd456d9c7a624d87b63543b5548264e87e90895d48a000279,25/06/2023 23:59:20,ESCANER
