TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25563,16477,64.4564

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,U R N G - MAIZ,PODEMOS,PHG,TODOS,AZUL,ELEFANTE,BIEN,VALOR,CABAL,WINAQ,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15553,"Huehuetenango",13,"Ixtahuacán",9,2263,380,37,17,9,3,54,8,14,0,3,44,1,24,1,0,4,219,24,11,254,123,377,--,--,--,219,254,377,Algún campo sin dato,1,d22ace8b145d178d072dd44c95cb4b008fe1de6dfbb303e005c5ceea78906f8a,26/06/2023 01:45:27,ESCANER
15554,"Huehuetenango",13,"Ixtahuacán",9,2263,380,55,12,6,1,47,2,13,2,3,45,1,25,1,0,2,215,21,11,247,1,248,--,380,132,215,247,248,Algún campo sin dato,1,ea23f863e31ac5eed6afdb46ba30a091b54feb9d3b9ddcabdf4cddf9542d20a2,26/06/2023 02:07:02,ESCANER
15555,"Huehuetenango",13,"Ixtahuacán",9,2263,255,32,6,3,1,46,1,6,2,5,24,1,22,2,0,3,154,7,1,162,0,162,--,255,93,154,162,162,Algún campo sin dato,1,0f0f9a990b98431ebbb5ef733ca3385da1afdaae89e6ac8207b03263c2c7d669,25/06/2023 21:55:03,ESCANER
15556,"Huehuetenango",13,"Ixtahuacán",9,2263,254,22,9,3,0,30,1,7,0,1,25,1,26,0,0,2,127,9,5,141,0,141,--,254,113,127,141,141,Algún campo sin dato,1,e8291e3a9ed19e6e0432b95ad10914795d1df2e1337bac9c9f148db022c4da1a,25/06/2023 23:42:57,ESCANER
15557,"Huehuetenango",13,"Ixtahuacán",9,2264,380,121,18,2,2,6,6,28,1,3,39,2,12,2,0,0,242,29,20,291,0,291,--,380,89,242,291,291,Algún campo sin dato,1,cf83099f875d898b88d4ab5589543d3d77d9440cbc885ad7d537ea6ce5d7e6a9,26/06/2023 00:40:38,ESCANER
15558,"Huehuetenango",13,"Ixtahuacán",9,2264,380,114,8,1,1,11,6,12,1,2,47,2,8,3,0,2,238,18,2,238,0,238,--,380,142,218,238,238,Sumas Asentadas sin cuadrar,1,241273846e6fdd08ac7a9feddb8c36e415fd77d94afcbabb9f785a073fe11adc,26/06/2023 02:40:41,ESCANER
15559,"Huehuetenango",13,"Ixtahuacán",9,2264,191,62,11,1,0,4,1,13,0,0,27,1,3,1,1,0,125,5,1,131,0,131,--,--,--,125,131,131,Algún campo sin dato,1,f10985f4885325125de876dbc0358ec1dd597b8ad7c38918565142fb2643a993,25/06/2023 22:42:27,ESCANER
15560,"Huehuetenango",13,"Ixtahuacán",9,2264,191,46,3,1,0,3,1,6,0,2,8,1,13,0,1,0,85,3,2,90,0,90,--,191,101,85,90,90,Algún campo sin dato,1,1b75142e635460925cf14147b1b1f3386b4a5d22b4a0514a9e12b2407c0164b2,25/06/2023 21:48:51,ESCANER
15561,"Huehuetenango",13,"Ixtahuacán",9,2265,384,3,3,0,6,9,2,9,1,0,37,0,4,6,1,1,82,11,5,98,0,98,--,384,286,82,98,98,Algún campo sin dato,1,6ac0d4884016a790234fe5f64a478e99f1836603a94747793bd679cd171b76c3,25/06/2023 22:34:50,ESCANER
15562,"Huehuetenango",13,"Ixtahuacán",9,2265,383,6,5,0,3,4,0,5,1,1,15,0,0,1,0,0,41,3,0,44,0,44,--,383,339,41,44,44,Algún campo sin dato,1,8e00b349c881bfaedcc5fd1de6e0bfda5150f9cf0e666c450db500e7517444fb,25/06/2023 23:20:48,ESCANER
