TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
102,102,100.0000,102,100.0000,0,37775,20310,53.7657

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR,UNE,PHG,CAMBIO,VICTORIA,PPG,CREO,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2387,"Guatemala",1,"Palencia",5,205,380,67,13,12,15,2,67,0,0,5,0,1,182,18,9,209,0,209,--,380,171,182,209,209,Algún campo sin dato,1,6ff90df157bc92a12d3f195a79c629c2f85eaa9c3187f867441ffc5438589eb8,25/06/2023 23:38:07,ESCANER
2388,"Guatemala",1,"Palencia",5,205,380,36,7,5,15,5,61,0,0,1,0,2,132,15,5,152,0,152,--,380,228,132,152,152,Algún campo sin dato,1,388060d13a34b76148116427792ce3a3808099a48a0f333cb4c1743701fd3fc2,26/06/2023 00:36:27,ESCANER
2389,"Guatemala",1,"Palencia",5,205,380,37,16,11,11,3,64,0,0,1,1,1,145,9,2,156,0,156,--,380,224,145,156,156,Algún campo sin dato,1,22df55b768a72978eb086bf19bdd4612a2cdd0215fe8f54274a900be11005c56,25/06/2023 22:10:02,ESCANER
2390,"Guatemala",1,"Palencia",5,205,200,30,9,2,3,0,26,0,0,0,2,0,72,1,0,73,0,73,--,202,129,72,73,73,Algún campo sin dato,1,e3037155c6aaa760540837e30c0384cdd5bf754033fe177ec0fa9a8eb2c160fe,25/06/2023 22:30:20,ESCANER
2391,"Guatemala",1,"Palencia",5,205,200,16,1,2,5,3,35,0,1,0,1,0,64,5,0,69,0,69,--,200,131,64,69,69,Algún campo sin dato,1,243988290ffba2a272581333738d5cf64be393d08644ee43a9724c8c8c242b33,25/06/2023 22:17:44,ESCANER
2392,"Guatemala",1,"Palencia",5,206,380,54,14,11,34,40,18,5,3,10,3,6,198,17,4,219,0,219,--,381,162,198,219,219,Algún campo sin dato,1,22615948716f33be815ca5f0058bae96c887ef025af865ef0ca0d8a959ce47a2,26/06/2023 00:39:50,ESCANER
2393,"Guatemala",1,"Palencia",5,206,380,70,14,10,19,30,24,5,4,5,11,9,201,24,5,230,1,231,1,381,150,201,230,231,,1,32ecf3dc700602b862fdc4f4af85873bd5c2805b151da5ca16c9f235949da806,26/06/2023 00:06:57,ESCANER
2394,"Guatemala",1,"Palencia",5,206,380,77,8,7,15,48,21,2,0,4,15,1,198,19,2,219,0,219,0,377,158,198,219,219,,1,61640faca5f23bf4cd5b46f21e627cf83cf5b830ece4049799005e59670e9e9a,26/06/2023 00:49:48,ESCANER
2395,"Guatemala",1,"Palencia",5,206,380,73,12,10,21,48,21,4,2,3,6,2,202,15,2,219,161,380,--,380,161,202,219,380,Algún campo sin dato,1,97d41fbbacedf919886128fe1fcd18c6453e185bfdad6d295771890fc6ed716f,26/06/2023 00:29:10,ESCANER
2396,"Guatemala",1,"Palencia",5,206,380,64,7,5,16,47,23,5,4,7,11,4,193,16,5,214,0,214,--,380,166,193,214,214,Algún campo sin dato,1,62af9387f342888d7a36ba69a7ec4a28bc215782624bbeb6d8a0975bf8ce47c1,26/06/2023 01:10:42,ESCANER
2397,"Guatemala",1,"Palencia",5,206,380,56,9,4,15,38,16,9,4,4,7,3,165,15,1,181,0,181,--,380,199,165,181,181,Algún campo sin dato,1,44ca2532af12fdceb39d1cd1f79fc37ad6c328d4c11fa8f9106dfa51f25f752b,26/06/2023 00:57:23,ESCANER
2398,"Guatemala",1,"Palencia",5,206,378,54,7,6,12,28,26,4,2,6,13,3,161,8,1,170,0,170,0,380,210,161,170,170,,1,1489939649d35c6c79a9d9e171476c6f1df015d33503019193c11483e7fa4ce2,25/06/2023 22:29:43,ESCANER
2399,"Guatemala",1,"Palencia",5,206,377,38,7,4,11,33,26,5,1,2,7,8,142,10,1,153,0,153,--,377,224,142,153,153,Algún campo sin dato,1,78d9992040de7dcb8eab16ce5f163606fe7789a8757604b6d5d961f29944c092,26/06/2023 01:26:36,ESCANER
2400,"Guatemala",1,"Palencia",5,207,380,70,6,15,11,15,63,0,1,2,0,4,187,23,4,214,0,214,--,380,166,187,214,214,Algún campo sin dato,1,48337db86d1a7efd7d13c498151091eaba7eed71f74a33ccd09104619b16071d,26/06/2023 01:13:10,ESCANER
2401,"Guatemala",1,"Palencia",5,207,380,64,2,14,8,19,83,0,2,3,2,1,198,23,3,224,0,224,--,327,103,198,224,224,Algún campo sin dato,1,c2a6c5530c032ee75044562031c251b39690fc10a04c8767aea1c0e4bdd69d17,26/06/2023 01:48:07,ESCANER
2402,"Guatemala",1,"Palencia",5,207,380,59,3,17,14,17,83,2,2,4,0,2,203,23,4,230,--,--,--,377,147,203,230,230,Algún campo sin dato,1,7b677cd8806ccac84ef46f596e79aa32a7070a6a2af1f273cdb4dc68b694c9c5,26/06/2023 01:53:37,ESCANER
2403,"Guatemala",1,"Palencia",5,207,380,56,5,16,11,12,84,2,1,3,1,2,193,20,12,159,0,384,--,384,225,193,225,225,Sumas Asentadas sin cuadrar,1,dac31d80d277699002d9934b8fab59838bfc2e6f344690ce4a73acdd5ff7e2ea,26/06/2023 01:37:03,ESCANER
2404,"Guatemala",1,"Palencia",5,207,380,59,6,8,7,10,82,0,2,4,1,6,185,15,5,205,0,205,1,380,174,185,205,205,,1,5f0f77ed5bcc8dcd03f87f244ff280438d9105c28b6fd382df0f7f0db7bca698,26/06/2023 01:26:59,ESCANER
2405,"Guatemala",1,"Palencia",5,207,380,58,0,13,8,10,76,1,1,1,0,2,170,15,3,188,--,188,--,380,192,170,188,188,Algún campo sin dato,1,d50ad658402725bd081dba60036822236a41c5256cbbe4fb9f804474db471c24,26/06/2023 01:42:42,ESCANER
2406,"Guatemala",1,"Palencia",5,207,229,43,4,8,3,6,63,0,0,0,1,2,130,1,3,134,0,134,1,231,97,130,134,134,,1,4b75d50b0dda378deccb01a02699d97c2a6dc5c60d62c3797566bfc799633c65,26/06/2023 00:09:00,ESCANER
2407,"Guatemala",1,"Palencia",5,207,229,27,1,8,3,5,67,1,1,0,0,2,115,1,2,118,1,119,--,231,112,115,118,119,Algún campo sin dato,1,4f028ddfae354cf372cadb3e434d8c0322e5185312e58a4133ea5c0791683589,25/06/2023 22:07:41,ESCANER
2408,"Guatemala",1,"Palencia",5,208,380,62,11,12,15,13,66,1,1,0,7,8,196,18,9,223,0,223,--,380,157,196,223,223,Algún campo sin dato,1,983e18b44ee982ec3687b75d6dbd69c1839b40ca2d5283a3f6a10a75e2f18d5a,26/06/2023 01:25:38,ESCANER
2409,"Guatemala",1,"Palencia",5,208,380,50,8,8,12,15,91,1,0,2,2,5,194,25,5,224,0,224,--,380,156,194,224,224,Algún campo sin dato,1,55559350118b79f422fe02458994f3860b34c27b6878cc7765ca06886054f2a0,26/06/2023 01:38:09,ESCANER
2410,"Guatemala",1,"Palencia",5,208,306,36,10,10,12,8,78,0,0,0,3,7,164,9,4,177,0,177,--,307,130,164,177,177,Algún campo sin dato,1,7290a5e0ae40a68aefe05302a9ad8c87c34b3c0e09437431c919dfa9a1403fd5,26/06/2023 01:11:13,ESCANER
