TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15029,"Huehuetenango",13,"Chiantla",2,2156,380,39,5,3,56,11,17,36,1,1,0,1,1,3,174,22,10,206,0,206,--,362,156,174,206,206,Algún campo sin dato,1,bf805bcb502dfe516bd4e5ecf885c89f8473fdd4f052c240c3cc3c9fdb0253cc,25/06/2023 23:38:03,ESCANER
15030,"Huehuetenango",13,"Chiantla",2,2156,380,55,4,1,55,4,4,26,0,3,0,1,1,0,154,25,7,186,0,186,--,379,193,154,186,186,Algún campo sin dato,1,842113b8277aa6f90043b2d216ecb5e0c13738b1f535e18ad5a1918ac3fb5fe2,25/06/2023 23:23:51,ESCANER
15031,"Huehuetenango",13,"Chiantla",2,2156,380,55,3,2,60,6,4,35,1,1,0,1,0,0,168,24,7,199,0,199,--,380,181,168,199,199,Algún campo sin dato,1,84c033cf548b80d08d314372beb78dde35066c227d54e9d2c25504d065f7a6df,26/06/2023 01:58:41,ESCANER
15032,"Huehuetenango",13,"Chiantla",2,2156,295,39,2,0,32,3,4,18,0,3,0,0,0,0,101,15,2,118,0,118,--,295,177,101,118,118,Algún campo sin dato,1,7ff7ead6d934117c4bdf66d7935b257b4f99da98353f75d10511f2d1875a90b2,26/06/2023 00:04:58,ESCANER
15033,"Huehuetenango",13,"Chiantla",2,2156,295,27,1,1,41,4,5,20,3,0,0,0,0,1,103,12,3,118,0,118,0,295,177,103,118,118,,1,f0a58b10921cdaf9dabad03d38b177cf6cff381bd07370ce16e5767dac76f543,25/06/2023 23:01:29,ESCANER
15034,"Huehuetenango",13,"Chiantla",2,2157,380,33,0,6,81,11,3,22,1,12,0,1,3,0,173,23,14,210,0,210,--,380,170,173,210,210,Algún campo sin dato,1,3b824b5c2de48e840c424b3e16de99af45c4145ac6b752ea35d7eaeb7fa8703f,25/06/2023 23:33:59,ESCANER
15035,"Huehuetenango",13,"Chiantla",2,2157,380,33,7,3,48,14,4,41,2,9,0,2,0,0,163,13,7,183,0,183,--,380,197,163,183,183,Algún campo sin dato,1,aae3adccbc8688c1f48389e14afb6b0afbbe8b1e8a50c619d868a2a4b482f203,25/06/2023 22:57:56,ESCANER
15036,"Huehuetenango",13,"Chiantla",2,2157,286,10,0,2,42,11,3,13,1,6,0,1,0,0,89,11,3,103,0,103,--,286,183,89,103,103,Algún campo sin dato,1,28cfeb8d6d711be1038df8e805eb5f46fd07beea00085d1a40a48fbbcb4eb159,25/06/2023 23:15:37,ESCANER
15037,"Huehuetenango",13,"Chiantla",2,2157,286,14,0,0,32,6,1,21,2,1,0,1,2,0,80,11,0,91,0,91,--,286,195,80,91,91,Algún campo sin dato,1,e5dccc3a790837dee13cdee1114eafd17f176aeec8bb6e32db99bee37b094c22,25/06/2023 22:51:13,ESCANER
15038,"Huehuetenango",13,"Chiantla",2,2158,380,36,6,1,76,15,3,19,1,8,0,0,0,0,165,31,15,211,0,211,--,396,185,165,211,211,Algún campo sin dato,1,8bab04a5e34569581af461ab6f2fa7866624dee781311ff15dd1e4511b8cc081,25/06/2023 23:46:32,ESCANER
