TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,61,98.3870,1,22948,16369,71.3308

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,FCN-NACION,VAMOS,VIVA,CABAL,ELEFANTE,SEMILLA,PPN,P A N,TODOS,VALOR,PHG,VICTORIA,BIEN,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20278,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,95,1,67,2,2,2,0,62,10,1,2,38,1,0,0,283,29,3,315,0,315,--,380,65,283,315,315,Algún campo sin dato,1,eac735a631b65bf489baafdb05beb5b85a26cfa71929116e4b5adcb625fc0e2c,26/06/2023 04:04:47,ESCANER
20279,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,92,1,60,7,1,1,0,55,12,0,5,41,3,0,0,211,19,0,297,0,297,--,378,--,278,297,297,Sumas Asentadas sin cuadrar,1,b0150d4f1f1661034c770907123b65f83ef97cdcf52ec912bd107c4069f8a65f,26/06/2023 05:48:23,ESCANER
20280,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,66,1,44,2,1,0,2,78,5,0,1,18,1,0,0,219,13,3,235,0,235,--,380,145,219,235,235,Algún campo sin dato,1,df2b58879fa0ff9396cbc993e9178c5d627be6029414697e4ccce0652d6fd752,26/06/2023 04:11:13,ESCANER
20281,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,59,0,57,2,3,2,1,77,5,0,2,16,2,0,2,228,8,3,239,14,253,--,377,126,228,239,253,Algún campo sin dato,1,84f86f2b41b586f130015f56bc5b63d94c3cee1674361f1f6fc082d7c669a6a2,26/06/2023 00:46:45,ESCANER
20282,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,75,0,64,2,1,0,0,87,3,1,3,17,1,1,0,255,14,2,271,0,271,--,380,109,255,271,271,Algún campo sin dato,1,0c76c02bf514694c1fbca94da1439beb8e9582c9aba05f9258ddba2ce4586199,26/06/2023 01:40:57,ESCANER
20283,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,90,2,58,4,7,0,1,86,9,0,6,13,1,1,0,278,17,5,300,0,300,--,380,80,278,300,300,Algún campo sin dato,1,f14c35338a83f4ec768bd094f230bf60abed5b083ab13ffe9c8d5e2eb48709cf,26/06/2023 04:02:03,ESCANER
20284,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,70,1,47,2,3,0,1,89,3,0,2,11,4,0,0,233,22,6,261,1,262,--,380,118,233,261,262,Algún campo sin dato,1,c2d82a2503e0f83798c92e70c07bafbfa17b6f824fda914b0da197222a333061,26/06/2023 02:06:26,ESCANER
20285,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,75,1,62,2,3,1,0,86,11,0,3,13,1,1,1,260,19,2,281,0,281,--,377,96,260,281,281,Algún campo sin dato,1,75e2f20227daca1eea182aa0f7ad2f6d700548181824e0c7ebde40c3651fe332,25/06/2023 23:19:26,ESCANER
20286,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,61,1,60,4,6,1,1,90,7,0,4,12,1,0,0,248,15,0,263,0,263,--,--,--,248,263,263,Algún campo sin dato,1,115a7eba18e891f13e130b9aa1d3557b641568acda45352e6bb4c15f1ea301b4,26/06/2023 02:22:37,ESCANER
20287,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3153,380,57,1,70,4,0,2,1,112,6,0,0,14,0,0,0,267,7,1,275,0,275,--,380,105,267,275,275,Algún campo sin dato,1,cd494787f43f11909525be8289470a1ee8ef0efe63d85d37364e6cb486d1af9a,26/06/2023 04:22:49,ESCANER
20288,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3153,380,71,0,56,5,2,1,0,63,13,0,2,18,0,0,0,231,12,0,243,0,381,--,381,138,231,243,243,Sumas Asentadas sin cuadrar,1,fe92dc095a4812396898534c2817cc916ff719931f9d9a78dfafd7817dd4be8f,26/06/2023 02:45:35,ESCANER
20289,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3153,327,62,1,57,3,0,0,1,72,5,0,1,5,2,0,0,209,2,1,212,0,212,--,327,115,209,212,212,Algún campo sin dato,1,30c404ff3b0a0f2bfe6bb32e9d0279969c6d3ccd6ccbaf8a6a52b3b5e89a39ac,26/06/2023 00:07:26,ESCANER
20290,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3153,327,59,1,41,1,2,2,1,73,7,0,1,13,2,0,1,204,17,3,224,0,224,--,327,103,204,224,224,Algún campo sin dato,1,c04a4170cd2bd1ba1ad636db858792fc06df1573169f6adcbbc23233f118e072,26/06/2023 01:48:19,ESCANER
