TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2069,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,6,136,13,7,3,20,14,64,0,0,0,1,3,0,3,1,0,273,12,5,290,1,291,--,377,86,273,290,291,Algún campo sin dato,1,55491ee4be5af6ec559d98954c54f8e474f153a913518d6e5dc3cd3c8d873b78,26/06/2023 00:40:12,ESCANER
2070,"Guatemala",1,"Santa Catarina Pinula",2,159,380,4,7,147,10,2,1,19,7,51,1,3,2,1,4,0,3,1,5,268,13,3,284,0,284,--,381,97,268,284,284,Algún campo sin dato,1,4af635df504b477ebb069a73055e1452d4b8b01845a8ebc67fea7f4ff3f40b57,26/06/2023 00:57:08,ESCANER
2071,"Guatemala",1,"Santa Catarina Pinula",2,159,380,6,7,143,6,8,2,15,3,53,3,0,5,1,2,0,3,2,5,264,21,1,286,0,286,--,380,94,264,286,286,Algún campo sin dato,1,b946ac3aacbd23120afa2dcebe47f0210a884a62f61264bc17c4676334e82ef9,26/06/2023 00:50:50,ESCANER
2072,"Guatemala",1,"Santa Catarina Pinula",2,159,380,1,3,139,10,12,2,18,6,45,3,1,2,1,0,0,3,0,5,251,27,1,279,0,279,2,377,94,251,279,279,,1,03f013e1f0a5799e5520c33fe1bc289b3e013005a301e1563d74a737c79f75c8,26/06/2023 01:58:16,ESCANER
2073,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,4,136,10,3,4,12,6,50,2,1,1,3,1,0,6,0,5,247,11,4,262,0,262,--,380,118,247,262,262,Algún campo sin dato,1,c90835b3cd65a92f5731de023f9b3c822bce7f6b5e4c709846aefa808e6bd16b,26/06/2023 03:21:55,ESCANER
2074,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,3,152,11,8,3,8,5,38,1,1,2,0,1,0,6,2,2,245,7,2,254,0,254,--,380,126,245,254,254,Algún campo sin dato,1,faf67864c0b6accbef10fe50505e93f48b016c391bed51545ae7f347d02b7dd7,25/06/2023 22:57:30,ESCANER
2075,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,2,145,10,9,1,9,4,48,1,0,2,0,0,1,2,0,2,238,4,1,243,0,243,--,378,135,238,243,243,Algún campo sin dato,1,c0545ec9b9350849ade61f531a2eb91a4cdcb4d907983c0654cfbd76ce44df96,25/06/2023 22:29:04,ESCANER
2076,"Guatemala",1,"Santa Catarina Pinula",2,159,380,1,3,126,6,3,0,20,9,64,0,3,4,0,3,0,7,4,2,255,11,2,268,0,268,--,376,108,255,268,268,Algún campo sin dato,1,cff15fc415c5f979f2fafb20a212809152a15c16ed071a7e5052dc744f681011,25/06/2023 23:37:14,ESCANER
2077,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,6,152,16,6,0,9,2,25,2,0,5,0,0,0,4,0,6,235,11,2,248,0,248,--,377,129,235,248,248,Algún campo sin dato,1,d927081a4a2602144b34493eea555f6721bf77c6a3669b56cdce5f2f753d24e4,26/06/2023 02:01:48,ESCANER
2078,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,3,148,10,6,0,6,8,41,2,1,4,0,1,1,8,0,3,244,14,3,261,0,261,--,380,119,244,261,261,Algún campo sin dato,1,de0c99ce9e75017d6f30946588d3a7310b4b47c15592f87a866985eb020aa21c,26/06/2023 00:17:36,ESCANER
2079,"Guatemala",1,"Santa Catarina Pinula",2,159,380,4,4,147,14,8,2,9,10,40,5,2,5,2,0,0,0,0,0,252,15,0,267,--,267,--,370,103,252,267,267,Algún campo sin dato,1,a8a10107641fdc36657cdcc8537b8c282399d9296b22039f2f1d7be6a4b0996d,26/06/2023 02:19:11,ESCANER
2080,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,6,151,13,6,0,10,6,42,1,0,3,1,4,0,2,3,5,256,15,1,272,0,272,--,373,101,256,272,272,Algún campo sin dato,1,224dc7b630a9ddfac24f49c16ac35d2b5f9e6bc17194367566c86777b4ccff4b,26/06/2023 01:30:44,ESCANER
2081,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,6,122,13,5,2,14,3,53,3,2,1,0,1,0,8,1,9,246,10,4,260,0,260,--,380,120,246,260,260,Algún campo sin dato,1,4a7c2faec4ddca0084f677efe8bca9306b93608b9ae39af741d6e9f0bd75f79f,26/06/2023 00:00:44,ESCANER
2082,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,1,143,9,6,0,16,7,54,5,4,5,0,2,1,3,0,7,265,8,5,278,0,278,--,380,102,265,278,278,Algún campo sin dato,1,82b9536937003d8014be35d5a6a858cf961ddea010a67fef3e39316348bf7b83,26/06/2023 01:13:47,ESCANER
2083,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,3,128,17,8,0,13,8,55,3,1,1,0,2,2,3,0,4,251,15,5,271,0,271,--,377,106,251,271,271,Algún campo sin dato,1,4c5798241431df7550647cbc1df9dc6aaa982db84c9eece44c42b48cce5b71e5,26/06/2023 00:43:09,ESCANER
2084,"Guatemala",1,"Santa Catarina Pinula",2,159,380,1,6,128,9,3,0,9,7,54,3,1,1,1,2,0,5,0,5,235,11,1,247,0,247,--,380,133,235,247,247,Algún campo sin dato,1,21643dcd3478d578f2a32075e669001a90c2d2174dc0035c3ef935bd34eda799,26/06/2023 01:03:02,ESCANER
2085,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,1,136,9,5,0,9,5,44,5,1,0,1,0,0,3,1,4,227,12,2,241,1,242,1,377,135,227,241,242,,1,b9c2b84f8d7f76bbe0ded1f354e3ab718e9db38595bb2d378e4650eb4040ca0d,26/06/2023 01:43:14,ESCANER
2086,"Guatemala",1,"Santa Catarina Pinula",2,159,380,2,3,134,10,4,0,16,4,45,1,2,2,0,0,2,3,1,2,231,6,1,238,8,246,1,380,131,231,238,246,,1,6aa67d1feb57584bd5bb6c4e2f591d775f5a1a703c8c95e77c4042e14c923d61,26/06/2023 00:14:04,ESCANER
2087,"Guatemala",1,"Santa Catarina Pinula",2,160,380,6,2,139,7,11,1,13,5,40,2,1,5,2,3,0,7,3,5,252,5,3,260,0,260,--,376,113,252,260,260,Algún campo sin dato,1,d6ca1ec4bb1ce7aee353fc365c2ffcb55464a06aeed97ca1ce4b1da315a84a32,26/06/2023 02:25:09,ESCANER
2088,"Guatemala",1,"Santa Catarina Pinula",2,160,380,2,2,160,11,5,0,5,6,38,4,0,1,0,0,2,6,1,1,244,5,0,249,0,249,--,361,112,244,249,249,Algún campo sin dato,1,755a2153d376db0a50d2cc9811d063d0bc625df09b7a59cb78902a692fcf603e,26/06/2023 02:38:48,ESCANER
