TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19478,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,72,6,41,7,2,58,6,6,2,4,2,0,1,7,2,9,2,2,1,230,21,7,258,0,258,--,400,142,230,258,258,Algún campo sin dato,1,2c44e1544fa62e909ad3bcd3f4b397f181d08d6fb55e9bc0befe2f448d4f394e,26/06/2023 02:02:51,ESCANER
19479,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,74,4,26,7,0,67,6,5,4,4,2,0,0,6,3,7,2,1,1,219,20,8,247,3,250,--,368,118,219,247,250,Algún campo sin dato,1,c0ac8dbb74c209ce971c88f7c448155363689c57ec9765c862491216a537c4df,26/06/2023 01:55:11,ESCANER
19480,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,69,3,29,6,0,70,4,8,3,0,0,0,0,6,0,4,2,0,1,205,21,7,233,0,233,--,400,167,205,233,233,Algún campo sin dato,1,17c4877f703a407a17dc5de239647c741b06c2c989538092c9417eeabef4941c,26/06/2023 00:02:10,ESCANER
19481,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,68,1,37,8,1,59,7,6,2,1,1,0,1,2,1,4,6,0,2,207,8,3,218,1,219,--,400,181,207,218,219,Algún campo sin dato,1,a36546cb97666d1f3de0d7201aa79781d562f02e889462969a231fccd882566a,26/06/2023 00:53:09,ESCANER
19482,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,47,1,34,10,1,51,9,5,4,0,1,0,2,7,3,7,2,1,0,185,6,0,191,0,191,--,400,209,185,191,191,Algún campo sin dato,1,632e5144a482c110f33dc88b3969a85b1c5fc56e02cb7d918478a808fd05353a,25/06/2023 23:52:38,ESCANER
19483,"Alta Verapaz",16,"San Pedro Carchá",9,2990,281,53,2,19,2,0,29,3,6,1,0,1,0,1,5,0,3,2,0,1,128,7,1,136,0,136,--,281,145,128,136,136,Algún campo sin dato,1,361fbcea231a9f9a48af8295df78d9096991f5a0fc326e9a81f66421baf50d67,25/06/2023 23:45:11,ESCANER
19484,"Alta Verapaz",16,"San Pedro Carchá",9,2990,280,27,1,19,5,0,27,1,3,2,0,0,0,0,2,0,4,0,0,0,91,10,1,102,0,102,--,280,178,91,102,102,Algún campo sin dato,1,d558a35749b1e2bb81db1f5953ab0470de811f4128a3e3f2d18eac9949d717a8,25/06/2023 23:17:11,ESCANER
19485,"Alta Verapaz",16,"San Pedro Carchá",9,2991,400,81,6,30,2,0,73,5,5,5,4,1,0,6,8,1,15,4,0,1,247,19,4,270,0,270,--,400,130,247,270,270,Algún campo sin dato,1,c61251890f4cdf07c942952f21032e78270dde10f7a9f00d3d6c7f3cef7a2f96,26/06/2023 04:35:17,ESCANER
19486,"Alta Verapaz",16,"San Pedro Carchá",9,2991,348,52,2,34,4,0,66,3,10,4,3,1,1,0,7,2,17,1,1,1,209,16,2,227,0,227,--,348,121,209,227,227,Algún campo sin dato,1,80674728cc126a75640537397602487aafd6514e883f413360c1dc808c573706,26/06/2023 02:14:45,ESCANER
19487,"Alta Verapaz",16,"San Pedro Carchá",9,2991,348,51,1,21,6,1,47,1,5,3,1,1,1,2,6,1,17,1,3,0,169,9,0,178,0,178,--,348,170,169,178,178,Algún campo sin dato,1,ecc9d3ae70c6462259e5fc33d11ccf247f8b03d308135295e7469b1a0ba52231,25/06/2023 23:37:55,ESCANER
19488,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,41,1,38,6,2,68,9,6,1,0,3,0,2,15,4,1,1,0,1,199,29,14,242,0,242,--,377,135,199,242,242,Algún campo sin dato,1,ab899afb8517ab4d04341a25fcb792495fda61bec2e29c38c79a5049362a63b7,26/06/2023 05:43:50,ESCANER
19489,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,43,4,19,5,3,55,4,6,0,0,2,0,3,18,2,1,3,1,0,169,21,10,199,0,200,--,380,180,169,200,200,Sumas Asentadas sin cuadrar,1,cd860a290d63ac9ca2760406ae87d38be908e8c618d34c65c60ebe2a7f44663c,26/06/2023 02:23:05,ESCANER
19490,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,46,1,36,13,1,59,8,5,0,0,2,0,1,21,1,0,2,0,1,197,25,5,227,0,227,--,377,150,197,227,227,Algún campo sin dato,1,d3412cc6f36387f64894184ac20a1d0a5b3d0151d5a7c458d4e4a4198f67cd9c,26/06/2023 03:49:45,ESCANER
19491,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,41,0,36,6,2,75,10,4,0,1,2,0,2,27,0,1,2,1,0,210,23,3,236,0,236,--,277,141,210,236,236,Algún campo sin dato,1,26bc3a5a45ffb32ca060745059ff7b9035c07bd7de474f1155811fcd71723334,26/06/2023 03:36:22,ESCANER
19492,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,39,2,23,6,3,87,10,7,1,0,1,0,3,28,4,0,1,0,1,216,30,4,250,0,250,--,380,130,216,250,250,Algún campo sin dato,1,5e00ae5bac745d8bfd44045020e9873dbe65bdd77a6df25176a56f6b35f32e5a,26/06/2023 01:12:52,ESCANER
19493,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,40,1,28,9,2,88,6,2,0,0,0,0,1,21,1,0,2,0,0,201,32,10,243,0,243,--,380,137,201,243,243,Algún campo sin dato,1,74c9d3196d95d46a7e3dd9555a2c1bc35ebb5fa07bf7913a7a08134fe89f7ae6,26/06/2023 00:41:52,ESCANER
19494,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,67,1,14,3,3,76,14,8,1,0,5,0,5,21,2,1,0,0,0,221,27,9,257,0,257,--,380,123,221,257,257,Algún campo sin dato,1,0c5e2656b7c3081393306b55d9b6cb7bd7eb401808f8ff8fe7361522723457f1,25/06/2023 23:05:49,ESCANER
