TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,93,98.9361,1,34281,19688,57.4312

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,TODOS,PODEMOS,VAMOS,U R N G - MAIZ,VIVA,SEMILLA,CREO,PPN,PR,CAMBIO,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17773,"Quiché",14,"Uspantán",15,2707,380,54,15,5,101,2,7,0,11,2,0,0,1,6,204,30,13,247,0,247,0,380,133,204,247,247,,1,be4655384bda603165cff69d8f8f3ae5ee481a37793881e6c12a9026c747d6e3,26/06/2023 06:17:24,ESCANER
17774,"Quiché",14,"Uspantán",15,2707,380,59,18,3,83,4,10,1,8,0,0,1,2,12,201,26,4,231,0,231,--,380,146,201,231,231,Algún campo sin dato,1,971ec4ee00f59e085e25f9c89dd2e9f1319ca5ef03e8763a62644c1c30b39628,26/06/2023 06:50:47,ESCANER
17775,"Quiché",14,"Uspantán",15,2707,380,57,18,3,91,2,7,0,8,1,0,0,1,10,198,21,10,229,0,229,0,380,151,198,229,229,,1,b3ff05c1a9d19bbde15c02dbfd22dab912808c197a629484bdc7c57ecba52541,26/06/2023 06:39:38,ESCANER
17776,"Quiché",14,"Uspantán",15,2707,380,64,19,4,80,0,6,0,5,0,2,0,0,11,191,23,16,230,0,230,0,380,150,191,230,230,,1,ce9b4e0fed2d47d81c22f396a08e9669d32189ebdb20b2310f8abb539b06f76e,26/06/2023 06:44:00,ESCANER
17777,"Quiché",14,"Uspantán",15,2708,380,64,21,2,66,3,6,1,8,0,0,0,0,5,176,39,11,226,0,226,0,379,153,176,226,226,,1,ce4b9db3a812f51cfbb1c65e84b2163ff2ea7d4294fe27527c212f77fdef96a4,26/06/2023 06:35:15,ESCANER
17778,"Quiché",14,"Uspantán",15,2709,380,48,14,2,69,6,11,2,11,0,0,0,1,6,170,38,8,216,0,216,--,380,164,170,216,216,Algún campo sin dato,1,884706d1b4cb3c2cd2f8956600145770b2d3f5a0e668ef47b6dde8ef55e9e1b2,26/06/2023 06:48:19,ESCANER
17779,"Quiché",14,"Uspantán",15,2709,380,42,11,5,74,2,7,0,8,0,0,1,1,7,144,21,5,187,0,187,0,380,193,158,184,184,Sumas Asentadas sin cuadrar,1,87b187d4dc7b76132515548d49697a84e1f634bead3465318c069d28fd4f56c2,26/06/2023 06:42:29,ESCANER
17780,"Quiché",14,"Uspantán",15,2709,380,58,12,3,96,1,16,1,11,1,0,0,0,5,204,0,6,210,15,225,0,380,155,204,210,225,,1,4d6fdab914e5784d922bb5cb4dca95cb627927d853b4a8349107017441df8622,26/06/2023 06:24:09,ESCANER
17781,"Quiché",14,"Uspantán",15,2709,380,58,21,2,65,1,4,1,22,0,0,0,0,5,179,12,0,191,0,191,0,377,186,179,191,191,,1,bdb59cf611a17e003e18332f54ce0a1a6dd83d3910db130a03bc1208fd7258f0,26/06/2023 06:16:33,ESCANER
17782,"Quiché",14,"Uspantán",15,2709,291,31,15,1,63,1,3,0,8,1,1,0,1,7,132,13,4,149,0,149,--,288,139,132,149,149,Algún campo sin dato,1,a892504fbc0fc0feb54b6eb7959c8dc631f3f9c21f4a6edd4d60d21a83f69816,26/06/2023 06:50:16,ESCANER
