TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,26720,21105,78.9857

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VIVA,CABAL,UNE,AZUL,CAMBIO,ELEFANTE,CREO,VOS,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9716,"Sololá",7,"Santiago Atitlán",19,1220,400,43,101,87,3,1,16,13,1,27,0,3,295,1,1,297,0,297,--,400,103,295,297,297,Algún campo sin dato,1,7695c739fb2a6f583db5c6c428fc709ed4ed935c49787cc318da30bb695f4e96,26/06/2023 01:13:03,ESCANER
9717,"Sololá",7,"Santiago Atitlán",19,1221,400,44,87,98,4,4,15,23,0,11,0,5,291,4,2,297,0,297,--,400,103,291,297,297,Algún campo sin dato,1,9042ff4960e9a87a46f212640708c3e1f5def73d5b69443b7420dddb4c5f781d,26/06/2023 00:21:34,ESCANER
9718,"Sololá",7,"Santiago Atitlán",19,1221,400,43,112,84,3,0,21,20,0,17,0,6,306,2,0,308,0,308,--,400,92,306,308,308,Algún campo sin dato,1,df20d011f71f788216cfedc2d70e1c7e6a947c0fd2d585c2a48af8d46661c0e1,25/06/2023 23:48:36,ESCANER
9719,"Sololá",7,"Santiago Atitlán",19,1221,400,57,96,92,2,3,27,14,1,21,2,9,324,2,0,326,0,326,--,400,74,324,326,326,Algún campo sin dato,1,06beb78204f364c849a226fde0442f285fea6606c7663234ac1a9749f9e4df1e,25/06/2023 23:09:41,ESCANER
9720,"Sololá",7,"Santiago Atitlán",19,1221,400,67,86,77,1,3,14,25,1,18,1,4,297,0,0,297,0,297,--,400,103,297,297,297,Algún campo sin dato,1,ea4ad886298fb8b8990889288ce0feabdca0c62705c3881b118fce8bad6716a4,25/06/2023 22:32:51,ESCANER
9721,"Sololá",7,"Santiago Atitlán",19,1221,400,57,90,83,2,1,11,40,0,18,1,3,306,1,0,307,1,308,--,400,92,306,307,308,Algún campo sin dato,1,9e16db5f65ef4bc8c9efb24803eb16ee0d868b9f8381c2f5b1d18cf70350e469,25/06/2023 22:50:29,ESCANER
9722,"Sololá",7,"Santiago Atitlán",19,1221,400,57,81,78,2,3,15,40,1,10,2,4,293,1,0,294,0,294,--,400,106,293,294,294,Algún campo sin dato,1,354c12344796a51f7418177db88e617f67c1655238c72b2835b1a241bbd6f96c,25/06/2023 22:39:07,ESCANER
9723,"Sololá",7,"Santiago Atitlán",19,1222,348,40,70,74,2,3,17,30,0,17,3,1,257,2,1,260,0,260,--,345,85,257,260,260,Algún campo sin dato,1,04f682bfc63a890178f00fdd25951ad3b748c1cb93cc477357017cc0df4b7ec0,26/06/2023 00:41:03,ESCANER
9724,"Sololá",7,"Santiago Atitlán",19,1222,348,44,81,63,4,1,15,35,0,6,3,4,256,4,2,262,0,262,--,348,86,256,262,262,Algún campo sin dato,1,2ee988476ba122daff64d987fc9f1c50b0513a983a842c5145346d597d2fcbfc,26/06/2023 00:44:20,ESCANER
9725,"Sololá",7,"Santiago Atitlán",19,1223,400,54,93,91,6,6,21,35,0,13,5,4,328,10,3,341,1,342,--,400,58,328,341,342,Algún campo sin dato,1,95d184592afba42c9452a2650d219b9e20236f527bcb1f25e186acfc0d08498c,26/06/2023 01:44:43,ESCANER
9726,"Sololá",7,"Santiago Atitlán",19,1223,400,46,112,83,6,3,22,34,1,19,3,2,331,8,7,346,0,346,--,397,54,331,346,346,Algún campo sin dato,1,8831482f6cb3495722abf8fcd64f491962658ff0a8305f158a08b4f3e24663dc,26/06/2023 01:52:27,ESCANER
9727,"Sololá",7,"Santiago Atitlán",19,1223,400,59,71,77,1,6,22,34,0,18,2,2,292,15,3,310,--,--,--,400,90,292,310,310,Algún campo sin dato,1,367854fba76cb2e9e21cedbc50c0e2a0222c747b2a038c81a21b4f11f777df85,26/06/2023 01:44:15,ESCANER
9728,"Sololá",7,"Santiago Atitlán",19,1223,400,45,74,86,8,2,22,34,3,15,1,6,296,5,6,307,0,307,--,400,93,296,307,307,Algún campo sin dato,1,3892f9880a4851a12759e16abf0d750ac22560beb096fffa2090e49c7719e73b,26/06/2023 02:12:16,ESCANER
9729,"Sololá",7,"Santiago Atitlán",19,1223,400,36,81,92,4,1,22,28,2,15,1,7,289,11,4,304,0,304,--,400,96,289,304,304,Algún campo sin dato,1,d86286a6672451298b85012fd39f292c7d5201f588b6dfe3f15f90dfbd1f4433,26/06/2023 02:15:01,ESCANER
9730,"Sololá",7,"Santiago Atitlán",19,1224,209,16,58,47,0,0,21,16,0,12,2,2,174,0,1,175,0,175,--,209,34,174,175,175,Algún campo sin dato,1,50f0bb611a47c021bcdad383611b25a90c9a6798092d5186fe9b91c07e0fb5c9,26/06/2023 00:54:14,ESCANER
9731,"Sololá",7,"Santiago Atitlán",19,1224,208,17,65,31,2,1,4,12,1,6,1,2,142,2,1,145,0,145,--,208,63,142,145,145,Algún campo sin dato,1,015671381fa79d8c1fc535a3bb6a075572af1813b7f2bb5e80eeb3250feff54c,26/06/2023 01:37:57,ESCANER
