TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
122,122,100.0000,122,100.0000,0,46334,29441,63.5408

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,SEMILLA,PPG,PR,AZUL,CREO,VALOR,VICTORIA,FCN-NACION,UR,CAMBIO,P A N,PODEMOS,MLP,UNIONISTA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2227,"Guatemala",1,"San José Pinula",3,179,400,77,8,3,30,8,4,3,37,6,38,0,2,8,0,1,0,4,2,10,241,5,0,246,0,246,--,400,154,241,246,246,Algún campo sin dato,1,5269834af46a1fbad67e40bace47d15ada33196fb3cab53cebfaeec2b1c96100,26/06/2023 04:08:47,ESCANER
2228,"Guatemala",1,"San José Pinula",3,180,400,75,6,4,40,30,7,7,36,11,38,0,0,2,0,1,0,0,3,6,266,4,0,270,0,270,--,400,130,266,270,270,Algún campo sin dato,1,30f4ba9a426fd4359cea164d7a9cfd818dfa6eabb0407d4f28b43ec41d65777c,25/06/2023 23:46:17,ESCANER
2229,"Guatemala",1,"San José Pinula",3,180,400,75,4,5,47,15,1,4,30,13,50,1,0,2,0,0,0,2,4,5,258,2,1,261,0,261,--,400,139,258,261,261,Algún campo sin dato,1,c0fef3f84dde4c15c210424cf0df0551e842b494c93c1996dcc48ed8d50f32a1,26/06/2023 02:14:14,ESCANER
2230,"Guatemala",1,"San José Pinula",3,180,400,81,6,8,42,8,4,2,23,6,44,0,1,2,0,0,0,2,2,6,237,3,0,240,0,240,--,400,160,237,240,240,Algún campo sin dato,1,df7be45241332543b38d1630d7fe23deb9b72798de4b7b40004a3a2e4cbd67aa,26/06/2023 00:53:40,ESCANER
2231,"Guatemala",1,"San José Pinula",3,180,303,42,3,1,28,9,5,1,19,7,19,0,0,3,0,0,0,1,0,7,145,6,0,151,0,151,--,303,152,145,151,151,Algún campo sin dato,1,b94c4f2bf5a6c61c6b1ef38829e77cbcb24f995e824891e7aa12000d6c951757,26/06/2023 01:40:19,ESCANER
2232,"Guatemala",1,"San José Pinula",3,180,302,45,4,1,12,12,0,2,24,2,23,0,1,3,1,1,1,1,3,3,139,5,0,144,1,145,--,302,157,139,144,145,Algún campo sin dato,1,8f0743093d7a90d2e092c7fe0e15c7b1b04827c49f582fe3f508f60b934775b4,26/06/2023 00:14:06,ESCANER
2233,"Guatemala",1,"San José Pinula",3,181,400,53,12,5,14,27,1,5,20,33,19,0,4,23,1,4,0,4,42,4,271,23,2,296,0,296,--,400,104,271,296,296,Algún campo sin dato,1,657670c2d57b9caf902d00168f2148a8aa6d394dbbce51f3be0ab9e119201484,26/06/2023 01:57:13,MOVIL
2234,"Guatemala",1,"San José Pinula",3,181,400,55,13,7,19,29,0,9,23,24,21,0,4,22,1,2,2,3,43,2,279,13,5,297,0,297,--,397,100,279,297,297,Algún campo sin dato,1,4eb138f5d6466b4bd857f2af6ea8155e95a31287c75aa8a81d4fa23f2033d6df,26/06/2023 00:12:07,ESCANER
2235,"Guatemala",1,"San José Pinula",3,181,400,40,5,5,19,22,3,5,22,19,28,1,5,12,0,1,0,2,47,2,238,22,1,261,0,261,--,400,139,238,261,261,Algún campo sin dato,1,e9bf545f8c59479337e98df2a95fd8912d6e7111af15e9fbc39ba978fb099ef7,26/06/2023 00:18:37,ESCANER
2236,"Guatemala",1,"San José Pinula",3,181,400,37,12,8,12,27,0,5,21,27,27,0,3,21,3,5,1,0,24,0,233,21,1,255,0,255,--,255,143,233,255,255,Algún campo sin dato,1,8f17f535fdcb6a770a8bd75fbdf6390ee14ca5d4dcf72445e38bac34200cc090,26/06/2023 00:29:07,ESCANER
2237,"Guatemala",1,"San José Pinula",3,181,400,53,7,9,6,28,2,8,27,25,18,1,3,25,0,0,0,3,36,6,257,28,2,287,0,287,--,400,113,257,287,287,Algún campo sin dato,1,71fc615e7e20979e5b402d1d1ba2cf4eb40055282dd9b8047f903393c1d3e4c1,26/06/2023 01:48:53,ESCANER
2238,"Guatemala",1,"San José Pinula",3,181,400,45,10,13,11,31,1,8,24,18,24,0,7,31,0,3,0,4,41,3,274,13,1,288,0,288,0,397,109,274,288,288,,1,eb6a433a9c79933fc6336482d79f445d081b5b5c8fd711210d0df19d2b513ca8,26/06/2023 01:29:34,ESCANER
2239,"Guatemala",1,"San José Pinula",3,181,400,44,8,13,11,37,4,3,26,16,27,0,0,16,0,3,0,1,33,6,248,14,1,263,0,263,--,400,137,248,263,263,Algún campo sin dato,1,2f4a410d5c57569e5f7b4b277e29b186a60e545c9173e2fb25a83c1bdb995c57,25/06/2023 23:10:34,ESCANER
2240,"Guatemala",1,"San José Pinula",3,181,305,24,7,10,4,60,1,1,20,17,15,0,1,29,1,0,0,3,28,0,221,5,0,226,0,226,--,304,78,221,226,226,Algún campo sin dato,1,7277e879f9a6406c9ba693cc3dfa019038df577e3779251b22bd950054c34b42,25/06/2023 22:49:27,ESCANER
