TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23611,"Jutiapa",22,"Jutiapa",1,3709,400,48,13,4,1,16,0,19,4,7,19,68,7,2,2,4,214,9,2,225,0,225,--,394,169,214,225,225,Algún campo sin dato,1,89d7dac8b39dc79e0e364ed3b04e1b99c894752f3d6a5209d10affb72b6585de,26/06/2023 02:14:32,ESCANER
23612,"Jutiapa",22,"Jutiapa",1,3709,400,59,21,0,2,24,2,12,5,8,15,68,10,6,2,4,238,7,1,246,0,246,--,400,154,238,246,246,Algún campo sin dato,1,cac8884d81ee766aae479358d3931534c475c1f3a15fe60a79a351f10107d5ff,26/06/2023 01:16:00,ESCANER
23613,"Jutiapa",22,"Jutiapa",1,3709,329,44,14,3,1,9,2,13,4,4,14,59,7,3,1,7,185,7,0,192,0,192,--,329,137,185,192,192,Algún campo sin dato,1,5009395c89bcbae9763f59b6f9583cb14859da247c84a54f70b8b4806cb65163,26/06/2023 00:23:42,ESCANER
23614,"Jutiapa",22,"Jutiapa",1,3709,329,39,11,1,2,12,2,20,3,6,13,53,13,2,1,7,185,5,1,191,0,191,--,329,138,185,191,191,Algún campo sin dato,1,c3ba2901271bb0c792d070c3c82a32276b5a94d2d36da2d83b3a2c970463abd6,26/06/2023 00:44:41,ESCANER
23615,"Jutiapa",22,"Jutiapa",1,3710,400,42,17,3,4,27,0,8,0,6,9,70,19,1,3,1,210,30,6,246,0,246,--,400,154,210,246,246,Algún campo sin dato,1,bbbd8b710d33775ab6e7d8fd5b2f758299d4d2fd642a12855d9aeca9fbc196a7,26/06/2023 01:50:34,ESCANER
23616,"Jutiapa",22,"Jutiapa",1,3710,400,40,28,3,1,21,1,11,0,5,12,64,18,1,5,2,212,17,3,232,0,232,--,375,143,212,232,232,Algún campo sin dato,1,e6dbb0b6f60dfbb8ad524658d75c70a1621192787f649f65f26514cb0c2b8ebc,26/06/2023 01:32:30,ESCANER
23617,"Jutiapa",22,"Jutiapa",1,3710,400,41,22,3,3,16,0,10,4,1,10,72,13,0,3,4,202,16,1,219,0,219,--,400,181,202,219,219,Algún campo sin dato,1,e68ef3c6ee92f1c0594b2e35ba45eb3556778463c514594e94a4ca193a55339f,26/06/2023 02:50:44,ESCANER
23618,"Jutiapa",22,"Jutiapa",1,3710,400,33,20,2,2,22,0,10,3,6,15,82,11,1,1,3,211,20,1,232,0,232,--,400,168,211,232,232,Algún campo sin dato,1,0dc275dd1bbf594cf125afd58a9cc368ca8f2f4fd820376eabaef2fc5ebcbf4f,26/06/2023 01:40:25,ESCANER
23619,"Jutiapa",22,"Jutiapa",1,3710,400,40,18,4,1,20,2,10,4,1,14,55,17,1,3,2,192,6,1,199,0,199,--,397,198,192,199,199,Algún campo sin dato,1,458e1554185f5de4d19e9e039c91542ea69c15cbd256c8892e7afdc9baa32190,26/06/2023 01:25:57,ESCANER
23620,"Jutiapa",22,"Jutiapa",1,3710,264,22,9,2,1,11,1,8,0,5,8,55,3,1,4,2,132,7,0,139,1,140,--,264,124,132,139,140,Algún campo sin dato,1,f84da41f4910c868eb8862b2dfd99550209ababe00647a448457d31a2e41bb0a,25/06/2023 23:26:44,ESCANER
23621,"Jutiapa",22,"Jutiapa",1,3710,264,19,16,0,2,11,0,11,0,5,5,45,3,0,2,5,124,5,1,130,0,130,--,264,133,124,130,130,Algún campo sin dato,1,704d4570ba107a44d75a9c134fffc62fc98657b771c6fccae2fcee0560f41103,26/06/2023 02:34:43,ESCANER
23622,"Jutiapa",22,"Jutiapa",1,3711,400,36,20,0,1,13,4,15,7,5,7,83,13,1,2,2,209,23,5,237,0,237,0,40,163,209,237,237,,1,d2f61f80a3a3dc6b61fbe8dc281f237ed70d2a162ce2bd653d5fe05322915391,26/06/2023 04:37:51,ESCANER
23623,"Jutiapa",22,"Jutiapa",1,3711,400,52,25,4,2,15,2,18,2,8,7,77,9,2,3,3,229,19,5,253,0,253,--,397,144,229,253,253,Algún campo sin dato,1,ba5c1b9b2742a2d392ec40c054f94e30ea50b33726ccfc5b1b224a08c0c6d89e,26/06/2023 00:19:34,ESCANER
23624,"Jutiapa",22,"Jutiapa",1,3711,400,54,31,2,4,17,1,18,2,1,9,80,10,5,1,1,236,8,3,247,0,247,0,396,149,236,247,247,,1,cd8b2eb978a5e7287e0b49984ea38c9a6127b9b5d06fbc1e53b8c0e0261f3632,26/06/2023 02:48:09,ESCANER
23625,"Jutiapa",22,"Jutiapa",1,3711,400,56,29,1,3,14,3,16,2,7,9,67,10,0,1,4,222,14,2,238,0,238,0,397,159,222,238,238,,1,363a4d755f9f425f05fdf91426c78b283bc0edba5b96dc3c0ab965c2d9ce215e,26/06/2023 01:54:58,ESCANER
23626,"Jutiapa",22,"Jutiapa",1,3711,343,33,17,2,1,13,4,9,3,2,6,49,7,0,1,4,151,5,3,159,5,164,0,343,176,151,159,164,,1,d51348b5ce3291dccfdabb623cd208235d9a5c1c0e8fae40cc367cd5fe94b8f1,26/06/2023 00:44:46,ESCANER
23627,"Jutiapa",22,"Jutiapa",1,3711,343,37,16,1,0,14,1,12,1,2,8,60,3,1,3,5,164,6,0,170,0,170,0,347,177,164,170,170,,1,9ff0e3010140ac0bd259240e607a8de4356542dc0c977ca4d5451097e8487731,26/06/2023 00:24:58,ESCANER
23628,"Jutiapa",22,"Jutiapa",1,3712,380,34,33,2,1,26,1,17,0,1,6,31,17,2,3,2,176,24,6,206,0,206,1,379,169,176,206,206,,1,2b2c22d1682ff6d74314bdcd5b4773986a8f0a1dc25f69ac23f1dfa3da66d0f3,26/06/2023 03:20:46,ESCANER
23629,"Jutiapa",22,"Jutiapa",1,3712,380,30,44,3,2,38,2,18,0,2,2,39,15,0,2,2,199,21,5,225,0,225,--,380,155,199,225,225,Algún campo sin dato,1,5c9d9410cc1922bd284321e0ce687a463c27267b8b17c823856dae8076953a30,25/06/2023 23:17:54,ESCANER
23630,"Jutiapa",22,"Jutiapa",1,3712,380,26,41,1,0,37,1,21,1,2,12,31,23,0,4,3,203,18,3,224,0,224,--,380,156,203,224,224,Algún campo sin dato,1,79a3abd4ffa2091789092af387381ce61c04979dcbab137b220adf8d3ea9bd43,26/06/2023 01:45:01,ESCANER
23631,"Jutiapa",22,"Jutiapa",1,3712,380,20,46,1,2,40,1,10,2,1,3,14,23,0,2,1,166,29,3,198,0,198,--,380,182,166,198,198,Algún campo sin dato,1,75474cea5f3d66f850b5322e1cc217ee5c28538b7d4cb4c47a45825de3a6657b,26/06/2023 00:39:13,ESCANER
23632,"Jutiapa",22,"Jutiapa",1,3712,380,24,42,2,0,45,1,6,0,3,2,23,31,1,2,1,183,37,7,227,0,227,--,380,153,183,227,227,Algún campo sin dato,1,e8d06b020a822b49536c3a3f998286700bc9171b394b0e552648788ef1eef732,26/06/2023 03:13:29,ESCANER
23633,"Jutiapa",22,"Jutiapa",1,3712,380,23,33,7,1,28,3,16,0,1,2,23,30,0,3,2,172,37,11,220,0,220,--,400,180,172,220,220,Algún campo sin dato,1,2ce6934c003caac5004a9ef3e1fb38772907765b8322b9bb364b96677794decf,26/06/2023 02:13:24,ESCANER
