TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
111,111,100.0000,111,100.0000,0,41651,18627,44.7216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,MLP,VAMOS,CAMBIO,CABAL,AZUL,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20590,"Petén",17,"La Libertad",5,3204,380,43,3,49,35,29,1,0,1,161,13,3,177,0,177,--,380,203,161,177,177,Algún campo sin dato,1,d619e2499e06e11b057d3830f725c0e020cbcf36d9380cad9dca5f84459bb8af,25/06/2023 23:30:02,ESCANER
20591,"Petén",17,"La Libertad",5,3204,380,46,2,50,37,20,0,0,1,156,8,3,168,1,168,1,380,212,156,167,168,Sumas Asentadas sin cuadrar,1,ab5a95a0de3d29390a0914a0c3b79e522bd74aab8748f16390f7828b3324a6bf,26/06/2023 02:52:41,ESCANER
20592,"Petén",17,"La Libertad",5,3204,380,39,5,35,38,19,1,0,3,140,9,3,152,0,152,--,380,228,140,152,152,Algún campo sin dato,1,4aaf0ba6d8441fdbb25643ec83b88ecfebead540ed8db8c7c3b619d83e585009,25/06/2023 23:56:37,ESCANER
20593,"Petén",17,"La Libertad",5,3204,380,49,4,27,40,21,2,0,1,144,5,3,152,8,160,--,380,220,144,152,160,Algún campo sin dato,1,b93c7b0a2a80a016b22e478a4584d0d9bdcdc8d5904ffb4e3d182c0535fe11f1,26/06/2023 03:16:09,ESCANER
20594,"Petén",17,"La Libertad",5,3204,380,50,5,33,34,19,2,1,0,144,15,6,165,0,165,--,380,215,144,165,165,Algún campo sin dato,1,80e64c305d6c054e45aee59c657eda89a34f13e84def200f5c8d9d8c8c497a81,25/06/2023 22:51:03,ESCANER
20595,"Petén",17,"La Libertad",5,3204,380,34,4,42,45,24,1,0,2,152,10,8,170,0,170,--,380,210,152,170,170,Algún campo sin dato,1,455452beedadb728009ca51d4ac600b66d9ba355ce000018c452314a4a4df60c,26/06/2023 03:20:54,ESCANER
20596,"Petén",17,"La Libertad",5,3204,380,56,5,37,33,15,2,0,1,149,13,0,162,0,162,--,380,218,149,162,162,Algún campo sin dato,1,a0a54fde7bc70957d5e3c0994b495f7dbfec711b17277e58a7082b324e887278,25/06/2023 22:58:12,ESCANER
20597,"Petén",17,"La Libertad",5,3204,380,36,2,36,27,19,1,0,3,124,7,3,134,0,134,--,380,246,124,134,134,Algún campo sin dato,1,6626a4e9183eebd6541d4e6ec5d867079bd538c2a081ddf25d3986d8785ac229,26/06/2023 00:38:41,ESCANER
20598,"Petén",17,"La Libertad",5,3204,380,53,1,27,29,17,1,1,3,132,12,3,147,0,147,--,380,233,132,147,147,Algún campo sin dato,1,8f82f1f55708eb7b90032dc76e450c3fdd5122de08b5e0521d712587caf3fb80,26/06/2023 03:03:32,ESCANER
20599,"Petén",17,"La Libertad",5,3204,380,43,5,27,38,15,0,0,2,130,18,4,152,0,152,--,380,228,130,152,152,Algún campo sin dato,1,1d16b7da39538c5dfed949cbcb043983de84436df10990f27118ad6728fe8217,26/06/2023 01:10:50,ESCANER
20600,"Petén",17,"La Libertad",5,3204,380,46,2,40,29,19,0,0,0,136,7,5,148,0,148,--,380,232,136,148,148,Algún campo sin dato,1,937baac1659aaabf0a3715fe47b8680cb8a3248e44e4728ea48817497f271973,26/06/2023 00:20:37,ESCANER
20601,"Petén",17,"La Libertad",5,3204,380,37,3,39,42,20,0,0,1,142,2,3,147,12,159,--,380,221,142,147,159,Algún campo sin dato,1,fceb0d33d399da14096e10b8c8f2820c3925a40f61723a3ee6bdff1ffc8b9128,26/06/2023 01:48:48,ESCANER
20602,"Petén",17,"La Libertad",5,3204,380,56,3,37,48,19,2,0,2,167,9,0,176,0,176,--,380,204,167,176,176,Algún campo sin dato,1,b77e8760a475d1836d6068080d3e69d6fe26116bdd577d2804b522bbc7212f60,26/06/2023 02:56:00,ESCANER
20603,"Petén",17,"La Libertad",5,3204,380,32,2,41,41,19,0,0,0,135,4,3,142,0,142,--,380,238,135,142,142,Algún campo sin dato,1,dab054a4f40a72c18653619955e9aa4747d6e30d1a07e76316a1fb21921b9789,26/06/2023 03:08:08,ESCANER
20604,"Petén",17,"La Libertad",5,3204,380,48,9,46,46,14,0,0,5,168,3,0,171,0,171,--,380,209,168,171,171,Algún campo sin dato,1,29d051ad7317d99e7e970a5ef6f95afee8dd05339dc9fb5e4eda0b814cb08a55,26/06/2023 02:21:50,ESCANER
20605,"Petén",17,"La Libertad",5,3204,380,34,2,48,40,23,1,--,4,152,3,--,155,--,155,--,380,225,152,155,155,Algún campo sin dato,1,34c8de8313337cc4b6446d409dba2073aa87125e3fe4bd1926da22c695fb1697,26/06/2023 02:53:49,ESCANER
20606,"Petén",17,"La Libertad",5,3204,380,41,0,37,40,27,0,0,2,147,6,0,153,0,153,--,380,227,147,153,153,Algún campo sin dato,1,d670481356aa9ec8a31ec7c637eeae7bcc5d642e2e8913c69fe7a98011516b93,25/06/2023 23:13:46,ESCANER
20607,"Petén",17,"La Libertad",5,3204,282,29,2,25,35,13,1,0,1,106,3,4,113,0,113,--,279,166,106,113,113,Algún campo sin dato,1,60ae0f046ad2e6937f044d26d83fa5b87fea67b38072291010cda462f20d5797,26/06/2023 03:14:48,ESCANER
20608,"Petén",17,"La Libertad",5,3204,281,14,0,21,18,11,0,0,0,64,5,1,70,0,70,--,278,208,64,70,70,Algún campo sin dato,1,cd55ccefbee0f36d18a75f0a7f03df24c2b766d4129077e54a69b85093febb94,25/06/2023 22:11:30,ESCANER
20609,"Petén",17,"La Libertad",5,3205,380,45,3,21,90,23,0,3,6,191,13,2,206,0,206,--,380,174,191,206,206,Algún campo sin dato,1,52c84bb55dc28c69a9d3323dae9eef415897b7b83910716039150ed507874f69,26/06/2023 02:12:29,ESCANER
20610,"Petén",17,"La Libertad",5,3205,380,59,6,24,79,12,0,1,3,184,8,4,196,0,196,--,380,184,184,196,196,Algún campo sin dato,1,5182bd73c27c33a3db0e52685a76561125372788375e0a32de9c6791a5dcdc73,26/06/2023 01:39:48,ESCANER
20611,"Petén",17,"La Libertad",5,3205,380,46,2,16,59,11,2,1,5,142,17,10,169,0,169,--,380,211,142,169,169,Algún campo sin dato,1,6be5cc17058f6b51853a332e343353b9057f60f223b6d0a165795f3220aff1e3,26/06/2023 00:49:09,ESCANER
20612,"Petén",17,"La Libertad",5,3205,380,34,4,16,61,13,0,0,5,133,8,2,143,0,143,--,380,237,133,143,143,Algún campo sin dato,1,2c386c3b9460b15aa506f8875fbf1b2c2f93047eb629a14f19b378d5c016a024,25/06/2023 23:40:32,ESCANER
20613,"Petén",17,"La Libertad",5,3205,380,49,0,14,67,18,0,0,2,150,13,3,166,0,166,--,380,214,150,166,166,Algún campo sin dato,1,26abdb6c7ec078ae2cf511afe6005c62f57a033352f6b0fabce1987fed81c986,25/06/2023 22:00:16,ESCANER
20614,"Petén",17,"La Libertad",5,3205,380,50,3,21,51,16,1,0,5,147,8,1,156,0,156,--,379,223,147,156,156,Algún campo sin dato,1,0b0730ce08a1f6e6ad0ee1677c40032c3ee09ed52614ff01b616272a11276c1d,25/06/2023 23:49:03,ESCANER
20615,"Petén",17,"La Libertad",5,3205,380,44,5,23,45,16,2,1,6,142,16,5,163,0,163,--,380,217,142,163,163,Algún campo sin dato,1,3fe53ec2b25f2015b7d72ef8676078c9ce47c76ad1d90a4a8a639c16a3e938f5,25/06/2023 23:55:47,ESCANER
20616,"Petén",17,"La Libertad",5,3205,380,53,4,7,55,19,0,1,6,145,15,4,164,0,164,--,377,213,145,164,164,Algún campo sin dato,1,d7dc07cbdeb30c0fc602d52699f9c54c8912030627388bd948003859aa6de88b,25/06/2023 22:51:29,ESCANER
20617,"Petén",17,"La Libertad",5,3205,380,55,2,10,55,12,2,0,8,144,14,3,161,0,161,--,380,219,144,161,161,Algún campo sin dato,1,66ea240e2069569591b4f2ab7ca78a42712645fbb035230ad0e29701d5498708,26/06/2023 00:52:41,ESCANER
