TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,47515,32039,67.4292

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,PHG,VALOR,AZUL,PPN,ELEFANTE,WINAQ,VIVA,FCN-NACION,VAMOS,CREO,VOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19361,"Alta Verapaz",16,"Senahú",8,2971,380,83,31,1,7,11,1,61,16,1,0,1,43,0,0,1,257,13,0,270,0,270,--,380,110,257,270,270,Algún campo sin dato,1,bfb719e536d5652c2cc47cf05727603563441052cc3d155b06ac2d45934fe6fa,26/06/2023 03:13:55,ESCANER
19362,"Alta Verapaz",16,"Senahú",8,2971,380,70,23,--,8,7,--,71,11,--,1,--,31,--,--,--,222,13,2,237,0,237,--,380,143,222,237,237,Algún campo sin dato,1,c57c32fe9c64c1bbacae3741e9b64e22ee1e30cbd7e0fb76e250777ea313bd2b,26/06/2023 05:45:27,ESCANER
19363,"Alta Verapaz",16,"Senahú",8,2971,380,89,18,0,14,7,1,83,3,0,1,4,40,0,0,0,260,6,1,113,0,380,--,380,113,260,267,267,Sumas Asentadas sin cuadrar,1,1a54ec8504cc76438e8f945efd535815aa0607cf1ea0a56db190fe5962cc441d,26/06/2023 02:53:07,ESCANER
19364,"Alta Verapaz",16,"Senahú",8,2971,241,56,17,0,8,6,0,46,13,0,1,2,10,0,1,0,142,5,1,166,0,166,--,241,75,160,166,166,Sumas Asentadas sin cuadrar,1,eba84d298066dcfe0cbcdfcaeee51ce10912a8c92d6be8c67e0af4a83c7eeb90,26/06/2023 03:55:02,ESCANER
19365,"Alta Verapaz",16,"Senahú",8,2971,241,54,14,1,6,3,2,37,5,0,1,0,18,0,0,1,142,11,3,156,0,156,--,241,85,142,156,156,Algún campo sin dato,1,5ca4fe4423f1c2af0486c4ade19e4e319945b8181d72877c2904cbe5c516c6a2,26/06/2023 03:43:30,ESCANER
19366,"Alta Verapaz",16,"Senahú",8,2972,380,53,11,0,30,8,3,156,0,0,0,3,17,0,0,0,282,2,7,302,11,302,--,377,75,281,290,301,Sumas Asentadas sin cuadrar,1,4725da7824cd370424263a49a54a6480aafbcc303e7f7de247727c8d8642a58e,26/06/2023 02:14:44,ESCANER
19367,"Alta Verapaz",16,"Senahú",8,2972,380,71,29,1,29,13,0,116,0,0,2,8,30,0,0,0,299,17,7,323,0,323,--,--,--,299,323,323,Algún campo sin dato,1,38932027cad4fc248e976c25f5a5f3ad50863ec3de34525ac050c02a99c3d340,26/06/2023 04:46:41,ESCANER
19368,"Alta Verapaz",16,"Senahú",8,2972,380,70,47,1,21,15,0,112,0,1,1,8,22,0,0,1,299,12,2,313,0,313,--,380,67,299,313,313,Algún campo sin dato,1,cbfe9eda1eea9dc31ba6cb0aa8711b9474da098a2d2da39793caff2cc1214efc,26/06/2023 04:50:35,ESCANER
19369,"Alta Verapaz",16,"Senahú",8,2972,380,77,45,2,15,16,0,67,0,1,3,25,18,3,0,0,272,13,2,287,0,287,0,380,93,272,287,287,,1,e80e1bbd256cb3f341298c05c18255657343c64c7e83775c8a6f6a9a37d19c90,26/06/2023 05:51:55,ESCANER
19370,"Alta Verapaz",16,"Senahú",8,2972,380,49,29,0,19,8,0,116,0,1,1,5,20,1,0,0,249,10,8,267,0,267,--,--,113,249,267,267,Algún campo sin dato,1,aa4035ad1e27a67cc7acdd10c0a081f43e1ac040aa8fbcd87cc3dd3205c39121,26/06/2023 05:52:05,ESCANER
