TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,30187,18913,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,CUM,TODOS,ELEFANTE,PODEMOS,VICTORIA,CREO,VIVA,SEMILLA,PHG,UR,CABAL,PR,AZUL,VOS,PPN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13184,"San Marcos",12,"San Marcos",1,1798,230,0,30,49,2,0,7,2,4,3,2,4,5,1,1,1,1,7,119,13,0,132,0,132,0,230,98,119,132,132,,1,9cc508c6b40622510efdbc52d3c168e9874f82d89e0561aaedcaf134f6282f8e,26/06/2023 00:44:57,ESCANER
13185,"San Marcos",12,"San Marcos",1,1798,229,4,33,37,0,0,6,2,1,3,0,2,5,0,2,1,1,1,98,4,1,103,0,103,0,229,126,98,103,103,,1,59db60097f25800b77dcb4318dbfb991dd4f052d118920994cf2a45ceaf93cd9,25/06/2023 23:23:19,ESCANER
13186,"San Marcos",12,"San Marcos",1,1799,380,2,91,49,2,2,1,4,2,2,4,0,3,1,5,0,0,18,186,26,9,221,0,221,0,380,159,186,221,221,,1,c998f27afc469ba0fa8f18c2c561f26325ec1c7e4cbb36383c633b6f17c3e215,26/06/2023 00:03:02,ESCANER
13187,"San Marcos",12,"San Marcos",1,1799,380,4,89,59,3,1,1,0,3,4,2,2,1,0,2,2,0,13,186,24,3,213,0,213,0,380,167,186,213,213,,1,0f812a960ef55926da3ba54fa00d9eab6343f72b074123ea15ed5409c42c5bb6,25/06/2023 23:13:34,ESCANER
13188,"San Marcos",12,"San Marcos",1,1799,380,0,87,72,5,0,3,4,3,0,1,2,5,0,2,0,0,16,200,18,5,223,0,223,0,380,157,200,223,223,,1,61117ad6a48e139e28bf05c7115a2c27120f4a1338417b9974250ee98cc45f20,26/06/2023 01:49:54,ESCANER
13189,"San Marcos",12,"San Marcos",1,1799,380,2,105,72,1,1,1,6,4,2,1,0,1,0,3,4,0,16,219,39,8,266,0,266,0,380,111,219,266,266,,1,b8b10c491570e1303151184998aabf94ffc79725f7fda24013407d07e509e14c,26/06/2023 01:27:07,ESCANER
13190,"San Marcos",12,"San Marcos",1,1799,380,2,72,53,1,0,2,4,2,2,1,2,3,0,1,1,0,10,156,9,0,165,0,165,0,380,215,156,165,165,,1,2bc5188c70624fe581966729018bb9af2321aaa2e0af059d400491a2a4b2f494,26/06/2023 01:58:20,ESCANER
13191,"San Marcos",12,"San Marcos",1,1799,380,2,61,74,1,1,1,5,1,1,3,1,5,0,2,1,0,9,168,20,0,188,0,188,0,380,192,168,188,188,,1,f8b7127ee959b5b3c7c50331992948d4d1b53902bb9f5f5badf495c5ffb35bc0,25/06/2023 22:58:53,ESCANER
13192,"San Marcos",12,"San Marcos",1,1799,274,0,67,38,2,0,1,3,2,0,0,0,3,0,3,0,0,14,133,8,2,143,0,143,--,274,131,133,143,143,Algún campo sin dato,1,88a883ee16e63fb260b0070bf7811570fb6c7de8a9030b08840bb4d7c110a4df,25/06/2023 21:49:33,ESCANER
13193,"San Marcos",12,"San Marcos",1,1799,273,1,37,34,0,0,0,1,0,2,0,2,1,0,0,2,0,15,95,8,3,106,0,106,0,73,167,95,106,106,,1,79d1678080b018b4ebaf5a8d5014a087e493b6983189cc13fe74e0da1fbc5a7f,26/06/2023 04:38:47,ESCANER
