TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
303,303,100.0000,299,98.6798,4,118863,69977,58.8719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR UNIONISTA,VICTORIA,VAMOS,UR,PHG,MLP,PODEMOS,MI FAMILIA,PPN,CREO,URNG-MAIZ WINAQ,CABAL,UNE,BIEN,ELEFANTE,SBX,AZUL,PX,FCN-NACION,PR,VIVA,SEMILLA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10452,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,5,26,7,15,5,57,6,0,9,5,11,4,3,6,8,2,30,3,14,2,2,2,4,4,5,235,7,5,247,0,247,--,400,153,235,247,247,Algún campo sin dato,1,2c15582490b41146f32e328c969ffc8fd91bc2d504e752fb1ead2e587dc51f05,26/06/2023 02:54:37,ESCANER
10453,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,7,31,8,7,0,76,8,0,7,2,9,4,3,5,4,1,25,4,15,3,2,1,6,4,3,235,12,0,247,0,247,--,400,153,235,247,247,Algún campo sin dato,1,737383ee23c0f81068e6afb7061606180bfd733795df1652edb3937e043b15ac,26/06/2023 00:54:32,ESCANER
10454,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,7,32,9,2,0,59,16,0,5,12,8,4,3,12,4,5,31,2,12,7,2,1,10,4,3,250,11,1,262,0,262,--,400,138,250,262,262,Algún campo sin dato,1,c72e1dddf187885fee518aaaa3b510ac3567266a6ccb37705029d800863c14c3,26/06/2023 03:30:54,ESCANER
10455,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,7,26,8,5,1,64,6,1,4,4,11,4,1,3,2,2,32,2,9,1,7,2,8,3,8,221,8,2,231,0,231,--,400,169,221,231,231,Algún campo sin dato,1,749740bff41ef35d0695f938c75bbfb369d59b894598d1df943472efe6f5fdca,26/06/2023 03:16:28,ESCANER
10456,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,6,28,5,9,0,43,7,0,9,5,14,4,2,8,3,2,50,1,21,1,3,1,8,4,8,242,6,2,250,0,--,--,--,--,242,250,250,Algún campo sin dato,1,29aebee1241afc2288226a0e93add828d0d7fce1c30866933be95184cdce0f00,26/06/2023 02:56:01,ESCANER
10457,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,7,19,3,23,0,61,2,0,12,6,14,2,6,7,6,2,49,0,14,0,2,4,11,1,8,259,12,0,271,0,271,--,400,129,259,271,271,Algún campo sin dato,1,72585599fcc77a10e698b9cfd48f67e296a6529538ea81b2e6cb4042e916e3f0,26/06/2023 03:00:29,ESCANER
10458,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,6,28,5,7,2,64,3,0,5,2,10,1,4,5,5,0,60,1,14,4,3,1,17,6,5,258,8,0,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,40b4b2a292b76998ee0a5bca06a99235749b209211632641f8b61f7269003b15,26/06/2023 03:07:46,ESCANER
10459,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,7,17,2,9,2,60,7,4,8,2,8,4,4,12,6,0,70,2,17,3,2,3,12,0,3,264,5,0,269,0,264,--,400,131,264,269,269,Sumas Asentadas sin cuadrar,1,11224bc4bc652f366a8c8d26715f605f89aa2bed54642f352ef73108040fbe2d,26/06/2023 03:59:07,ESCANER
10460,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,6,37,6,7,3,42,4,0,8,4,6,2,7,1,7,0,47,3,7,3,3,0,15,3,2,232,8,1,232,0,232,--,--,--,223,232,232,Sumas Asentadas sin cuadrar,1,ee1dfba3e85b280669d7b21a73313d9258c5459143889d0fb1a8ebe3ae5be7a0,26/06/2023 01:14:03,ESCANER
10461,"Quetzaltenango",9,"Quetzaltenango",1,1380,400,8,21,4,5,2,49,6,0,5,1,5,1,3,3,3,3,78,1,7,4,1,0,24,1,13,248,4,0,252,0,252,--,400,148,248,252,252,Algún campo sin dato,1,ecfaa1ffbc31c046b4656decccb1b1f05bab3f5879c00830bd9ed2ea681db2c8,26/06/2023 01:47:21,ESCANER
