TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10060,"Totonicapán",8,"San Francisco El Alto",3,1300,380,2,14,176,7,3,2,2,2,0,0,2,0,1,211,5,5,221,0,221,0,380,159,211,221,221,,1,1c774bcd60e4aed26211c9374970438cb32d6e0e79792d103404ad9e72a8ccd4,25/06/2023 22:45:01,ESCANER
10061,"Totonicapán",8,"San Francisco El Alto",3,1300,380,3,17,184,8,6,2,0,1,0,1,3,0,1,226,5,2,233,0,233,0,380,147,226,233,233,,1,340394c757b0ef7149685f9ae1cc087825c887e7107cce8e38e361946f2fe677,26/06/2023 00:12:29,ESCANER
10062,"Totonicapán",8,"San Francisco El Alto",3,1300,380,3,15,201,3,2,2,1,3,0,4,3,0,0,237,0,2,239,0,239,0,377,138,237,239,239,,1,1c60bd903657876ad5bc6089005a06c31aac561374b20ac24c57ee27942a17f6,26/06/2023 00:21:57,ESCANER
10063,"Totonicapán",8,"San Francisco El Alto",3,1301,380,3,17,193,4,2,0,0,0,1,0,3,0,0,223,5,1,229,0,229,0,380,151,223,229,229,,1,b0bf71b26185ae0aec09105863f50bbf1ee1c861467b1525d5659afbe47299af,26/06/2023 01:48:29,ESCANER
10064,"Totonicapán",8,"San Francisco El Alto",3,1301,380,3,14,177,8,1,2,0,2,1,1,2,0,0,211,1,0,212,0,212,0,380,168,211,212,212,,1,ceb2c0b3a38df3843aaaf7346989db2521d780ff1cc86a5c205364f7c3b331e0,26/06/2023 00:13:51,ESCANER
10065,"Totonicapán",8,"San Francisco El Alto",3,1302,230,2,9,129,1,1,2,0,0,0,0,2,0,0,146,4,0,150,0,150,0,230,80,146,150,150,,1,e7e6e456785c7d3952977d68f1aa306a9b3a65764ee0ac2bcb91a102777d81c3,25/06/2023 23:07:14,ESCANER
10066,"Totonicapán",8,"San Francisco El Alto",3,1302,229,2,13,88,8,7,1,0,0,0,1,5,1,0,126,4,0,130,0,130,0,229,99,126,130,130,,1,8819302595c7ccb67ecc08605e49b01e69e63372ed0724b49769d47d019554e5,25/06/2023 22:44:30,ESCANER
10067,"Totonicapán",8,"San Francisco El Alto",3,1303,380,5,11,27,88,35,2,15,1,8,1,8,1,0,202,17,14,233,0,233,0,380,147,202,233,233,,1,92b7232ee00c5f6bf32cca776874f5b514134b5bc6ed9ecd69b86f0a9dd701ed,25/06/2023 23:22:44,ESCANER
10068,"Totonicapán",8,"San Francisco El Alto",3,1303,380,4,15,35,84,37,3,4,0,3,8,4,3,0,200,23,12,235,0,235,--,380,145,200,235,235,Algún campo sin dato,1,eefb3732250607e8a29ff966c031ffee38b03cdcdc104e2321572da3c80000da,25/06/2023 22:13:01,ESCANER
10069,"Totonicapán",8,"San Francisco El Alto",3,1303,380,9,11,25,92,36,1,3,0,3,1,6,0,1,188,29,25,242,0,242,0,380,138,188,242,242,,1,f14006955bf071a63586d0c596495c66c1a9c6c3bc40402d0b7d4350a52df183,25/06/2023 22:01:01,ESCANER
