TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
210,180,85.7142,178,84.7619,2,68908,39359,57.1181

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,PHG,UNE,PPN,AZUL,VOS,UR,CABAL,CAMBIO,U R N G - MAIZ,TODOS,FCN-NACION,VICTORIA,P A N,CREO,VIVA,UNIONISTA,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2470,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2471,"Guatemala",1,"Chinautla",6,217,400,27,38,52,47,3,1,12,3,2,3,6,0,0,1,2,2,7,2,2,4,214,13,2,229,0,229,--,397,168,214,229,229,Algún campo sin dato,1,6a2f4dfeefd4e0df2a43c3bf4520b20a4f32479cebe8d690f50360b03561e9b6,25/06/2023 23:40:23,ESCANER
2472,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2473,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2474,"Guatemala",1,"Chinautla",6,218,400,39,20,50,45,5,1,11,1,4,6,10,2,1,8,3,6,7,3,5,10,237,16,1,254,0,254,--,400,146,237,254,254,Algún campo sin dato,1,d5d97081928def236d88b14bced7499197aa29f035dd926318496ad3005641d8,26/06/2023 02:43:51,ESCANER
2475,"Guatemala",1,"Chinautla",6,218,400,20,31,37,43,2,3,12,2,4,2,9,1,1,4,0,1,7,6,5,5,199,9,0,208,0,208,--,400,189,195,204,204,Sumas Asentadas sin cuadrar,1,5812a1a75de48eb8588f3737628d243f6ecd4d1b6ce18f5f6f7e446624ec9440,26/06/2023 02:36:15,ESCANER
2476,"Guatemala",1,"Chinautla",6,218,400,39,31,49,48,1,1,9,1,2,6,6,0,1,5,4,10,6,2,3,6,230,17,3,250,0,250,--,413,161,230,250,250,Algún campo sin dato,1,21175edb5f81e25f154d3b1c5d08c9ae0a88815ef6a2cf1c3894ac9e29d2e8e5,26/06/2023 01:33:38,ESCANER
2477,"Guatemala",1,"Chinautla",6,218,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2478,"Guatemala",1,"Chinautla",6,218,400,35,30,45,49,1,2,9,2,0,5,6,1,2,6,3,1,7,0,2,13,219,20,0,239,0,239,--,400,161,219,239,239,Algún campo sin dato,1,d394a3a31e19d8897f8107b7b5f0acb73bebca3f8cc7b17863f376d9298f481c,26/06/2023 02:37:48,ESCANER
2479,"Guatemala",1,"Chinautla",6,218,400,42,23,45,46,5,2,10,0,4,6,8,3,0,4,2,3,13,2,4,8,230,12,1,243,13,243,--,400,157,230,243,256,Sumas Asentadas sin cuadrar,1,2881efe3967fe7ac3ec123492ee05372202a657e9210f37db29b3f412f4ff512,26/06/2023 00:51:15,ESCANER
