TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31423,21053,66.9986

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,CABAL,VIVA,PODEMOS,PR,TODOS,FCN-NACION,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7649,"Escuintla",5,"Masagua",5,863,337,10,1,52,29,51,3,1,2,3,1,0,153,13,0,166,0,166,--,334,168,153,166,166,Algún campo sin dato,1,2349c36b6ba3131a90d900ac5e51756ae618a000749fd510db976a528f581585,26/06/2023 01:04:59,ESCANER
7650,"Escuintla",5,"Masagua",5,864,400,53,2,82,42,88,9,2,3,2,0,3,286,15,2,303,0,303,--,400,97,286,303,303,Algún campo sin dato,1,d86427def0708e0592d70aa854a808f77787de14ba221e6ced9106eb0d5b6e68,26/06/2023 01:12:39,ESCANER
7651,"Escuintla",5,"Masagua",5,864,400,51,6,99,34,84,3,2,4,1,0,0,284,24,4,312,0,312,--,400,88,284,312,312,Algún campo sin dato,1,8206340331941f3f36b468e4093fd9d965681b64f212c4e00888f846fcddcd0e,26/06/2023 00:58:13,ESCANER
7652,"Escuintla",5,"Masagua",5,864,400,59,4,89,43,69,6,1,2,1,1,0,275,23,0,298,0,298,0,396,98,275,298,298,,1,c888f8c132827b78cc35e712f3f069b8fde276ab3f0be1b8cb68b94524d95a37,26/06/2023 02:15:17,ESCANER
7653,"Escuintla",5,"Masagua",5,864,400,63,4,105,38,73,8,0,2,1,0,0,294,23,7,323,0,323,--,400,77,294,324,324,Sumas Asentadas sin cuadrar,1,9379498b20db7541e1c2749dd3310fdfe29ccd6ec89eb1860fdd6b9b572980a0,26/06/2023 02:35:11,ESCANER
7654,"Escuintla",5,"Masagua",5,864,400,51,1,123,33,64,5,0,2,1,2,0,282,11,1,294,0,294,--,400,106,282,294,294,Algún campo sin dato,1,cfa104f203ae5fa4ad62a06bf0813046f7340caaa89b94a43703a9429a4ae8ab,26/06/2023 02:09:56,ESCANER
7655,"Escuintla",5,"Masagua",5,864,400,48,1,91,35,92,4,2,4,3,--,--,280,21,5,306,--,--,--,--,--,280,306,306,Algún campo sin dato,1,fc135ce50c2e1b637e8950941772b3d41cfca154797152bca4e2403fabbf6fc5,25/06/2023 22:54:13,ESCANER
7656,"Escuintla",5,"Masagua",5,864,400,40,1,103,27,66,5,0,8,3,2,1,256,20,--,--,--,276,--,400,124,256,276,276,Algún campo sin dato,1,0a0f4357dcdbcf85eef20696ffe1fb918376fdd1ffe5dd041177f24ce806bd86,25/06/2023 23:24:48,ESCANER
7657,"Escuintla",5,"Masagua",5,864,400,47,3,103,49,77,4,0,3,2,0,1,289,12,0,--,--,400,--,400,99,289,301,301,Sumas Asentadas sin cuadrar,1,05c486ee1649961e24d5d9fe106adb5b337cac03afcff09b5230860f2ba8e53e,26/06/2023 03:01:46,ESCANER
7658,"Escuintla",5,"Masagua",5,864,400,38,1,91,43,73,10,0,5,2,1,1,265,31,2,298,0,298,--,400,102,265,298,298,Algún campo sin dato,1,923724e0e9ba7e239c98690139cfc82c60cda9612a93cb25947e98442a32789a,25/06/2023 23:40:10,ESCANER
