TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,72,98.6301,72,98.6301,0,26956,14463,53.6541

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,VALOR UNIONISTA,BIEN,VIVA,CABAL,AZUL,P A N,PHG,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8361,"Santa Rosa",6,"Cuilapa",1,976,239,56,1,39,3,0,0,3,0,0,0,0,102,3,1,106,0,106,--,236,130,102,106,106,Algún campo sin dato,1,6cd76e10a2fd3a10c48ed865b0157919bb02fef962baa6e022a21e168befe2cd,26/06/2023 01:26:01,ESCANER
8362,"Santa Rosa",6,"Cuilapa",1,977,400,69,0,108,8,1,5,11,0,1,1,1,205,21,6,232,0,232,--,400,168,205,232,232,Algún campo sin dato,1,a7a3444329a7844b88324d4e126cd028a76cc1eaf6b1134717f6bae2e22a3dba,26/06/2023 01:12:15,ESCANER
8363,"Santa Rosa",6,"Cuilapa",1,977,289,51,0,89,2,2,1,3,1,0,1,0,150,10,3,163,0,163,--,290,124,150,163,163,Algún campo sin dato,1,77ab69a3a7f482bb56232428e606cd11c4977b5fefe5b19921324d27ad0eb3ca,26/06/2023 02:51:25,ESCANER
8364,"Santa Rosa",6,"Cuilapa",1,977,289,38,1,64,2,2,2,2,1,2,1,1,116,3,0,119,0,119,--,289,170,116,119,119,Algún campo sin dato,1,215952680dac846a0ced92d88630782efdb2c9d904aa9a5f09db0a46eeac829a,26/06/2023 00:34:20,ESCANER
8365,"Santa Rosa",6,"Cuilapa",1,978,400,90,0,100,8,1,2,8,1,4,0,2,216,27,4,247,3,250,--,400,150,216,247,250,Algún campo sin dato,1,36e4577f8d7fc445270b56f954de7440b1b5495cb847cc06dfa0086051249bc2,26/06/2023 00:16:57,ESCANER
8366,"Santa Rosa",6,"Cuilapa",1,978,400,96,1,84,15,1,7,9,3,1,2,3,222,22,0,244,8,252,--,400,148,222,244,252,Algún campo sin dato,1,fbf4e4bbd0df4ed544c5e42cfc38a5f90659f30d0d51034760042328a09a7e22,26/06/2023 02:36:11,ESCANER
8367,"Santa Rosa",6,"Cuilapa",1,978,365,74,1,61,10,1,3,8,1,1,0,2,162,15,3,181,0,181,1,365,184,162,180,180,Sumas Asentadas sin cuadrar,1,84edd201fc79804ccad43bae09e54d4975cda09cf907800a47f0cc18e8be9969,26/06/2023 00:05:32,ESCANER
8368,"Santa Rosa",6,"Cuilapa",1,978,364,82,1,63,4,3,1,7,1,0,0,0,162,9,1,172,0,172,--,364,192,162,172,172,Algún campo sin dato,1,64765438e86ef44a713329069b8e0acc7d1bb56e0ed55587b4edf0d3dd1e0de5,25/06/2023 23:38:22,ESCANER
8369,"Santa Rosa",6,"Cuilapa",1,979,380,32,1,91,3,12,1,47,0,0,2,0,189,21,3,213,0,213,0,384,171,189,213,213,,1,22734cd5a2875a895dd83841405f2344a93454f11d735a31e78bf2fb0d7d191c,26/06/2023 00:24:17,ESCANER
8370,"Santa Rosa",6,"Cuilapa",1,979,380,41,0,105,5,5,0,48,2,0,0,0,206,11,4,221,0,221,--,380,159,206,221,221,Algún campo sin dato,1,8c0fd474ff4cbdd71acdadc70efbb914428e6722d271660e19a7d2489b519035,25/06/2023 23:48:53,ESCANER
8371,"Santa Rosa",6,"Cuilapa",1,979,380,50,2,73,3,8,1,66,1,0,1,0,205,23,2,230,0,230,--,380,150,205,230,230,Algún campo sin dato,1,2eea11bd4d21f798419e2044e57c58d549cc674bf3fff6fd018f1887675672f9,25/06/2023 23:34:32,ESCANER
8372,"Santa Rosa",6,"Cuilapa",1,979,380,48,0,66,3,8,0,93,3,0,0,2,223,41,3,267,0,267,--,380,113,223,267,267,Algún campo sin dato,1,b44b2192663a3bb5e3cb879a9165275a170695ad9cdb942432d3aade550dba5c,26/06/2023 00:47:47,ESCANER
